"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Trae Young","ATL",60,2120,12.210572302315422,25,3.494975972040192,0.6771515945827873,0.9392747924858017,0.109217999126256,1.397990388816077,0.14336158192090395,0.19753086419753085,0.07095709570957096
"De'Andre Hunter","ATL",63,2018,3.364485981308411,0,1.5186915887850467,0.32710280373831774,0.04672897196261682,0,0.2570093457943925,0.09103260869565218,0.1511627906976744,0.006535947712418301
"Kevin Huerter","ATL",56,1760,1.7098584023510552,4,0.667913438418381,0.16029922522041143,0.026716537536735238,0,0.18701576275714668,0.04126984126984127,0.0847457627118644,0.0029850746268656717
"Cam Reddish","ATL",58,1551,3.789473684210526,0,1.6842105263157894,0.3007518796992481,0,0,0.3609022556390977,0.09333333333333334,0.16,0
"John Collins","ATL",41,1363,5.161734342739161,1,2.339986235375086,0.7570543702684102,0.034411562284927734,0,0.5505849965588437,0.1058282208588957,0.1349206349206349,0.006756756756756757
"DeAndre' Bembry","ATL",43,915,2.4477307496175422,0,1.1728709841917389,0.1529831718510964,0,0,0.1529831718510964,0.09274193548387097,0.12568306010928962,0
"Damian Jones","ATL",55,887,4.470463012240553,0,2.0223523150612026,0.2660989888238425,0,0,0.37253858435337944,0.18009478672985782,0.18811881188118812,0
"Vince Carter","ATL",60,876,1.5474919957310567,0,0.42689434364994666,0.10672358591248667,0.05336179295624333,0,0.32017075773745995,0.028938906752411574,0.07407407407407407,0.0049261083743842365
"Jabari Parker","ATL",32,837,4.038137969713965,0,1.8508132361189007,0.448681996634885,0.11217049915872125,0.056085249579360626,0.28042624789680315,0.08133971291866028,0.10891089108910891,0.008695652173913044
"Alex Len","ATL",40,745,5.1265822784810124,0,2.4683544303797467,0.379746835443038,0,0,0.31645569620253167,0.13310580204778158,0.16455696202531644,0
"Bruno Fernando","ATL",56,713,3.411371237458194,0,1.605351170568562,0.5351170568561873,0,0,0.4013377926421405,0.11162790697674418,0.1348314606741573,0
"Allen Crabbe","ATL",28,522,1.0743061772605194,0,0.26857654431512984,0.08952551477170993,0.26857654431512984,0.08952551477170993,0,0.04081632653061224,0.057692307692307696,0.031578947368421054
"Jeff Teague","ATL",25,519,4.809437386569873,0,2.1778584392014517,0.7259528130671506,0.09074410163339383,0,0.4537205081669691,0.13736263736263737,0.15894039735099338,0.03225806451612903
"Brandon Goodwin","ATL",34,430,3.314917127071823,0,1.3259668508287292,0.3314917127071823,0.11049723756906077,0,0.3314917127071823,0.065,0.10714285714285714,0.011363636363636364
"Treveon Graham","ATL",22,266,3.4358047016274864,0,1.4466546112115732,0.3616636528028933,0.18083182640144665,0,0.18083182640144665,0.12162162162162163,0.2222222222222222,0.02631578947368421
"Evan Turner","ATL",19,251,2.5594149908592323,1,1.4625228519195612,0.5484460694698354,0,0,0,0.1111111111111111,0.11940298507462686,0
"Dewayne Dedmon","ATL",10,233,1.6632016632016633,0,1.2474012474012475,0.8316008316008316,0,0,0,0.06976744186046512,0.12,0
"Tyrone Wallace","ATL",14,160,5.029585798816568,0,1.7751479289940828,0.2958579881656805,0,0,0.8875739644970414,0.12244897959183673,0.17647058823529413,0
"Chandler Parsons","ATL",5,54,0,0,0,0,0,0,0,0,0,0
"Charles Brown Jr.","ATL",10,40,6.024096385542169,0,3.6144578313253013,1.2048192771084338,0,0,0,0.14285714285714285,0.25,0
"Paul Watson","ATL",2,17,0,0,0,0,0,0,0,0,0,0
