"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Joe Harris","BKN",71,2195,2.0134228187919465,2,0.6494912318683698,0.15154795410261962,0.08659883091578263,0,0.2814462004762936,0.0407673860911271,0.07281553398058252,0.009478672985781991
"Spencer Dinwiddie","BKN",64,1994,10.728891027183066,11,4.330045706038008,0.8660091412076016,0.5051719990377677,0.09622323791195574,0.697618474861679,0.1693480101608806,0.23529411764705882,0.04807692307692308
"Jarrett Allen","BKN",74,1984,6.914893617021277,0,2.852998065764023,0.7495164410058027,0,0,0.9671179883945842,0.2048611111111111,0.20701754385964913,0
"Garrett Temple","BKN",66,1867,2.3682200152788386,2,0.8148714031066973,0.30557677616501144,0.05092946269416858,0,0.4329004329004329,0.05167173252279635,0.13675213675213677,0.0047169811320754715
"Taurean Prince","BKN",64,1857,2.2896835605865706,5,0.7203498842294829,0.07718034473887317,0.07718034473887317,0,0.2829945973758683,0.0391644908616188,0.08408408408408409,0.004618937644341801
"Caris LeVert","BKN",49,1469,7.224210868857794,4,3.1565245688252523,1.0087862024080703,0.16270745200130166,0.03254149040026033,0.683371298405467,0.11657142857142858,0.15396825396825398,0.02040816326530612
"DeAndre Jordan","BKN",56,1234,4.728682170542636,0,1.8992248062015504,0.6976744186046512,0,0,0.813953488372093,0.1540880503144654,0.1540880503144654,0
"Timothe Luwawu-Cabarrot","BKN",51,984,4.464714354296688,6,1.6802688430148824,0.2400384061449832,0.09601536245799328,0,0.4320691310609698,0.10277777777777777,0.22012578616352202,0.009950248756218905
"Rodions Kurucs","BKN",51,742,2.5,0,0.8125,0.125,0,0,0.5,0.0625,0.11818181818181818,0
"Wilson Chandler","BKN",35,734,1.5062213490504257,0,0.45841519318926,0.06548788474132286,0.13097576948264572,0.06548788474132286,0.19646365422396855,0.04736842105263158,0.10294117647058823,0.01639344262295082
"Kyrie Irving","BKN",20,658,7.259786476868327,3,2.2775800711743774,0.42704626334519574,0.35587188612099646,0.0711743772241993,0.99644128113879,0.08295964125560538,0.10666666666666667,0.03424657534246575
"Dzanan Musa","BKN",43,527,6.542882404951371,3,1.856763925729443,0.5305039787798409,0.08841732979664015,0,1.4146772767462423,0.11055276381909548,0.18421052631578946,0.011764705882352941
"Theo Pinson","BKN",33,365,2.1164021164021163,0,1.3227513227513228,0.5291005291005291,0,0,0,0.062111801242236024,0.12345679012345678,0
"Chris Chiozza","BKN",22,343,1.2096774193548387,0,0.6720430107526881,0.13440860215053763,0,0,0,0.03731343283582089,0.08064516129032258,0
"Tyler Johnson","BKN",12,287,3.278688524590164,0,1.3114754098360655,0,0,0,0.32786885245901637,0.06015037593984962,0.11594202898550725,0
"David Nwaba","BKN",20,268,4.778761061946903,0,2.3008849557522124,0.17699115044247787,0,0,0.17699115044247787,0.1566265060240964,0.23636363636363636,0
"Iman Shumpert","BKN",13,241,1.4553014553014554,0,0.4158004158004158,0.2079002079002079,0,0,0.4158004158004158,0.03076923076923077,0.0625,0
"Nicolas Claxton","BKN",15,187,5.2631578947368425,0,2.255639097744361,0.7518796992481203,0,0,0.7518796992481203,0.16666666666666666,0.19148936170212766,0
"Justin Anderson","BKN",13,136,2.7303754266211606,0,1.3651877133105803,0.6825938566552902,0,0,0.3412969283276451,0.07692307692307693,0.3333333333333333,0
"Jeremiah Martin","BKN",12,126,5.514705882352941,0,2.2058823529411766,0,0.36764705882352944,0.36764705882352944,0.36764705882352944,0.0958904109589041,0.12,0.043478260869565216
"Lance Thomas","BKN",10,115,3.319502074688797,0,1.6597510373443984,0.4149377593360996,0.4149377593360996,0.4149377593360996,0,0.16129032258064516,0.25,0.06666666666666667
"Donta Hall","BKN",8,105,6.986899563318778,0,3.056768558951965,0.8733624454148472,0,0,0.8733624454148472,0.25,0.25,0
"Henry Ellenson","BKN",5,15,0,0,0,0,0,0,0,0,0,0
"Jamal Crawford","BKN",1,6,0,0,0,0,0,0,0,0,0,0
