"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Jayson Tatum","BOS",70,2410,6.843490585138692,12,2.9155699534318686,0.5264223527029763,0.060741040696497266,0,0.5669163798339745,0.10252808988764045,0.1561822125813449,0.00398406374501992
"Jaylen Brown","BOS",61,2084,6.295684979957557,1,2.640886583352983,0.5659042678613535,0.23579344494223062,0.07073803348266919,0.4951662343786843,0.11708253358925144,0.16766467065868262,0.026737967914438502
"Marcus Smart","BOS",64,2063,3.8768796992481205,2,1.1983082706766917,0.30545112781954886,0.2349624060150376,0.023496240601503758,0.5404135338345865,0.079155672823219,0.15,0.0215311004784689
"Kemba Walker","BOS",60,1874,6.94408322496749,18,2.0286085825747726,0.494148244473342,0.494148244473342,0.07802340702210664,0.8322496749024707,0.09408341416100872,0.15145631067961166,0.03682170542635659
"Gordon Hayward","BOS",53,1774,3.917860037827614,1,1.7022426371251014,0.4593353147797892,0.027019724398811132,0,0.4323155903809781,0.08421052631578947,0.11864406779661017,0.004366812227074236
"Daniel Theis","BOS",69,1656,3.508771929824561,0,1.5462384775498068,0.5055010407374368,0,0,0.4757656853999405,0.10505050505050505,0.13541666666666666,0
"Brad Wanamaker","BOS",75,1439,4.662162162162162,0,2.1283783783783785,0.33783783783783783,0,0,0.3716216216216216,0.14651162790697675,0.19384615384615383,0
"Grant Williams","BOS",73,1083,2.677376171352075,0,0.9817045961624274,0.31236055332440876,0,0,0.535475234270415,0.09482758620689655,0.16666666666666666,0
"Enes Kanter","BOS",62,1044,4.90566037735849,0,2.2169811320754715,0.6132075471698113,0,0,0.5660377358490566,0.11633663366336634,0.11868686868686869,0
"Semi Ojeleye","BOS",72,1039,1.5180265654648957,1,0.7590132827324478,0.33206831119544594,0,0,0.14231499051233396,0.0761904761904762,0.20512820512820512,0
"Javonte Green","BOS",49,474,4.238143289606458,0,2.0181634712411705,0.20181634712411706,0,0,0.20181634712411706,0.136986301369863,0.18018018018018017,0
"Robert Williams III","BOS",32,410,4.023668639053255,0,1.6568047337278107,0.7100591715976331,0,0,0.7100591715976331,0.13861386138613863,0.14,0
"Romeo Langford","BOS",36,407,3.1839622641509435,0,0.9433962264150944,0,0.1179245283018868,0,0.4716981132075472,0.09375,0.11940298507462686,0.034482758620689655
"Carsen Edwards","BOS",37,351,2.557200538358008,0,0.5383580080753702,0.13458950201884254,0.2691790040376851,0,0.4037685060565276,0.045112781954887216,0.07272727272727272,0.02564102564102564
"Vincent Poirier","BOS",21,130,2.4475524475524475,0,1.048951048951049,0.34965034965034963,0,0,0.34965034965034963,0.07894736842105263,0.08333333333333333,0
"Tremont Waters","BOS",11,119,3.278688524590164,0,0.4098360655737705,0,0,0,1.2295081967213115,0.02,0.038461538461538464,0
"Tacko Fall","BOS",8,35,6.756756756756757,0,2.7027027027027026,1.3513513513513513,0,0,1.3513513513513513,0.125,0.125,0
