"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Devonte' Graham","CHA",63,2211,5.300272975432211,4,1.6151046405823475,0.4094631483166515,0.3184713375796178,0.06824385805277525,0.7961783439490446,0.0827653359298929,0.16473317865429235,0.02348993288590604
"Terry Rozier","CHA",63,2164,4.423748544819557,25,1.1874272409778812,0.3492433061699651,0.30267753201396974,0.11641443538998836,0.6053550640279395,0.0649746192893401,0.09205776173285199,0.030162412993039442
"Miles Bridges","CHA",65,1995,3.320659062103929,0,1.394169835234474,0.32953105196451205,0.07604562737642585,0,0.32953105196451205,0.07268170426065163,0.1111111111111111,0.009900990099009901
"P.J. Washington","CHA",58,1759,3.883495145631068,0,1.941747572815534,0.4854368932038835,0.028555111364934323,0,0.19988577955454026,0.10764430577223089,0.16585365853658537,0.004329004329004329
"Cody Zeller","CHA",58,1341,6.699101796407185,0,3.3308383233532934,0.9730538922155688,0.0374251497005988,0,0.4865269461077844,0.16574585635359115,0.1905781584582441,0.013157894736842105
"Malik Monk","CHA",55,1169,4.246284501061571,1,2.038216560509554,0.5095541401273885,0.04246284501061571,0,0.25477707006369427,0.09333333333333334,0.15,0.004878048780487805
"Bismack Biyombo","CHA",53,1029,7.538691962056915,0,2.995506739890165,0.5991013479780329,0,0,1.0983524712930604,0.18404907975460122,0.18404907975460122,0
"Cody Martin","CHA",48,903,3.6191536748329622,0,1.78173719376392,0.5011135857461024,0,0,0.27839643652561247,0.1391304347826087,0.20915032679738563,0
"Marvin Williams","CHA",41,808,3.067484662576687,0,0.6748466257668712,0.3067484662576687,0.18404907975460122,0,0.7361963190184049,0.0639269406392694,0.1111111111111111,0.025
"Dwayne Bacon","CHA",39,687,3.8601602330662783,0,2.112163146394756,0.6554989075018208,0,0,0.14566642388929352,0.10984848484848485,0.14720812182741116,0
"Nicolas Batum","CHA",22,505,1.002004008016032,0,0.30060120240480964,0.10020040080160321,0.10020040080160321,0,0.10020040080160321,0.047619047619047616,0.08823529411764706,0.02
"Willy Hernangomez","CHA",31,375,7.845744680851064,0,2.925531914893617,0.39893617021276595,0,0,1.196808510638298,0.13924050632911392,0.16176470588235295,0
"Caleb Martin","CHA",18,317,3.3816425120772946,0,1.6103059581320451,0.1610305958132045,0,0,0.1610305958132045,0.10752688172043011,0.17857142857142858,0
"Jalen McDaniels","CHA",16,293,2.961672473867596,0,1.5679442508710801,0.5226480836236934,0,0,0.17421602787456447,0.11842105263157894,0.17307692307692307,0
"Michael Kidd-Gilchrist","CHA",12,160,2.9411764705882355,0,0.9803921568627451,0.32679738562091504,0,0,0.6535947712418301,0.05454545454545454,0.07894736842105263,0
"Joe Chealey","CHA",4,33,2.985074626865672,0,1.492537313432836,0,0,0,0,0.125,0.25,0
