"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Zach LaVine","CHI",60,2085,7.720758206195099,25,3.074433656957929,0.7397133610725843,0.2311604253351826,0.02311604253351826,0.5547850208044383,0.1092436974789916,0.16299019607843138,0.02028397565922921
"Tomas Satoransky","CHI",65,1878,3.118556701030928,0,1.3144329896907216,0.3865979381443299,0,0,0.4381443298969072,0.0868824531516184,0.13144329896907217,0
"Coby White","CHI",65,1674,3.692043503148254,2,1.631368059530624,0.4579278763594734,0.14310246136233543,0,0.2003434459072696,0.07398568019093078,0.12472647702407003,0.013123359580052493
"Thaddeus Young","CHI",64,1591,2.171945701357466,0,0.8446455505279035,0.18099547511312217,0,0,0.33182503770739064,0.0449438202247191,0.06982543640897755,0
"Lauri Markkanen","CHI",50,1492,4.925949774629749,3,1.9961365099806825,0.2897617514488088,0.1931745009658725,0.0643915003219575,0.3541532517707663,0.10493827160493827,0.18960244648318042,0.018691588785046728
"Kris Dunn","CHI",51,1269,2.0634314100114635,0,0.8788689338937715,0.30569354222392053,0,0,0.30569354222392053,0.06442577030812324,0.09387755102040816,0
"Wendell Carter Jr.","CHI",43,1256,5.912096460521198,0,2.5670945157526255,0.38895371450797356,0,0,0.5834305717619603,0.16541353383458646,0.1783783783783784,0
"Ryan Arcidiacono","CHI",58,930,1.967892283790782,4,0.46607975142413255,0,0,0,0.4142931123770067,0.039301310043668124,0.0989010989010989,0
"Daniel Gafford","CHI",43,609,4.777070063694268,0,2.1496815286624202,0.47770700636942676,0,0,0.47770700636942676,0.17419354838709677,0.17419354838709677,0
"Luke Kornet","CHI",36,559,2.4158757549611733,1,1.1216566005176876,0.1725625539257981,0,0,0.1725625539257981,0.06565656565656566,0.14444444444444443,0
"Chandler Hutchison","CHI",28,527,6.951871657754011,0,3.3868092691622103,0.7130124777183601,0,0,0.44563279857397503,0.18536585365853658,0.2275449101796407,0
"Denzel Valentine","CHI",36,488,0.8,2,0.3,0,0,0,0,0.0125,0.02912621359223301,0
"Shaquille Harrison","CHI",43,484,5.015045135406218,0,2.3069207622868606,0.30090270812437314,0,0,0.4012036108324975,0.12432432432432433,0.16083916083916083,0
"Cristiano Felicio","CHI",22,386,2.933673469387755,0,1.530612244897959,0.3826530612244898,0,0,0.12755102040816327,0.19047619047619047,0.19672131147540983,0
"Otto Porter Jr.","CHI",14,331,3.9130434782608696,1,1.7391304347826086,0.5797101449275363,0.2898550724637681,0.2898550724637681,0.2898550724637681,0.0945945945945946,0.13953488372093023,0.03225806451612903
"Adam Mokoka","CHI",11,112,1.7621145374449338,0,1.3215859030837005,0.8810572687224669,0,0,0,0.10344827586206896,0.21428571428571427,0
"Max Strus","CHI",2,6,6.666666666666667,0,6.666666666666667,6.666666666666667,0,0,0,0.3333333333333333,0.5,0
