"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Collin Sexton","CLE",65,2143,6.061293984108967,8,2.3609534619750283,0.6129398410896708,0.0681044267877412,0.022701475595913734,0.8172531214528944,0.09106529209621993,0.1145374449339207,0.0078125
"Cedi Osman","CLE",65,1910,2.3979591836734695,0,1.0714285714285714,0.33163265306122447,0.07653061224489796,0.025510204081632654,0.20408163265306123,0.0703125,0.13249211356466878,0.009287925696594427
"Darius Garland","CLE",59,1824,1.92822710230316,1,0.8569898232458489,0.1339046598821639,0,0,0.18746652383502946,0.0440771349862259,0.07441860465116279,0
"Kevin Love","CLE",56,1780,5.991792065663475,25,1.8604651162790697,0.27359781121751026,0.35567715458276333,0,0.4103967168262654,0.10150375939849623,0.17215189873417722,0.03225806451612903
"Tristan Thompson","CLE",57,1722,4.623779437105112,0,1.9529006318207927,0.402067777139575,0,0,0.5743825387708213,0.11038961038961038,0.11467116357504216,0
"Larry Nance Jr.","CLE",56,1472,2.478231748158071,0,0.8037508372404555,0.13395847287340926,0,0,0.5023442732752846,0.05321507760532151,0.0821917808219178,0
"Kevin Porter Jr.","CLE",50,1162,4.286926994906621,0,2.122241086587436,0.5517826825127334,0,0,0.29711375212224106,0.1091703056768559,0.16666666666666666,0
"Matthew Dellavedova","CLE",57,821,2.205005959475566,0,0.5959475566150179,0.17878426698450536,0.05959475566150179,0,0.5363528009535161,0.060109289617486336,0.10989010989010989,0.010869565217391304
"Jordan Clarkson","CLE",29,666,6.408345752608048,5,2.235469448584203,0.819672131147541,0.5216095380029806,0.29806259314456035,0.819672131147541,0.10632183908045977,0.16129032258064516,0.043209876543209874
"Alfonzo McKinnie","CLE",40,593,2.5451559934318553,0,0.9852216748768473,0.16420361247947454,0.08210180623973727,0,0.24630541871921183,0.07142857142857142,0.10344827586206896,0.015151515151515152
"John Henson","CLE",29,412,3.900709219858156,0,1.3002364066193854,0.3546099290780142,0,0,0.8274231678486997,0.0859375,0.1134020618556701,0
"Dante Exum","CLE",24,402,4.993909866017052,0,2.43605359317905,0.3654080389768575,0,0,0.243605359317905,0.17699115044247787,0.2631578947368421,0
"Brandon Knight","CLE",16,241,2.594810379241517,0,0.3992015968063872,0.1996007984031936,0,0,0.998003992015968,0.022988505747126436,0.08695652173913043,0
"Andre Drummond","CLE",8,225,8.280254777070065,0,4.246284501061571,1.4861995753715498,0,0,0.6369426751592356,0.1694915254237288,0.19230769230769232,0
"Ante Zizic","CLE",22,221,4.166666666666667,0,1.7543859649122806,1.0964912280701755,0,0,0.8771929824561403,0.10666666666666667,0.10666666666666667,0
"Dean Wade","CLE",12,71,0.6410256410256411,0,0.6410256410256411,0.6410256410256411,0,0,0,0.07692307692307693,0.1111111111111111,0
"Tyler Cook","CLE",11,35,8.108108108108109,0,4.054054054054054,0,0,0,0,0.23076923076923078,0.23076923076923078,0
"Matt Mooney","CLE",4,19,0,0,0,0,0,0,0,0,0,0
"Malik Newman","CLE",1,4,28.571428571428573,0,0,0,0,0,14.285714285714286,0,0,0
"Marques Bolden","CLE",1,3,0,0,0,0,0,0,0,0,0,0
"J.P. Macura","CLE",1,1,0,0,0,0,0,0,0,0,0,0
