"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Dorian Finney-Smith","DAL",76,2274,2.3655913978494625,0,1.096774193548387,0.21505376344086022,0,0,0.1935483870967742,0.08443708609271523,0.18478260869565216,0
"Tim Hardaway Jr.","DAL",76,2262,4.087251164760695,8,1.249470563320627,0.25412960609911056,0.2753070732740364,0.12706480304955528,0.5717916137229987,0.07072691552062868,0.12967032967032968,0.023090586145648313
"Luka Doncic","DAL",66,2220,13.37372863016663,8,5.172040683834668,1.709586669552045,0.5410084397316598,0.10820168794633196,1.5797446440164467,0.1719869706840391,0.25452609158679446,0.04194630872483222
"Maxi Kleber","DAL",79,2057,2.426383981154299,0,1.0129564193168434,0.3297997644287397,0,0,0.37691401648998824,0.07517482517482517,0.18454935622317598,0
"Kristaps Porzingis","DAL",60,1908,7.6865109269027885,17,3.1399145943230344,0.7535795026375283,0.1004772670183371,0,0.728460185882944,0.12044817927170869,0.19319938176197837,0.009433962264150943
"Seth Curry","DAL",69,1720,2.860347728547392,14,0.5888951205832866,0.16825574873808188,0.28042624789680315,0.14021312394840157,0.47672462142456534,0.0484375,0.07094594594594594,0.029069767441860465
"Delon Wright","DAL",77,1623,3.139952153110048,0,1.255980861244019,0.32894736842105265,0,0,0.4784688995215311,0.09292035398230089,0.13003095975232198,0
"Dwight Powell","DAL",40,1061,5.153203342618385,0,2.367688022284123,0.6035283194057567,0,0,0.510677808727948,0.19101123595505617,0.2236842105263158,0
"Justin Jackson","DAL",67,1059,2.389705882352941,0,0.9191176470588235,0.13786764705882354,0,0,0.36764705882352944,0.05509641873278237,0.10101010101010101,0
"Jalen Brunson","DAL",57,1022,3.593675131768088,0,1.3895543842836608,0.5270723526593196,0,0,0.7187350263536176,0.07142857142857142,0.10139860139860139,0
"Boban Marjanovic","DAL",46,487,6.593406593406593,0,3.4965034965034967,1.1988011988011988,0,0,0.3996003996003996,0.13618677042801555,0.14644351464435146,0
"J.J. Barea","DAL",30,455,2.6852846401718584,1,1.288936627282492,0.21482277121374865,0,0,0.10741138560687433,0.05504587155963303,0.09022556390977443,0
"Courtney Lee","DAL",24,345,0.9915014164305949,0,0.42492917847025496,0.141643059490085,0,0,0.141643059490085,0.03571428571428571,0.08108108108108109,0
"Trey Burke","DAL",13,312,2.914110429447853,0,1.2269938650306749,0.15337423312883436,0,0,0.3067484662576687,0.057971014492753624,0.09302325581395349,0
"Ryan Broekhoff","DAL",17,180,2.088772845953003,0,0.26109660574412535,0,0.5221932114882507,0,0,0.04838709677419355,0.1111111111111111,0.03773584905660377
"Michael Kidd-Gilchrist","DAL",18,170,3.151862464183381,0,1.7191977077363896,0.28653295128939826,0,0,0,0.1935483870967742,0.3157894736842105,0
"Willie Cauley-Stein","DAL",13,157,2.8391167192429023,0,1.8927444794952681,0.9463722397476341,0,0,0,0.125,0.1276595744680851,0
"Antonius Cleveland","DAL",12,53,4.464285714285714,0,1.7857142857142858,0.8928571428571429,0,0,0.8928571428571429,0.1,0.11764705882352941,0
"Josh Reaves","DAL",5,36,5.47945205479452,0,1.36986301369863,0,0,0,1.36986301369863,0.07692307692307693,0.1,0
