"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Nikola Jokic","DEN",78,2523,6.329617834394904,7,2.2691082802547773,0.5374203821656051,0.019904458598726114,0,1.0748407643312101,0.09148766905330151,0.11813471502590674,0.003424657534246575
"Jamal Murray","DEN",64,2086,4.789410348977136,27,1.4199759326113117,0.3369434416365824,0.12033694344163658,0.048134777376654635,0.6979542719614922,0.061068702290076333,0.08689248895434462,0.013550135501355014
"Jerami Grant","DEN",76,2060,5.077369439071567,0,2.369439071566731,0.7253384912959381,0.048355899419729204,0.048355899419729204,0.5077369439071566,0.13368983957219252,0.2076271186440678,0.007246376811594203
"Will Barton","DEN",58,1916,3.449170124481328,3,1.4522821576763485,0.38900414937759337,0.025933609958506226,0.025933609958506226,0.4149377593360996,0.07317073170731707,0.11405295315682282,0.003472222222222222
"Gary Harris","DEN",56,1780,2.590819487468319,0,1.2109264995775837,0.33793297662630245,0,0,0.25344973246972685,0.07818181818181819,0.1264705882352941,0
"Monte Morris","DEN",78,1767,2.6726057906458798,2,1.0857461024498887,0.3619153674832962,0.08351893095768374,0.02783964365256125,0.3062360801781737,0.06656101426307448,0.08843537414965986,0.015789473684210527
"Paul Millsap","DEN",56,1359,5.477424130273871,0,2.516654330125833,0.6291635825314582,0.07401924500370097,0,0.44411547002220575,0.13257575757575757,0.17480719794344474,0.014388489208633094
"Torrey Craig","DEN",63,1186,1.5483870967741935,0,0.6451612903225806,0.25806451612903225,0,0,0.25806451612903225,0.04966887417218543,0.1,0
"Mason Plumlee","DEN",66,1108,6.922733363108531,0,3.0817329164805716,0.7146047342563644,0,0,0.80393032603841,0.19602272727272727,0.1988472622478386,0
"Michael Porter Jr.","DEN",60,1040,3.6303630363036303,0,1.6973125884016973,0.47147571900047147,0.04714757190004715,0.04714757190004715,0.33003300330033003,0.07974137931034483,0.1245674740484429,0.005714285714285714
"Malik Beasley","DEN",41,746,2.480417754569191,3,0.9138381201044387,0.13054830287206268,0,0,0.3263707571801567,0.04472843450479233,0.09210526315789473,0
"PJ Dozier","DEN",33,492,3.8114343029087263,0,1.60481444332999,0.20060180541624875,0.20060180541624875,0.10030090270812438,0.20060180541624875,0.09574468085106383,0.12121212121212122,0.03571428571428571
"Juancho Hernangomez","DEN",34,422,2.837684449489217,0,1.5891032917139614,0.340522133938706,0,0,0,0.11570247933884298,0.22950819672131148,0
"Keita Bates-Diop","DEN",9,114,4.444444444444445,0,2.6666666666666665,0.8888888888888888,0,0,0,0.16666666666666666,0.2222222222222222,0
"Bol Bol","DEN",8,100,8.121827411167512,0,3.553299492385787,0.5076142131979695,0.5076142131979695,0,0,0.19047619047619047,0.23333333333333334,0.08333333333333333
"Troy Daniels","DEN",9,95,1.015228426395939,0,0,0,0,0,0.5076142131979695,0,0,0
"Vlatko Cancar","DEN",14,45,4.395604395604396,0,1.098901098901099,0,0,0,1.098901098901099,0.0625,0.1,0
"Jarred Vanderbilt","DEN",9,41,0,0,0,0,0,0,0,0,0,0
"Noah Vonleh","DEN",8,33,5.797101449275362,0,1.4492753623188406,0,0,0,1.4492753623188406,0.125,0.14285714285714285,0
"Jordan McRae","DEN",4,32,6.349206349206349,0,3.1746031746031744,0,0,0,0,0.25,0.5,0
"Tyler Cook","DEN",3,23,4.3478260869565215,0,2.1739130434782608,0,0,0,0,0.3333333333333333,0.3333333333333333,0
