"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Langston Galloway","DET",66,1702,2.4545192030031764,15,0.519780537106555,0.17326017903551832,0.4042737510828761,0.20213687554143805,0.20213687554143805,0.0570409982174688,0.08071748878923767,0.04142011834319527
"Andre Drummond","DET",49,1654,7.623318385650224,0,3.6472346786248133,0.7174887892376681,0,0,0.5381165919282511,0.15701415701415702,0.16137566137566137,0
"Tony Snell","DET",59,1641,0.9714632665452337,7,0.12143290831815422,0.030358227079538554,0.06071645415907711,0,0.18214936247723132,0.015503875968992248,0.030534351145038167,0.0078125
"Bruce Brown","DET",58,1634,3.6739734485952456,0,1.667181228774313,0.33961099104661935,0,0,0.33961099104661935,0.11020408163265306,0.13705583756345177,0
"Christian Wood","DET",62,1325,9.03997011580127,0,3.7355248412401942,1.1206574523720583,0.11206574523720583,0,1.232723197609264,0.17728055077452667,0.228310502283105,0.02097902097902098
"Derrick Rose","DET",50,1298,5.165366034931252,1,2.6384243775548124,0.8175399479747306,0.07432181345224824,0,0.2229654403567447,0.09079601990049752,0.1083969465648855,0.013422818791946308
"Svi Mykhailiuk","DET",56,1265,2.710027100271003,6,0.7355787843592722,0.07742934572202866,0.3097173828881146,0.03871467286101433,0.11614401858304298,0.06293706293706294,0.1386861313868613,0.0273972602739726
"Markieff Morris","DET",44,988,3.9205955334987594,1,1.3399503722084367,0.2977667493796526,0.1488833746898263,0.04962779156327544,0.5955334987593052,0.07281553398058252,0.12217194570135746,0.015706806282722512
"Luke Kennard","DET",28,922,4.023605150214593,6,0.8047210300429185,0.1609442060085837,0.37553648068669526,0,0.5901287553648069,0.060941828254847646,0.08771929824561403,0.03684210526315789
"Thon Maker","DET",60,776,7.15679895901106,0,3.1229668184775536,0.6506180871828237,0,0,0.7807417046193884,0.2077922077922078,0.2874251497005988,0
"Sekou Doumbouya","DET",38,754,3.062583222370173,0,1.8641810918774966,0.6657789613848203,0,0,0,0.11023622047244094,0.1794871794871795,0
"Blake Griffin","DET",18,512,9.53307392996109,0,4.085603112840467,1.0700389105058365,0.2918287937743191,0.09727626459143969,0.8754863813229572,0.15901060070671377,0.24705882352941178,0.02654867256637168
"Reggie Jackson","DET",14,381,4.388297872340425,3,0.9308510638297872,0.39893617021276595,0.13297872340425532,0.13297872340425532,1.196808510638298,0.039603960396039604,0.058333333333333334,0.012195121951219513
"Tim Frazier","DET",27,355,3.3566433566433567,0,1.118881118881119,0,0,0,0.5594405594405595,0.0784313725490196,0.1111111111111111,0
"Brandon Knight","DET",9,221,4.872389791183295,0,0.46403712296983757,0,0.23201856148491878,0,1.6241299303944317,0.03571428571428571,0.125,0.014705882352941176
"John Henson","DET",11,188,3.5230352303523036,0,1.084010840108401,0.27100271002710025,0,0,0.8130081300813008,0.07407407407407407,0.08163265306122448,0
"Jordan McRae","DET",4,98,11.702127659574469,0,3.723404255319149,1.0638297872340425,1.0638297872340425,0,1.0638297872340425,0.18,0.21875,0.1111111111111111
"Louis King","DET",10,62,2.4390243902439024,0,1.6260162601626016,0.8130081300813008,0,0,0,0.09090909090909091,0.18181818181818182,0
"Khyri Thomas","DET",8,61,3.4482758620689653,0,0.8620689655172413,0,0,0,0.8620689655172413,0.05555555555555555,0.25,0
"Jordan Bone","DET",10,53,0,0,0,0,0,0,0,0,0,0
"Donta Hall","DET",4,48,6.593406593406593,0,3.2967032967032965,0,0,0,0,0.42857142857142855,0.42857142857142855,0
"Derrick Walton Jr.","DET",3,26,0,0,0,0,0,0,0,0,0,0
