"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Eric Paschall","GSW",60,1654,6.186168660636125,1,3.2389845345783486,0.904581266413773,0.058360081704114386,0,0.20426028596440035,0.15650969529085873,0.18781725888324874,0.015267175572519083
"Glenn Robinson III","GSW",48,1516,2.3521932612841705,8,0.9535918626827717,0.1589319771137953,0.03178639542275906,0,0.12714558169103624,0.058161350844277676,0.08287292817679558,0.005847953216374269
"Damion Lee","GSW",49,1422,4.218279209909609,9,1.3726146635420153,0.33478406427854035,0.1004352192835621,0,0.6360897221292267,0.08073394495412844,0.1353135313531353,0.012396694214876033
"Alec Burks","GSW",48,1390,7.766990291262136,6,3.2246879334257974,0.624133148404993,0.27739251040221913,0.06934812760055478,0.5201109570041609,0.14809384164222875,0.20575221238938052,0.034782608695652174
"Jordan Poole","GSW",57,1274,4.443614637789395,11,1.157580283793876,0.29873039581777444,0.4480955937266617,0.11202389843166542,0.4480955937266617,0.08052434456928839,0.11923076923076924,0.043795620437956206
"Draymond Green","GSW",43,1222,3.225806451612903,0,1.2825495530509132,0.3497862417411582,0,0,0.5052467936261174,0.09705882352941177,0.15639810426540285,0
"Marquese Chriss","GSW",59,1196,6.280193236714976,0,2.737520128824477,0.4428341384863124,0,0,0.644122383252818,0.15384615384615385,0.1687344913151365,0
"D'Angelo Russell","GSW",33,1060,6.428571428571429,3,2.544642857142857,0.22321428571428573,0.17857142857142858,0.08928571428571429,0.5357142857142857,0.08853410740203194,0.1557377049180328,0.01238390092879257
"Ky Bowman","GSW",45,1015,1.951451689671585,0,0.8567348881485007,0.28557829604950025,0.047596382674916705,0,0.19038553069966682,0.05688622754491018,0.07964601769911504,0.009259259259259259
"Willie Cauley-Stein","GSW",41,941,2.9656607700312176,0,1.5088449531737773,0.2601456815816857,0,0,0.1040582726326743,0.10320284697508897,0.10320284697508897,0
"Omari Spellman","GSW",49,886,4.967602591792657,0,2.321814254859611,0.6479481641468683,0,0,0.48596112311015116,0.13190184049079753,0.19907407407407407,0
"Jacob Evans","GSW",27,414,3.352601156069364,0,1.6184971098265897,0.11560693641618497,0,0,0.11560693641618497,0.0958904109589041,0.12962962962962962,0
"Andrew Wiggins","GSW",12,403,7.3053892215568865,1,3.3532934131736525,1.3173652694610778,0.11976047904191617,0,0.718562874251497,0.1407766990291262,0.1917808219178082,0.016666666666666666
"Juan Toscano-Anderson","GSW",13,272,0.9090909090909091,0,0.5454545454545454,0.18181818181818182,0,0,0,0.046153846153846156,0.07142857142857142,0
"Kevon Looney","GSW",20,262,2.2140221402214024,0,1.6605166051660516,1.1070110701107012,0,0,0,0.10975609756097561,0.1323529411764706,0
"Mychal Mulder","GSW",7,204,2.891566265060241,1,0.7228915662650602,0.24096385542168675,0,0,0.7228915662650602,0.043478260869565216,0.17647058823529413,0
"Dragan Bender","GSW",9,195,2.763819095477387,0,1.5075376884422111,0.25125628140703515,0,0,0,0.07894736842105263,0.14285714285714285,0
"Stephen Curry","GSW",5,139,8.30670926517572,0,3.194888178913738,0.6389776357827476,0.6389776357827476,0.3194888178913738,0.6389776357827476,0.13186813186813187,0.24390243902439024,0.04
"Alen Smailagic","GSW",14,139,6.529209621993127,0,3.4364261168384878,1.0309278350515463,0,0,0.3436426116838488,0.2127659574468085,0.29411764705882354,0
"Jeremy Pargo","GSW",3,44,1.1235955056179776,0,1.1235955056179776,1.1235955056179776,0,0,0,0.045454545454545456,0.06666666666666667,0
"Chasson Randle","GSW",3,40,7.0588235294117645,0,3.5294117647058822,0,0,0,0,0.42857142857142855,0.6,0
"Zach Norvell Jr.","GSW",3,36,1.2820512820512822,1,0,0,0,0,0,0,0,0
