"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"James Harden","HOU",72,2633,15.005378271782,39,4.858372176407315,1.1473646468268197,1.3266403728935101,0.2509860164933668,1.1473646468268197,0.18352059925093633,0.29585152838427947,0.07555089192025184
"P.J. Tucker","HOU",76,2614,0.8662696264212236,0,0.1985201227215304,0.03609456776755098,0,0,0.25266197437285687,0.023504273504273504,0.0763888888888889,0
"Danuel House Jr.","HOU",67,2060,2.2535852492601864,0,0.8877760072843159,0.2048713862963806,0.13658092419758708,0,0.13658092419758708,0.07246376811594203,0.16810344827586207,0.015424164524421594
"Russell Westbrook","HOU",57,2049,8.465137001559368,10,4.121185119180218,1.0247271107150813,0.044553352639786145,0,0.4455335263978614,0.13150492264416316,0.15327257663628832,0.009302325581395349
"Ben McLemore","HOU",75,1683,1.8590455049944505,1,0.5826859045504994,0.08324084350721421,0.13873473917869034,0,0.16648168701442842,0.04421768707482993,0.18421052631578946,0.010548523206751054
"Austin Rivers","HOU",72,1677,3.1432545201668987,1,1.4186369958275382,0.4172461752433936,0.027816411682892908,0,0.30598052851182195,0.09252669039145907,0.18345323741007194,0.0035211267605633804
"Clint Capela","HOU",39,1279,3.801169590643275,0,1.9371345029239766,0.5482456140350878,0,0,0.25584795321637427,0.12441314553990611,0.12441314553990611,0
"Eric Gordon","HOU",40,1152,4.847756410256411,7,2.043269230769231,0.6810897435897436,0.20032051282051283,0,0.28044871794871795,0.09688581314878893,0.21610169491525424,0.014619883040935672
"Robert Covington","HOU",26,838,1.8058690744920993,0,0.8465011286681715,0.22573363431151242,0.11286681715575621,0.056433408577878104,0.056433408577878104,0.06415094339622641,0.19736842105263158,0.010582010582010581
"Jeff Green","HOU",22,547,2.8862478777589136,0,1.1884550084889642,0.3395585738539898,0,0,0.4244482173174873,0.06829268292682927,0.1414141414141414,0
"Thabo Sefolosha","HOU",41,436,0.8501594048884166,0,0.3188097768331562,0.21253985122210414,0,0,0.21253985122210414,0.03260869565217391,0.07894736842105263,0
"Chris Clemons","HOU",33,291,1.7350157728706626,1,0.31545741324921134,0,0,0,0.47318611987381703,0.013888888888888888,0.05405405405405406,0
"Isaiah Hartenstein","HOU",23,266,4.903677758318739,0,2.1015761821366024,1.0507880910683012,0,0,0.8756567425569177,0.1643835616438356,0.17647058823529413,0
"Tyson Chandler","HOU",26,219,2.73109243697479,0,1.2605042016806722,0.21008403361344538,0,0,0.21008403361344538,0.2608695652173913,0.2608695652173913,0
"Gary Clark","HOU",18,212,1.5486725663716814,0,0.6637168141592921,0.22123893805309736,0,0,0.22123893805309736,0.04918032786885246,0.3,0
"DeMarre Carroll","HOU",10,157,6.470588235294118,0,2.9411764705882355,0.5882352941176471,0,0,0.5882352941176471,0.21739130434782608,0.38461538461538464,0
"Michael Frazier","HOU",14,147,4.320987654320987,0,0.9259259259259259,0,0,0,1.2345679012345678,0.09375,0.3333333333333333,0
"Bruno Caboclo","HOU",9,54,4.838709677419355,0,1.6129032258064515,0,0,0,0.8064516129032258,0.08695652173913043,0.13333333333333333,0
"Luc Mbah a Moute","HOU",3,25,3.3333333333333335,0,1.6666666666666667,0,0,0,0,0.16666666666666666,0.25,0
"Ryan Anderson","HOU",2,14,0,0,0,0,0,0,0,0,0,0
"William Howard","HOU",2,13,0,0,0,0,0,0,0,0,0,0
