"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"T.J. Warren","IND",71,2359,4.444908180300501,7,2.2328881469115194,0.8347245409015025,0.12520868113522537,0.06260434056761269,0.20868113522537562,0.09955947136563877,0.12063134160090191,0.024193548387096774
"Domantas Sabonis","IND",62,2159,6.7765567765567765,0,2.999084249084249,0.7326007326007326,0,0,0.7554945054945055,0.13833157338965152,0.14886363636363636,0
"Myles Turner","IND",66,1971,4.662298387096774,0,2.318548387096774,0.5796370967741935,0,0,0.3024193548387097,0.13142857142857142,0.21100917431192662,0
"Justin Holiday","IND",77,1957,1.731815932706581,1,0.49480455220188024,0.09896091044037605,0.12370113805047006,0.024740227610094014,0.24740227610094012,0.04743833017077799,0.11363636363636363,0.014245014245014245
"Malcolm Brogdon","IND",58,1826,5.780659103187467,20,1.9448946515397083,0.3511615343057807,0.02701242571582928,0.02701242571582928,0.8373851971907077,0.08410138248847926,0.11726384364820847,0.003937007874015748
"Aaron Holiday","IND",70,1689,2.655889145496536,1,1.0392609699769053,0.28868360277136257,0.028868360277136258,0,0.37528868360277134,0.060556464811783964,0.09473684210526316,0.004329004329004329
"Doug McDermott","IND",73,1427,1.9634394041976981,6,0.6093432633716994,0.2031144211238998,0.33852403520649965,0.2031144211238998,0.1015572105619499,0.04844290657439446,0.06666666666666667,0.032467532467532464
"T.J. McConnell","IND",74,1354,1.5652792600498044,0,0.7470651013874067,0.2845962290999644,0,0,0.17787264318747775,0.04861111111111111,0.05060240963855422,0
"Jeremy Lamb","IND",46,1291,4.196871423120946,1,1.8695154521175124,0.3433803891644411,0.07630675314765356,0,0.26707363601678746,0.09788867562380038,0.13573407202216067,0.0125
"Victor Oladipo","IND",23,651,5.588673621460507,0,2.0119225037257826,0.22354694485842028,0.14903129657228018,0.07451564828614009,0.7451564828614009,0.08868501529051988,0.14285714285714285,0.014492753623188406
"JaKarr Sampson","IND",38,520,2.4861878453038675,0,1.289134438305709,0.4604051565377532,0,0,0.1841620626151013,0.1,0.11023622047244094,0
"Edmond Sumner","IND",34,487,3.0753968253968256,0,1.3888888888888888,0.1984126984126984,0.0992063492063492,0,0.0992063492063492,0.09259259259259259,0.13333333333333333,0.017543859649122806
"Goga Bitadze","IND",54,471,3.2967032967032965,0,1.2987012987012987,0.0999000999000999,0,0,0.3996003996003996,0.08024691358024691,0.10833333333333334,0
"TJ Leaf","IND",28,222,3.3542976939203353,0,1.2578616352201257,0.4192872117400419,0,0,0.6289308176100629,0.06666666666666667,0.08333333333333333,0
"Alize Johnson","IND",18,118,3.952569169960474,0,1.5810276679841897,0.7905138339920948,0,0,0.7905138339920948,0.12903225806451613,0.17391304347826086,0
"Naz Mitrou-Long","IND",5,47,0,0,0,0,0,0,0,0,0,0
"Brian Bowen II","IND",6,31,0,0,0,0,0,0,0,0,0,0
