"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Kawhi Leonard","LAC",62,2042,10.73968705547653,20,4.172593646277857,1.1379800853485065,0.1896633475580844,0.07112375533428165,1.3513513513513513,0.13401310997815002,0.17374136229022705,0.022222222222222223
"Lou Williams","LAC",70,2010,8.323699421965317,13,2.959537572254335,0.7398843930635838,0.4161849710982659,0,0.8092485549132948,0.13176895306859207,0.1695364238410596,0.05099150141643059
"Montrezl Harrell","LAC",68,1844,9.574468085106384,0,5.040526849037487,1.8996960486322187,0,0,0.7092198581560284,0.2066458982346833,0.2110286320254507,0
"Paul George","LAC",53,1596,7.0979335130278525,18,2.575621443545972,0.5390835579514824,0.1497454327643007,0,0.7487271638215034,0.09660297239915075,0.16796875,0.011627906976744186
"Landry Shamet","LAC",58,1551,2.418120599938782,0,0.48974594429139884,0.061218243036424855,0.42852770125497397,0.09182736455463728,0.21426385062748698,0.06756756756756757,0.13445378151260504,0.043076923076923075
"Ivica Zubac","LAC",77,1441,6.176172797840027,0,2.834964562942963,0.4387445156935538,0,0,0.4724940938238272,0.1728395061728395,0.17355371900826447,0
"JaMychal Green","LAC",68,1376,1.780212256076686,1,0.7531667237247518,0.10270455323519342,0,0,0.17117425539198905,0.05670103092783505,0.15384615384615385,0
"Patrick Beverley","LAC",52,1362,1.7332861690838344,0,0.5305978068623983,0.17686593562079944,0.07074637424831977,0,0.318358684117439,0.04735376044568245,0.10273972602739725,0.009389671361502348
"Maurice Harkless","LAC",50,1141,1.7529215358931554,0,0.8347245409015025,0.1669449081803005,0,0,0.12520868113522537,0.08583690987124463,0.125,0
"Rodney McGruder","LAC",58,879,1.8085106382978724,0,0.7446808510638298,0.2127659574468085,0.10638297872340426,0,0.10638297872340426,0.08163265306122448,0.13725490196078433,0.02127659574468085
"Patrick Patterson","LAC",60,781,2.591922845087402,0,0.8438818565400844,0.18083182640144665,0,0,0.5424954792043399,0.05668016194331984,0.19444444444444445,0
"Marcus Morris Sr.","LAC",24,711,1.8392370572207084,0,0.6811989100817438,0.1362397820163488,0.20435967302452315,0.1362397820163488,0.1362397820163488,0.05603448275862069,0.08196721311475409,0.02727272727272727
"Jerome Robinson","LAC",42,476,1.8251681075888568,0,0.5763688760806917,0.09606147934678194,0,0,0.38424591738712777,0.0425531914893617,0.08108108108108109,0
"Reggie Jackson","LAC",22,472,2.1341463414634148,0,0.8130081300813008,0.3048780487804878,0,0,0.4065040650406504,0.04790419161676647,0.0963855421686747,0
"Terance Mann","LAC",46,379,3.321033210332103,0,1.7220172201722017,0.36900369003690037,0,0,0.12300123001230012,0.15555555555555556,0.2,0
"Derrick Walton Jr.","LAC",23,222,1.910828025477707,0,0.42462845010615713,0,0.21231422505307856,0,0.21231422505307856,0.07692307692307693,0.11764705882352941,0.045454545454545456
"Amir Coffey","LAC",20,164,3.7037037037037037,0,0.8547008547008547,0.2849002849002849,0,0,1.1396011396011396,0.05263157894736842,0.08108108108108109,0
"Mfiondu Kabengele","LAC",12,64,3.7313432835820897,0,1.492537313432836,0.746268656716418,0,0,0.746268656716418,0.06060606060606061,0.15384615384615385,0
"Joakim Noah","LAC",6,51,6.956521739130435,0,2.608695652173913,0,0,0,0.8695652173913043,0.2727272727272727,0.2727272727272727,0
"Johnathan Motley","LAC",13,41,7.777777777777778,0,3.3333333333333335,1.1111111111111112,0,0,1.1111111111111112,0.17647058823529413,0.1875,0
