"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"LeBron James","LAL",71,2447,8.204824041122974,4,3.8948200869909053,1.4037168841439305,0.019770660340055358,0,0.8501383946223804,0.13279678068410464,0.18869731800766285,0.0022371364653243847
"Anthony Davis","LAL",66,2258,11.935280521117882,33,3.992435385585207,1.1346921622189536,0.1891153603698256,0.12607690691321707,2.059256146249212,0.15172413793103448,0.17707362534948742,0.034482758620689655
"Kentavious Caldwell-Pope","LAL",73,1864,2.8013364173734256,9,1.079414032382421,0.2570033410434336,0.05140066820868671,0,0.2570033410434336,0.07599309153713299,0.13333333333333333,0.007575757575757576
"Danny Green","LAL",72,1789,1.355301621047037,0,0.31889449906989104,0.053149083178315175,0.15944724953494552,0.07972362476747276,0.2391708743024183,0.0345489443378119,0.07017543859649122,0.017142857142857144
"Kyle Kuzma","LAL",65,1622,4.855220824802574,4,2.222872184849371,0.5264697279906405,0.17548990933021352,0,0.14624159110851126,0.10649350649350649,0.160676532769556,0.020202020202020204
"Dwight Howard","LAL",73,1380,8.028673835125447,0,3.4050179211469533,0.8243727598566308,0,0,1.075268817204301,0.25745257452574527,0.26170798898071623,0
"Alex Caruso","LAL",68,1269,3.702304495655459,0,1.2844729882886285,0.34000755572346053,0,0,0.7555723460521345,0.10059171597633136,0.16585365853658537,0
"Avery Bradley","LAL",49,1186,0.96,0,0.36,0.08,0,0,0.16,0.023076923076923078,0.041474654377880185,0
"JaVale McGee","LAL",72,1184,3.3238751520064858,0,1.7024726388325901,0.4864207539521686,0,0,0.20267531414673692,0.11830985915492957,0.12034383954154727,0
"Rajon Rondo","LAL",48,984,2.016724053123463,0,0.6394490900147565,0.04918839153959666,0,0,0.39350713231677326,0.03823529411764706,0.06046511627906977,0
"Quinn Cook","LAL",46,525,1.3574660633484164,3,0.5429864253393665,0.09049773755656108,0.09049773755656108,0.09049773755656108,0,0.030973451327433628,0.04316546762589928,0.011494252873563218
"Troy Daniels","LAL",41,456,1.702127659574468,3,0.5319148936170213,0.3191489361702128,0.2127659574468085,0.10638297872340426,0.10638297872340426,0.043478260869565216,0.10416666666666667,0.017699115044247787
"Jared Dudley","LAL",47,378,0.2607561929595828,0,0,0,0,0,0.1303780964797914,0,0,0
"Markieff Morris","LAL",18,271,1.2280701754385965,0,0.7017543859649122,0.17543859649122806,0,0,0,0.046511627906976744,0.10810810810810811,0
"Dion Waiters","LAL",10,195,3.9215686274509802,2,1.4705882352941178,0.7352941176470589,0.24509803921568626,0.24509803921568626,0.49019607843137253,0.08333333333333333,0.11320754716981132,0.03225806451612903
"JR Smith","LAL",9,126,0.7633587786259542,0,0.3816793893129771,0,0,0,0,0.023255813953488372,0.0625,0
"Talen Horton-Tucker","LAL",6,81,2.2988505747126435,0,1.1494252873563218,0,0,0,0,0.0625,0.10526315789473684,0
"Kostas Antetokounmpo","LAL",5,20,4.444444444444445,0,2.2222222222222223,0,0,0,0,0.25,0.25,0
"Devontae Cacok","LAL",1,9,0,0,0,0,0,0,0,0,0,0
"Zach Norvell Jr.","LAL",2,5,0,0,0,0,0,0,0,0,0,0
