"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Dillon Brooks","MEM",74,2150,4.51952610794208,16,1.8867924528301887,0.46072838964458096,0.1755155770074594,0.0877577885037297,0.28521281263712156,0.0805892547660312,0.11700680272108843,0.016706443914081145
"Ja Morant","MEM",68,2116,7.045707915273133,3,3.1661092530657746,0.5797101449275363,0.022296544035674472,0,0.5797101449275363,0.1321626617375231,0.15848214285714285,0.005376344086021506
"Jonas Valanciunas","MEM",71,1879,5.203334175296792,3,2.374336953776206,0.42940136398080325,0,0,0.40414246021722655,0.11298076923076923,0.12754409769335143,0
"Jaren Jackson Jr.","MEM",57,1622,5.361775727875468,0,2.2196598443355433,0.46122801960219084,0.11530700490054771,0.028826751225136928,0.5477082732776016,0.09914320685434516,0.1726457399103139,0.01078167115902965
"Kyle Anderson","MEM",68,1357,2.74020117932709,0,1.422129725979882,0.2774887270204648,0,0,0.1040582726326743,0.11081081081081082,0.1443661971830986,0
"Brandon Clarke","MEM",59,1325,3.933965577801194,0,1.8967334035827186,0.6673691605198454,0,0,0.4214963119072708,0.10285714285714286,0.11842105263157894,0
"Jae Crowder","MEM",45,1322,3.371185237757275,0,0.8516678495386799,0.14194464158977999,0.319375443577005,0.10645848119233499,0.5322924059616749,0.07547169811320754,0.1568627450980392,0.02952029520295203
"Tyus Jones","MEM",65,1232,2.182913059841927,6,0.5645464809936018,0.03763643206624012,0.03763643206624012,0,0.3763643206624012,0.036036036036036036,0.047021943573667714,0.008
"De'Anthony Melton","MEM",61,1182,4.776944334780892,5,1.381760757994473,0.35530990919857874,0.07895775759968417,0,0.9869719699960521,0.08545034642032333,0.1206896551724138,0.013986013986013986
"Solomon Hill","MEM",48,901,1.9895287958115184,0,0.680628272251309,0.05235602094240838,0.05235602094240838,0,0.2617801047120419,0.056910569105691054,0.1326530612244898,0.006756756756756757
"Grayson Allen","MEM",39,741,2.9578351164254246,3,1.2586532410320956,0.2517306482064191,0.06293266205160478,0.06293266205160478,0.2517306482064191,0.07777777777777778,0.15625,0.007042253521126761
"Marko Guduric","MEM",44,484,2.5242718446601944,0,1.2621359223300972,0.7766990291262136,0,0,0.3883495145631068,0.08024691358024691,0.16455696202531644,0
"Josh Jackson","MEM",22,381,6.165228113440198,0,2.219482120838471,0.4932182490752158,0.4932182490752158,0.12330456226880394,0.4932182490752158,0.12,0.1782178217821782,0.04054054054054054
"Gorgui Dieng","MEM",18,332,5.982905982905983,2,1.9943019943019944,0.5698005698005698,0,0,1.1396011396011396,0.1414141414141414,0.208955223880597,0
"Anthony Tolliver","MEM",14,260,1.8315018315018314,0,0.7326007326007326,0,0,0,0.18315018315018314,0.07142857142857142,0.3076923076923077,0
"Bruno Caboclo","MEM",22,192,0.7194244604316546,0,0.47961630695443647,0.23980815347721823,0,0,0,0.02857142857142857,0.044444444444444446,0
"John Konchar","MEM",19,181,0.5235602094240838,0,0.5235602094240838,0.5235602094240838,0,0,0,0.05405405405405406,0.07407407407407407,0
"Yuta Watanabe","MEM",18,105,3.6363636363636362,0,1.8181818181818181,0,0,0,0,0.10526315789473684,0.13333333333333333,0
"Jordan Bell","MEM",2,21,4.25531914893617,0,2.127659574468085,0,0,0,0,0.125,0.2,0
"Jarrod Uthoff","MEM",4,14,7.142857142857143,0,3.5714285714285716,0,0,0,0,0.125,0.25,0
"Dusty Hannahs","MEM",2,13,6.896551724137931,0,3.4482758620689653,0,0,0,0,0.1,0.14285714285714285,0
