"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Bam Adebayo","MIA",76,2554,7.776261937244202,0,3.5080880919898654,0.8380432664198012,0,0,0.7990645098421361,0.18461538461538463,0.18730489073881373,0
"Duncan Robinson","MIA",77,2266,1.7833840800347978,8,0.26098303610265333,0.08699434536755112,0.32622879512831665,0.08699434536755112,0.19573727707698999,0.036585365853658534,0.1276595744680851,0.023291925465838508
"Jimmy Butler","MIA",62,2094,13.37895233600755,13,5.804624823029731,1.2033978291647003,0.11798017932987258,0,1.1562057574327513,0.2485089463220676,0.2808219178082192,0.03076923076923077
"Kendrick Nunn","MIA",68,1977,2.5449101796407185,5,0.8483033932135728,0.1497005988023952,0.0748502994011976,0,0.32435129740518964,0.03894736842105263,0.06148282097649186,0.007556675062972292
"Goran Dragic","MIA",63,1800,6.989975616364129,4,1.8965050121918179,0.3522080736927662,0.270929287455974,0.0541858574911948,1.3817393660254673,0.09259259259259259,0.14314928425357873,0.02666666666666667
"Tyler Herro","MIA",59,1638,3.483179517713605,3,0.9824352485858887,0.14885382554331647,0.23816612086930633,0,0.4465614766299494,0.057342657342657345,0.08527131782945736,0.024390243902439025
"Derrick Jones Jr.","MIA",63,1418,4.502286317270489,0,1.9345761519521631,0.457263454097784,0.07034822370735139,0.035174111853675694,0.4924375659514597,0.14321608040201006,0.2099236641221374,0.014705882352941176
"Kelly Olynyk","MIA",71,1355,3.6260220405261285,2,0.8176324209029506,0.14219694276573053,0.24884464984002844,0,0.7109847138286527,0.06772009029345373,0.12041884816753927,0.027777777777777776
"Meyers Leonard","MIA",51,1034,1.3565891472868217,0,0.7267441860465116,0.3875968992248062,0,0,0.14534883720930233,0.06224066390041494,0.13274336283185842,0
"Jae Crowder","MIA",24,656,2.9761904761904763,0,0.6696428571428571,0.0744047619047619,0.37202380952380953,0.1488095238095238,0.44642857142857145,0.06829268292682927,0.18,0.03225806451612903
"Andre Iguodala","MIA",25,525,1.569713758079409,0,0.554016620498615,0.18467220683287167,0.09233610341643583,0,0.18467220683287167,0.0673076923076923,0.12244897959183673,0.01818181818181818
"Justise Winslow","MIA",11,352,3.5952063914780292,0,1.3315579227696406,0.13315579227696406,0,0,0.5326231691078562,0.07246376811594203,0.09009009009009009,0
"Chris Silva","MIA",44,346,7.638888888888889,0,3.0555555555555554,0.1388888888888889,0,0,0.8333333333333334,0.2222222222222222,0.22916666666666666,0
"James Johnson","MIA",18,281,2.482269503546099,0,1.4184397163120568,0.3546099290780142,0,0,0,0.08602150537634409,0.16666666666666666,0
"Solomon Hill","MIA",11,187,4.1450777202072535,0,1.8134715025906736,0.5181347150259067,0,0,0.5181347150259067,0.14,0.2692307692307692,0
"Gabe Vincent","MIA",9,83,0,0,0,0,0,0,0,0,0,0
"Udonis Haslem","MIA",4,44,4.651162790697675,0,0,0,0,0,2.3255813953488373,0,0,0
"Dion Waiters","MIA",3,42,1.1904761904761905,0,0,0,1.1904761904761905,1.1904761904761905,0,0.038461538461538464,0,0.058823529411764705
"KZ Okpala","MIA",5,26,4.25531914893617,0,4.25531914893617,4.25531914893617,0,0,0,0.4,0.5,0
"Daryl Macon","MIA",4,14,0,0,0,0,0,0,0,0,0,0
"Kyle Alexander","MIA",2,13,0,0,0,0,0,0,0,0,0,0
