"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Giannis Antetokounmpo","MIL",67,2047,14.795008912655971,3,7.152406417112299,2.2058823529411766,0.044563279857397504,0,1.2700534759358288,0.20906148867313915,0.26097560975609757,0.006349206349206349
"Khris Middleton","MIL",66,1978,5.542671614100185,13,1.6001855287569573,0.37105751391465674,0.5102040816326531,0.1391465677179963,0.5797773654916512,0.08488805970149253,0.10176991150442478,0.05583756345177665
"Brook Lopez","MIL",72,1941,3.6303630363036303,0,1.768033946251768,0.3771805752003772,0.04714757190004715,0.023573785950023574,0.1885902876001886,0.09987029831387809,0.17688679245283018,0.005763688760806916
"Eric Bledsoe","MIL",65,1749,5.760249091852621,0,2.776336274001038,0.8562532433834976,0.07784120394395433,0,0.4151530877010898,0.1336573511543135,0.18074324324324326,0.012987012987012988
"Wesley Matthews","MIL",71,1729,1.8547959724430312,6,0.6094329623741388,0.0794912559618442,0.13248542660307366,0.026497085320614733,0.10598834128245893,0.05970149253731343,0.1564625850340136,0.015527950310559006
"Donte DiVincenzo","MIL",70,1575,2.742923840093376,0,0.9921213889699445,0.11672016340822877,0.058360081704114386,0.029180040852057193,0.3793405310767435,0.06382978723404255,0.11003236245954692,0.00784313725490196
"George Hill","MIL",63,1360,3.872752420470263,9,0.9681881051175657,0.1037344398340249,0.13831258644536654,0.06915629322268327,0.7261410788381742,0.07529411764705882,0.11814345991561181,0.02127659574468085
"Pat Connaughton","MIL",71,1331,1.3956734124214933,0,0.5931612002791347,0.209351011863224,0,0,0.209351011863224,0.051515151515151514,0.11333333333333333,0
"Kyle Korver","MIL",62,1023,1.9902697921273773,10,0.17691287041132242,0.044228217602830605,0.30959752321981426,0.13268465280849182,0.30959752321981426,0.033950617283950615,0.0625,0.026923076923076925
"Ersan Ilyasova","MIL",65,997,4.009216589861751,0,1.4746543778801844,0.2304147465437788,0.09216589861751152,0.09216589861751152,0.5990783410138248,0.09883720930232558,0.1568627450980392,0.014285714285714285
"Robin Lopez","MIL",69,979,2.535885167464115,0,1.1004784688995215,0.3349282296650718,0,0,0.3349282296650718,0.07210031347962383,0.10747663551401869,0
"Sterling Brown","MIL",53,770,2.379535990481856,0,1.189767995240928,0.4164187983343248,0.0594883997620464,0,0.1189767995240928,0.07749077490774908,0.15037593984962405,0.007246376811594203
"Marvin Williams","MIL",21,375,0.8760951188986232,0,0.2503128911138924,0.1251564455569462,0,0,0.2503128911138924,0.028985507246376812,0.09090909090909091,0
"D.J. Wilson","MIL",37,363,2.269861286254729,0,0.8827238335435057,0.25220680958385877,0,0,0.37831021437578816,0.051094890510948905,0.109375,0
"Thanasis Antetokounmpo","MIL",20,129,5.964912280701754,0,2.1052631578947367,0.7017543859649122,0.3508771929824561,0,0.7017543859649122,0.1320754716981132,0.14285714285714285,0.09090909090909091
"Frank Mason","MIL",10,118,6.4393939393939394,0,3.0303030303030303,0.3787878787878788,0,0,0.3787878787878788,0.13793103448275862,0.21621621621621623,0
"Dragan Bender","MIL",7,91,1.5228426395939085,0,1.015228426395939,0.5076142131979695,0,0,0,0.09090909090909091,0.15384615384615385,0
