"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Josh Okogie","MIN",62,1547,5.72370392568175,2,2.39736290080911,0.4195385076415942,0.08990110878034162,0,0.5094396164219359,0.1777301927194861,0.25806451612903225,0.01910828025477707
"Jarrett Culver","MIN",63,1506,3.6267823930564167,0,1.735895846249225,0.34097954122752633,0,0,0.24798512089274644,0.09120521172638436,0.14249363867684478,0
"Andrew Wiggins","MIN",42,1455,6.712062256809339,1,3.14526588845655,0.6809338521400778,0.22697795071335927,0.09727626459143969,0.2918287937743191,0.11954022988505747,0.16412859560067683,0.025089605734767026
"Robert Covington","MIN",48,1411,3.142761618187897,0,1.1367435640254095,0.2674690738883317,0.2674690738883317,0.10030090270812438,0.2674690738883317,0.07969639468690702,0.1619047619047619,0.025236593059936908
"Karl-Anthony Towns","MIN",35,1187,8.862745098039216,12,3.411764705882353,1.2156862745098038,0.27450980392156865,0.0784313725490196,1.0588235294117647,0.1376281112737921,0.2169576059850374,0.024822695035460994
"Jeff Teague","MIN",34,945,7.125185551707076,8,2.6224641266699655,0.44532409698169223,0.24740227610094012,0.04948045522018803,0.6432459178624443,0.15591397849462366,0.18861209964412812,0.054945054945054944
"Shabazz Napier","MIN",36,856,4.835164835164835,4,1.3186813186813187,0.16483516483516483,0.4945054945054945,0.054945054945054944,0.38461538461538464,0.10289389067524116,0.16551724137931034,0.04819277108433735
"Gorgui Dieng","MIN",46,778,3.671437461107654,0,1.4934660858742999,0.24891101431238333,0,0,0.49782202862476665,0.08080808080808081,0.13559322033898305,0
"Treveon Graham","MIN",33,663,2.659956865564342,0,1.2940330697340043,0.21567217828900073,0,0,0.14378145219266714,0.09473684210526316,0.16822429906542055,0
"Keita Bates-Diop","MIN",37,646,4.747991234477721,0,2.264426588750913,0.5113221329437546,0.14609203798392986,0,0.14609203798392986,0.14224137931034483,0.22794117647058823,0.020833333333333332
"Jordan McLaughlin","MIN",30,590,3.051643192488263,2,1.2519561815336464,0.5477308294209703,0,0,0.4694835680751174,0.0855614973262032,0.14414414414414414,0
"Jake Layman","MIN",23,505,2.841918294849023,0,1.5097690941385435,0.5328596802841918,0,0,0.17761989342806395,0.08947368421052632,0.1440677966101695,0
"Naz Reid","MIN",30,495,4.971857410881801,0,2.720450281425891,0.7504690431519699,0.09380863039399624,0,0,0.11320754716981132,0.17365269461077845,0.01020408163265306
"Kelan Martin","MIN",31,495,2.8810408921933086,0,1.20817843866171,0.37174721189591076,0.09293680297397769,0,0.2788104089219331,0.07329842931937172,0.13829787234042554,0.010309278350515464
"Malik Beasley","MIN",14,463,2.772277227722772,1,1.188118811881188,0.297029702970297,0,0,0.297029702970297,0.049586776859504134,0.09448818897637795,0
"Juancho Hernangomez","MIN",14,411,5.071664829106946,0,1.9845644983461963,0.33076074972436603,0.33076074972436603,0.11025358324145534,0.33076074972436603,0.13636363636363635,0.21686746987951808,0.04225352112676056
"D'Angelo Russell","MIN",12,392,6.314580941446613,2,1.2629161882893227,0.2296211251435132,0.34443168771526983,0.1148105625717566,1.492537313432836,0.06306306306306306,0.1,0.026785714285714284
"Noah Vonleh","MIN",29,347,3.7383177570093458,0,1.2016021361815754,0.13351134846461948,0,0,0.8010680907877169,0.09574468085106383,0.1125,0
"James Johnson","MIN",14,338,4.527296937416778,0,2.396804260985353,0.5326231691078562,0,0,0.13315579227696406,0.1267605633802817,0.1875,0
"Jordan Bell","MIN",27,235,5.776892430278885,0,1.3944223107569722,0.199203187250996,0,0,1.593625498007968,0.10606060606060606,0.12280701754385964,0
"Jaylen Nowell","MIN",15,151,5.105105105105105,1,2.1021021021021022,0.3003003003003003,0.3003003003003003,0,0,0.13333333333333333,0.21212121212121213,0.037037037037037035
"Allen Crabbe","MIN",9,131,0.6825938566552902,0,0.3412969283276451,0,0,0,0,0.02857142857142857,0.1111111111111111,0
"Jarred Vanderbilt","MIN",2,5,18.181818181818183,0,9.090909090909092,0,0,0,0,0.5,1,0
"Jacob Evans","MIN",2,4,0,0,0,0,0,0,0,0,0,0
