"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Jrue Holiday","NOP",61,2117,4.013230429988974,6,1.609702315325248,0.5292171995589857,0.17640573318632854,0,0.33076074972436603,0.0761994355597366,0.10296191819464035,0.022598870056497175
"Brandon Ingram","NOP",62,2104,8.086134915403209,12,3.3618984838497035,0.8349813227862009,0.43946385409800043,0.15381234893430015,0.4614370468029005,0.14133986928104575,0.18500604594921402,0.05037783375314862
"Lonzo Ball","NOP",63,2025,1.7435191557696719,0,0.4817618719889883,0.09176416609314063,0.13764624913971094,0.022941041523285157,0.25235145675613674,0.0380818053596615,0.06796116504854369,0.015
"Josh Hart","NOP",65,1755,3.065031982942431,0,1.359275053304904,0.3464818763326226,0.053304904051172705,0,0.26652452025586354,0.09265734265734266,0.2361111111111111,0.0056179775280898875
"JJ Redick","NOP",60,1581,5.370101596516691,17,0.7547169811320755,0.08708272859216255,0.7256894049346879,0.20319303338171263,0.8708272859216255,0.07589285714285714,0.10116731517509728,0.060240963855421686
"Derrick Favors","NOP",51,1243,2.6741996233521657,0,1.5065913370998116,0.5649717514124294,0,0,0.11299435028248588,0.10989010989010989,0.11204481792717087,0
"Jaxson Hayes","NOP",64,1080,8.074798130046748,0,3.909902252443689,0.9774755631109222,0,0,0.6374840628984275,0.2804878048780488,0.2839506172839506,0
"Nicolo Melli","NOP",60,1042,3.298689561680976,1,0.9941256213285133,0.22593764121102575,0.04518752824220515,0.04518752824220515,0.7230004518752824,0.06764705882352941,0.16417910447761194,0.0048543689320388345
"E'Twaun Moore","NOP",56,1020,2.0852641334569046,1,0.8341056533827618,0.27803521779425394,0,0,0.3243744207599629,0.0400890868596882,0.06382978723404255,0
"Kenrich Williams","NOP",39,832,1.4840182648401827,0,0.45662100456621,0.228310502283105,0.1141552511415525,0,0.228310502283105,0.06535947712418301,0.14814814814814814,0.020202020202020204
"Frank Jackson","NOP",59,797,4.317789291882556,2,1.6119746689694876,0.4605641911341393,0.17271157167530224,0.057570523891767415,0.5181347150259067,0.08781869688385269,0.13526570048309178,0.02054794520547945
"Zion Williamson","NOP",24,668,12.284334023464458,0,6.073153899240856,1.2422360248447204,0,0,0.6901311249137336,0.20465116279069767,0.21153846153846154,0
"Nickeil Alexander-Walker","NOP",47,591,2.9552715654952078,0,1.5175718849840256,0.23961661341853036,0,0,0.07987220447284345,0.0673758865248227,0.12751677852348994,0
"Jahlil Okafor","NOP",30,467,6.345957011258956,0,2.968270214943705,0.9211873080859775,0,0,0.7164790174002047,0.15934065934065933,0.16201117318435754,0
"Zylan Cheatham","NOP",4,51,0,0,0,0,0,0,0,0,0,0
"Sindarius Thornwell","NOP",2,35,5.633802816901408,0,2.816901408450704,0,0,0,0,0.15384615384615385,0.2222222222222222,0
"Josh Gray","NOP",2,23,0,0,0,0,0,0,0,0,0,0
