"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Julius Randle","NYK",64,2080,8.307764928015105,2,3.847061600188813,0.9912674061836205,0,0,0.7788529620014161,0.14463176574977818,0.18191964285714285,0
"RJ Barrett","NYK",56,1704,7.248858447488584,0,3.4531963470319633,0.7420091324200914,0,0,0.5422374429223744,0.14720194647201945,0.1936,0
"Mitchell Robinson","NYK",61,1412,5.1460361613351875,0,2.5730180806675937,0.6258692628650904,0,0,0.3129346314325452,0.18639798488664988,0.18639798488664988,0
"Bobby Portis","NYK",66,1393,3.2472067039106145,0,1.5363128491620113,0.4888268156424581,0.034916201117318434,0,0.27932960893854747,0.07258064516129033,0.10185185185185185,0.005319148936170213
"Marcus Morris Sr.","NYK",43,1387,7.081545064377682,15,2.217453505007153,0.6795422031473534,0.4291845493562232,0.17882689556509299,0.9656652360515021,0.10787172011661808,0.1493975903614458,0.04428044280442804
"Elfrid Payton","NYK",45,1246,3.3554428404213814,0,1.7557549746390948,0.4291845493562232,0,0,0.15606710885680844,0.0949367088607595,0.1111111111111111,0
"Frank Ntilikina","NYK",57,1187,2.4737945492662474,6,0.7966457023060797,0.12578616352201258,0,0,0.37735849056603776,0.054441260744985676,0.08962264150943396,0
"Kevin Knox II","NYK",65,1166,4.1683862979777135,2,1.9397441188609161,0.20635575732562939,0,0,0.20635575732562939,0.10609480812641084,0.19262295081967212,0
"Taj Gibson","NYK",62,1025,2.7184466019417477,0,1.4077669902912622,0.4854368932038835,0,0,0.1941747572815534,0.09508196721311475,0.09965635738831616,0
"Damyean Dotson","NYK",48,836,1.9186046511627908,4,0.5813953488372093,0.11627906976744186,0.1744186046511628,0,0.05813953488372093,0.04318936877076412,0.07407407407407407,0.018072289156626505
"Reggie Bullock","NYK",29,684,1.5075376884422111,3,0.6460875807609476,0.2871500358937545,0,0,0.14357501794687724,0.039301310043668124,0.07627118644067797,0
"Wayne Ellington","NYK",36,558,1.1565836298932384,3,0.2669039145907473,0.08896797153024912,0.08896797153024912,0,0.08896797153024912,0.022598870056497175,0.09090909090909091,0.006944444444444444
"Dennis Smith Jr.","NYK",34,537,4.818181818181818,0,2.090909090909091,0.45454545454545453,0,0,0.5454545454545454,0.10043668122270742,0.13142857142857142,0
"Allonzo Trier","NYK",24,291,7.107438016528926,1,1.8181818181818181,0,0.3305785123966942,0,1.1570247933884297,0.1092436974789916,0.171875,0.03636363636363636
"Maurice Harkless","NYK",12,286,4.013377926421405,0,1.839464882943144,0.33444816053511706,0,0,0.33444816053511706,0.14666666666666667,0.22,0
"Kadeem Allen","NYK",10,117,4.489795918367347,0,0.40816326530612246,0.40816326530612246,0.8163265306122449,0,0.8163265306122449,0.044444444444444446,0.03571428571428571,0.058823529411764705
"Ignas Brazdeikis","NYK",9,53,4.901960784313726,0,2.9411764705882355,0.9803921568627451,0,0,0,0.125,0.2,0
