"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Shai Gilgeous-Alexander","OKC",74,2593,7.099697885196375,1,2.926737160120846,0.6797583081570997,0.0188821752265861,0,0.925226586102719,0.1305439330543933,0.16829533116178066,0.0036496350364963502
"Chris Paul","OKC",74,2359,6.006628003314002,13,0.7663628831814416,0.3106876553438277,0.12427506213753108,0.08285004142502071,2.1541010770505387,0.043922369765066395,0.0571870170015456,0.018072289156626505
"Dennis Schroder","OKC",69,2133,5.764866091693146,7,1.997276441216523,0.47662278710848843,0.20426690876078074,0.022696323195642305,0.7716749886518384,0.08794197642792384,0.11827956989247312,0.025069637883008356
"Danilo Gallinari","OKC",66,1969,8.028834203330847,23,2.759134973900075,0.4722843649018146,0.29828486204325133,0.024857071836937607,0.7954262987820034,0.1266735324407827,0.22244488977955912,0.025423728813559324
"Steven Adams","OKC",67,1800,5.9064807219032,0,2.488378452283292,0.5468963631391851,0.027344818156959255,0,0.7383100902379,0.15889464594127806,0.15853658536585366,0.2
"Terrance Ferguson","OKC",58,1276,0.7840062720501764,0,0.3528028224225794,0.07840062720501764,0,0,0.07840062720501764,0.03896103896103896,0.15254237288135594,0
"Darius Bazley","OKC",65,1193,2.5420254202542027,0,1.2710127101271014,0.16400164001640016,0,0,0.08200082000820008,0.08611111111111111,0.14832535885167464,0
"Nerlens Noel","OKC",65,1180,4.8076923076923075,0,1.7976588628762542,0.4180602006688963,0,0,0.8361204013377926,0.13782051282051283,0.13915857605177995,0
"Luguentz Dort","OKC",39,917,3.2085561497326203,0,1.6042780748663101,0.5347593582887701,0,0,0.26737967914438504,0.11194029850746269,0.20833333333333334,0
"Hamidou Diallo","OKC",48,914,3.4246575342465753,0,1.791359325605901,0.47418335089567965,0.05268703898840885,0.05268703898840885,0.15806111696522657,0.10670731707317073,0.12734082397003746,0.01639344262295082
"Abdel Nader","OKC",57,879,3.6443953616786304,1,1.601325234676974,0.4969630038652678,0.22087244616234125,0.05521811154058531,0.16565433462175594,0.11498257839721254,0.1858974358974359,0.030534351145038167
"Mike Muscala","OKC",48,584,1.7828200972447326,0,0.5672609400324149,0.1620745542949757,0,0,0.4051863857374392,0.035897435897435895,0.13725490196078433,0
"Deonte Burton","OKC",40,358,1.8276762402088773,0,0.9138381201044387,0.5221932114882507,0,0,0.26109660574412535,0.0546875,0.09333333333333334,0
"Andre Roberson","OKC",8,90,1.0471204188481675,0,0,0,0,0,0.5235602094240838,0,0,0
"Devon Hall","OKC",11,81,4.371584699453552,0,0.546448087431694,0,0,0,1.639344262295082,0.03225806451612903,0.07142857142857142,0
"Kevin Hervey","OKC",10,52,0,0,0,0,0,0,0,0,0,0
"Justin Patton","OKC",5,24,0,0,0,0,0,0,0,0,0,0
"Isaiah Roby","OKC",3,11,0,0,0,0,0,0,0,0,0,0
