"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Evan Fournier","ORL",70,2213,5.077262693156733,11,1.8763796909492274,0.5298013245033113,0.1545253863134658,0.02207505518763797,0.6401766004415012,0.08837656099903939,0.14834205933682373,0.014957264957264958
"Nikola Vucevic","ORL",66,2144,3.993646471522578,0,1.8379850238257318,0.5445881552076243,0,0,0.43113228953936916,0.06887755102040816,0.09495896834701055,0
"Markelle Fultz","ORL",76,2111,3.7753222836095763,0,1.6574585635359116,0.4604051565377532,0,0,0.4604051565377532,0.08275862068965517,0.09944751381215469,0
"Aaron Gordon","ORL",62,2017,5.47677261613692,0,2.5183374083129584,0.6356968215158925,0.07334963325183375,0.0488997555012225,0.4889975550122249,0.12544378698224853,0.1696869851729819,0.012605042016806723
"Terrence Ross","ORL",73,2001,4.823386114494519,4,0.7795371498172959,0.3166869671132765,1.071863580998782,0.292326431181486,0.438489646772229,0.08,0.08226221079691516,0.0784313725490196
"D.J. Augustin","ORL",61,1524,6.4485081809432145,17,1.7965992941931344,0.28873917228103946,0.48123195380173245,0.06416426050689766,0.7058068655758742,0.12769784172661872,0.17073170731707318,0.06578947368421052
"Wes Iwundu","ORL",56,1014,4.918032786885246,0,2.266152362584378,0.33751205400192863,0.048216007714561235,0,0.2892960462873674,0.16551724137931034,0.23267326732673269,0.011363636363636364
"Khem Birch","ORL",52,992,5.448241703813769,0,2.526002971768202,0.2971768202080238,0,0,0.3467062902426944,0.2537313432835821,0.255,0
"Jonathan Isaac","ORL",34,980,3.8346613545816735,0,1.792828685258964,0.49800796812749004,0.049800796812749,0,0.29880478087649404,0.10306406685236769,0.13636363636363635,0.010526315789473684
"Mo Bamba","ORL",62,878,2.6195899772209565,0,1.1958997722095672,0.22779043280182232,0,0,0.22779043280182232,0.06930693069306931,0.10714285714285714,0
"Michael Carter-Williams","ORL",45,833,5.658129839189994,0,2.73972602739726,0.7742703990470519,0,0,0.47647409172126265,0.15699658703071673,0.21100917431192662,0
"James Ennis III","ORL",24,578,3.8111019055509527,0,1.9884009942004972,0.33140016570008285,0,0,0.08285004142502071,0.13559322033898305,0.23300970873786409,0
"Gary Clark","ORL",28,474,0.6054490413723511,0,0.20181634712411706,0.10090817356205853,0.10090817356205853,0,0,0.019230769230769232,0.13333333333333333,0
"Al-Farouq Aminu","ORL",18,380,3.7419354838709675,0,1.8064516129032258,0.12903225806451613,0,0,0.12903225806451613,0.1414141414141414,0.2222222222222222,0
"Melvin Frazier Jr.","ORL",19,126,1.4981273408239701,0,0.37453183520599254,0,0,0,0.37453183520599254,0.02857142857142857,0.05263157894736842,0
"BJ Johnson","ORL",11,86,5.208333333333333,0,1.5625,0,0,0,1.0416666666666667,0.08108108108108109,0.1111111111111111,0
"Amile Jefferson","ORL",18,74,8.9171974522293,0,3.821656050955414,0,0,0,0.6369426751592356,0.3,0.3,0
"Vic Law","ORL",9,65,4.285714285714286,0,0.7142857142857143,0,0,0,1.4285714285714286,0.05,0.08333333333333333,0
"Josh Magette","ORL",8,38,2.5974025974025974,0,0,0,0,0,1.2987012987012987,0,0,0
