"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Tobias Harris","PHI",76,2618,4.420617005267118,14,2.125658389766742,0.6395786305492852,0,0,0.28216704288939054,0.08606245239908607,0.12008501594048884,0
"Al Horford","PHI",71,2154,1.9692168401991852,0,0.724309642372114,0.2037120869171571,0,0,0.362154821186057,0.04227212681638045,0.06808510638297872,0
"Ben Simmons","PHI",57,2017,7.120669056152927,0,2.962962962962963,0.5734767025089605,0,0,0.8841099163679809,0.16599732262382866,0.16756756756756758,0
"Josh Richardson","PHI",59,1837,4.249064671298771,4,1.1491181186531267,0.18706574024585784,0.16034206306787813,0.10689470871191876,0.8818813468733298,0.06621621621621622,0.09327548806941431,0.021505376344086023
"Joel Embiid","PHI",55,1651,14.637037037037038,8,5.925925925925926,1.3925925925925926,0,0,2.0444444444444443,0.19455252918287938,0.23809523809523808,0
"Furkan Korkmaz","PHI",76,1599,3.2248342374924652,1,0.7836045810729355,0.09041591320072333,0.45207956600361665,0.12055455093429777,0.3013863773357444,0.06788079470198675,0.11255411255411256,0.040214477211796246
"Matisse Thybulle","PHI",69,1363,1.4695340501792116,0,0.5017921146953405,0.07168458781362007,0.10752688172043011,0.035842293906810034,0.14336917562724014,0.05944055944055944,0.11382113821138211,0.018404907975460124
"Mike Scott","PHI",72,1227,1.6413130504403524,2,0.5204163330664532,0.08006405124099279,0.040032025620496396,0,0.2401921537229784,0.03551912568306011,0.08843537414965986,0
"Shake Milton","PHI",44,931,3.8155802861685215,1,1.9607843137254901,0.2649708532061473,0,0,0.052994170641229466,0.1048158640226629,0.19170984455958548,0
"James Ennis III","PHI",49,776,3.8340666247642994,0,1.3827781269641735,0.18856065367693275,0.251414204902577,0.1257071024512885,0.3771213073538655,0.10526315789473684,0.15827338129496402,0.037037037037037035
"Raul Neto","PHI",56,693,3.3192090395480225,0,1.0593220338983051,0.2824858757062147,0.07062146892655367,0,0.635593220338983,0.06584362139917696,0.10067114093959731,0.010638297872340425
"Alec Burks","PHI",22,459,5.364806866952789,0,2.3605150214592276,0.6437768240343348,0.2145922746781116,0.2145922746781116,0.5364806866952789,0.10344827586206896,0.15827338129496402,0.021505376344086023
"Trey Burke","PHI",25,329,2.7906976744186047,1,0.7751937984496124,0.31007751937984496,0,0,0.7751937984496124,0.038461538461538464,0.05434782608695652,0
"Kyle O'Quinn","PHI",30,318,3.0864197530864197,0,1.2345679012345678,0.6172839506172839,0,0,0.6172839506172839,0.0898876404494382,0.12903225806451613,0
"Glenn Robinson III","PHI",14,270,2.1937842778793417,0,1.0968921389396709,0.18281535648994515,0.18281535648994515,0.18281535648994515,0,0.07777777777777778,0.09523809523809523,0.037037037037037035
"Norvel Pelle","PHI",25,238,2.857142857142857,0,1.0204081632653061,0,0,0,0.40816326530612246,0.09433962264150944,0.09615384615384616,0
"Zhaire Smith","PHI",7,32,5.714285714285714,0,1.4285714285714286,0,0,0,1.4285714285714286,0.08333333333333333,0.1111111111111111,0
"Marial Shayok","PHI",4,28,6.25,0,1.5625,0,0,0,1.5625,0.07692307692307693,0.14285714285714285,0
"Jonah Bolden","PHI",4,14,6.0606060606060606,0,3.0303030303030303,0,0,0,0,0.25,0.3333333333333333,0
