"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"CJ McCollum","POR",75,2751,3.552677633881694,12,1.487574378718936,0.31501575078753935,0.07000350017500875,0.03500175008750438,0.280014000700035,0.05862977602108037,0.08771929824561403,0.007285974499089253
"Damian Lillard","POR",71,2661,10.08748437778968,25,2.481699696482771,0.6605963220853419,0.8212819139439386,0.10712372790573112,1.5532940546331013,0.1178343949044586,0.17181705809641531,0.06044678055190539
"Hassan Whiteside","POR",72,2112,5.769669327251996,0,2.782212086659065,1.0034207525655645,0,0,0.6157354618015963,0.1515527950310559,0.15307402760351319,0
"Carmelo Anthony","POR",63,2075,4.166666666666667,3,2.01310861423221,0.37453183520599254,0.023408239700374533,0.023408239700374533,0.21067415730337077,0.09466811751904244,0.12797619047619047,0.004048582995951417
"Anfernee Simons","POR",73,1503,3.0245144858325372,2,1.3371537726838587,0.3183699458771092,0.03183699458771092,0.03183699458771092,0.28653295128939826,0.07325383304940375,0.11965811965811966,0.00423728813559322
"Gary Trent Jr.","POR",66,1480,1.615508885298869,1,0.6138933764135702,0.12924071082390953,0.03231017770597738,0.03231017770597738,0.22617124394184168,0.04048582995951417,0.09223300970873786,0.003472222222222222
"Kent Bazemore","POR",43,1111,3.099440378820491,0,1.248385708136031,0.2582866982350409,0.08609556607834697,0,0.30133448127421436,0.08831908831908832,0.16292134831460675,0.011560693641618497
"Mario Hezonja","POR",58,936,3.2944754181449567,0,1.5205271160669032,0.25342118601115055,0,0,0.25342118601115055,0.11278195488721804,0.16853932584269662,0
"Trevor Ariza","POR",21,702,3.2125768967874233,2,1.5037593984962405,0.3417634996582365,0.1367053998632946,0.0683526999316473,0.1367053998632946,0.13559322033898305,0.24175824175824176,0.023255813953488372
"Rodney Hood","POR",21,619,2.0689655172413794,0,1.0727969348659003,0.1532567049808429,0.07662835249042145,0.07662835249042145,0,0.08152173913043478,0.12389380530973451,0.014084507042253521
"Nassir Little","POR",48,573,3.672787979966611,0,1.669449081803005,0.5008347245409015,0,0,0.41736227045075125,0.12121212121212122,0.18867924528301888,0
"Skal Labissiere","POR",33,567,2.79424216765453,0,1.100762066045724,0.0846740050804403,0,0,0.3386960203217612,0.08176100628930817,0.08904109589041095,0
"Anthony Tolliver","POR",33,554,1.6183986371379897,0,0.8517887563884157,0.17035775127768313,0.08517887563884156,0.08517887563884156,0,0.088,0.2777777777777778,0.011235955056179775
"Jusuf Nurkic","POR",13,418,7.224770642201835,0,2.522935779816514,1.0321100917431192,0,0,1.6055045871559632,0.12429378531073447,0.14012738853503184,0
"Zach Collins","POR",12,297,1.3029315960912051,0,0.48859934853420195,0,0,0,0.16286644951140064,0.0410958904109589,0.057692307692307696,0
"Caleb Swanigan","POR",20,265,2.7472527472527473,0,0.5494505494505495,0.18315018315018314,0,0,1.098901098901099,0.06666666666666667,0.06976744186046512,0
"Wenyen Gabriel","POR",24,236,2.88659793814433,0,1.443298969072165,0,0,0,0,0.125,0.18421052631578946,0
"Jaylen Hoard","POR",15,124,4.961832061068702,0,2.6717557251908395,1.1450381679389312,0,0,0.3816793893129771,0.16666666666666666,0.1794871794871795,0
"Moses Brown","POR",9,33,10.95890410958904,0,5.47945205479452,0,0,0,0,0.2857142857142857,0.2857142857142857,0
"Jaylen Adams","POR",2,19,0,0,0,0,0,0,0,0,0,0
