"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Harrison Barnes","SAC",72,2482,5.208739758095981,2,2.3605150214592276,0.4486929379633242,0.03901677721420211,0,0.3901677721420211,0.13773796192609183,0.1942215088282504,0.007407407407407408
"Buddy Hield","SAC",72,2216,2.955879156705064,16,0.6737665724842425,0.15214083894805477,0.32601608346011735,0.04346881112801565,0.2608128667680939,0.03836530442035029,0.06224899598393574,0.021398002853067047
"Nemanja Bjelica","SAC",72,2011,2.052284387979477,0,0.9284143659907158,0.2931834839970682,0.07329587099926704,0.02443195699975568,0.17102369899828976,0.058823529411764705,0.10584958217270195,0.006230529595015576
"Bogdan Bogdanovic","SAC",61,1766,3.236607142857143,11,1.1160714285714286,0.44642857142857145,0.08370535714285714,0,0.44642857142857145,0.05422446406052964,0.11461318051575932,0.006756756756756757
"Cory Joseph","SAC",72,1759,1.9679505201012089,2,0.7590666291818948,0.1686814731515322,0,0,0.281135788585887,0.06235565819861432,0.09854014598540146,0
"De'Aaron Fox","SAC",51,1634,9.973753280839896,0,4.84106153397492,1.0498687664041995,0.11665208515602217,0,0.4957713619130942,0.1791359325605901,0.21842105263157896,0.021164021164021163
"Richaun Holmes","SAC",44,1242,4.721888755502201,0,2.200880352140856,0.4001600640256102,0,0,0.36014405762304924,0.14138817480719795,0.14138817480719795,0
"Trevor Ariza","SAC",32,791,1.6738995660260385,0,0.6819590824550527,0.06199628022318661,0.06199628022318661,0.06199628022318661,0.1859888406695598,0.06857142857142857,0.20754716981132076,0.00819672131147541
"Harry Giles III","SAC",46,667,3.558460421205519,0,1.5250544662309369,0.2178649237472767,0,0,0.36310820624546114,0.07806691449814127,0.07865168539325842,0
"Kent Bazemore","SAC",25,577,6.239600665557404,0,2.2462562396006653,0.5823627287853578,0.16638935108153077,0.08319467554076539,0.9983361064891847,0.12663755458515283,0.17419354838709677,0.02702702702702703
"Dewayne Dedmon","SAC",34,541,2.557077625570776,0,1.095890410958904,0.365296803652968,0,0,0.365296803652968,0.0670391061452514,0.1111111111111111,0
"Yogi Ferrell","SAC",50,530,3.8461538461538463,5,1.1904761904761905,0.09157509157509157,0,0,0.5494505494505495,0.065,0.10743801652892562,0
"Marvin Bagley III","SAC",13,334,4.492753623188406,0,2.608695652173913,1.0144927536231885,0,0,0.14492753623188406,0.10112359550561797,0.11538461538461539,0
"Justin James","SAC",36,232,4.312114989733059,0,1.6427104722792607,0.2053388090349076,0,0,0.6160164271047228,0.08791208791208792,0.12903225806451613,0
"Alex Len","SAC",15,225,5,0,2.5,0.4166666666666667,0,0,0.20833333333333334,0.17391304347826086,0.18181818181818182,0
"DaQuan Jeffries","SAC",13,141,1.8987341772151898,0,0.9493670886075949,0,0,0,0,0.06976744186046512,0.12,0
"Anthony Tolliver","SAC",9,82,1.1904761904761905,0,0,0,0,0,0.5952380952380952,0,0,0
"Jabari Parker","SAC",6,80,4.945054945054945,0,2.7472527472527473,0.5494505494505495,0,0,0,0.125,0.1388888888888889,0
"Wenyen Gabriel","SAC",11,61,7.518796992481203,0,3.7593984962406015,1.5037593984962405,0,0,0.7518796992481203,0.25,0.4166666666666667,0
"Corey Brewer","SAC",5,33,4.109589041095891,0,2.73972602739726,1.36986301369863,0,0,0,0.4,0.5,0
"Caleb Swanigan","SAC",7,23,3.7037037037037037,0,0,0,0,0,1.8518518518518519,0,0,0
"Eric Mika","SAC",1,19,5,0,2.5,0,0,0,0,0.25,0.25,0
"Kyle Guy","SAC",3,10,0,0,0,0,0,0,0,0,0,0
