"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"DeMar DeRozan","SAS",68,2316,9.425287356321839,19,4.472309299895507,1.0658307210031348,0.02089864158829676,0,0.5642633228840125,0.17724649629018963,0.18181818181818182,0.027777777777777776
"LaMarcus Aldridge","SAS",53,1754,5.3114571746384875,12,2.196885428253615,0.6117908787541713,0.11123470522803114,0.027808676307007785,0.4727474972191324,0.09730363423212192,0.113997113997114,0.025
"Dejounte Murray","SAS",66,1687,3.273040482342808,0,1.550387596899225,0.4306632213608958,0.02871088142405972,0,0.25839793281653745,0.08124076809453472,0.09557522123893805,0.008928571428571428
"Derrick White","SAS",68,1677,5.975644293401302,0,2.4922118380062304,0.7080147267063155,0.16992353440951571,0.02832058906825262,0.6230529595015576,0.15161290322580645,0.22055137844611528,0.027149321266968326
"Bryn Forbes","SAS",63,1579,2.778635381290522,0,0.586600802716888,0.1234949058351343,0.6174745291756715,0.1234949058351343,0.06174745291756715,0.06372549019607843,0.08837209302325581,0.05037783375314862
"Patty Mills","SAS",66,1485,3.5623409669211195,2,0.6043256997455471,0.15903307888040713,0.5725190839694656,0.1272264631043257,0.5089058524173028,0.05910543130990415,0.09090909090909091,0.04316546762589928
"Rudy Gay","SAS",67,1461,4.392764857881137,3,1.8087855297157622,0.29069767441860467,0.12919896640826872,0.06459948320413436,0.355297157622739,0.09302325581395349,0.13238770685579196,0.018018018018018018
"Trey Lyles","SAS",63,1271,1.719526175009553,0,0.7642338555598013,0.19105846388995032,0.07642338555598013,0.03821169277799007,0.1146350783339702,0.06128133704735376,0.10526315789473684,0.011834319526627219
"Jakob Poeltl","SAS",66,1171,3.49025974025974,0,1.6233766233766234,0.5681818181818182,0,0,0.44642857142857145,0.136986301369863,0.136986301369863,0
"Lonnie Walker IV","SAS",61,988,2.9741589468551926,0,1.560214529497806,0.3412969283276451,0,0,0.09751340809361288,0.08376963350785341,0.11387900355871886,0
"Marco Belinelli","SAS",57,883,3.1099195710455763,3,0.5898123324396782,0.10723860589812333,0.48257372654155495,0.10723860589812333,0.32171581769436997,0.06060606060606061,0.07586206896551724,0.04864864864864865
"Keldon Johnson","SAS",17,301,6.69710806697108,0,3.0441400304414,0.60882800608828,0,0,0.60882800608828,0.19047619047619047,0.24096385542168675,0
"Drew Eubanks","SAS",22,272,4.391891891891892,0,1.8581081081081081,0.16891891891891891,0,0,0.5067567567567568,0.14285714285714285,0.14473684210526316,0
"DeMarre Carroll","SAS",15,135,7.117437722419929,0,3.5587188612099645,0,0,0,0,0.2564102564102564,0.38461538461538464,0
"Chimezie Metu","SAS",18,105,5.777777777777778,0,2.2222222222222223,0.4444444444444444,0,0,0.8888888888888888,0.10869565217391304,0.11363636363636363,0
"Quinndary Weatherspoon","SAS",11,78,1.1363636363636365,0,0,0,0,0,0.5681818181818182,0,0,0
"Luka Samanic","SAS",3,48,4.040404040404041,0,2.0202020202020203,0,0,0,0,0.1111111111111111,0.2,0
"Tyler Zeller","SAS",2,4,0,0,0,0,0,0,0,0,0,0
