"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Donovan Mitchell","UTA",74,2545,7.153875819514076,13,2.4489008870034707,0.520632472040108,0.3278056305437717,0.07713073659853452,0.8484381025838796,0.09201277955271565,0.12258687258687259,0.03213610586011342
"Rudy Gobert","UTA",73,2523,8.400078140261769,0,3.7311974995116235,0.7227974213713616,0,0,0.840007814026177,0.25,0.25,0
"Joe Ingles","UTA",77,2302,2.0985010706638114,1,0.5781584582441114,0.10706638115631692,0.042826552462526764,0,0.44967880085653106,0.04700162074554295,0.11688311688311688,0.0051813471502590676
"Royce O'Neale","UTA",76,2218,1.2717536813922357,0,0.37929495760821064,0.0892458723784025,0.022311468094600623,0,0.2677376171352075,0.04488778054862843,0.12056737588652482,0.0038461538461538464
"Bojan Bogdanovic","UTA",63,2083,6.502347417840376,16,2.464788732394366,0.5868544600938967,0.11737089201877934,0.046948356807511735,0.7981220657276995,0.10805500982318271,0.1881720430107527,0.010869565217391304
"Mike Conley","UTA",50,1454,5.156723963599595,8,1.8537243006403774,0.4044489383215369,0.23592854735422986,0,0.43815301651499833,0.09465648854961832,0.14864864864864866,0.02456140350877193
"Jordan Clarkson","UTA",47,1184,3.6666666666666665,2,1.2916666666666667,0.375,0.375,0.16666666666666666,0.2916666666666667,0.060842433697347896,0.08985507246376812,0.02702702702702703
"Georges Niang","UTA",71,1011,1.1639185257032008,0,0.48496605237633367,0,0,0,0.09699321047526673,0.0273224043715847,0.08333333333333333,0
"Emmanuel Mudiay","UTA",57,883,4.642271982523211,0,2.1299836155106497,0.2730748225013654,0,0,0.3276897870016384,0.104,0.1368421052631579,0
"Tony Bradley","UTA",63,707,3.6526533425223984,0,1.7229496898690557,0.4824259131633356,0,0,0.34458993797381116,0.11627906976744186,0.1179245283018868,0
"Jeff Green","UTA",30,553,5.545774647887324,0,2.7288732394366195,0.2640845070422535,0,0,0.176056338028169,0.13901345291479822,0.2605042016806723,0
"Ed Davis","UTA",28,303,2.3255813953488373,0,0.6644518272425249,0.33222591362126247,0,0,0.6644518272425249,0.08333333333333333,0.08333333333333333,0
"Juwan Morgan","UTA",26,212,1.36986301369863,0,0.684931506849315,0,0,0,0,0.07692307692307693,0.13043478260869565,0
"Rayjon Tucker","UTA",21,173,6.336088154269972,0,3.0303030303030303,0.5509641873278237,0.27548209366391185,0,0,0.20689655172413793,0.2972972972972973,0.047619047619047616
"Miye Oni","UTA",12,123,2,0,1.2,0.4,0,0,0,0.075,0.17647058823529413,0
"Jarrell Brantley","UTA",11,109,1.7777777777777777,0,0.8888888888888888,0,0,0,0,0.05714285714285714,0.10526315789473684,0
"Dante Exum","UTA",11,83,1.1904761904761905,0,0.5952380952380952,0,0,0,0,0.041666666666666664,0.05555555555555555,0
"Nigel Williams-Goss","UTA",11,52,1.7857142857142858,0,0,0,0,0,0.8928571428571429,0,0,0
"Justin Wright-Foreman","UTA",4,45,4.25531914893617,0,2.127659574468085,0,0,0,0,0.09090909090909091,0.16666666666666666,0
"Stanton Kidd","UTA",4,15,0,0,0,0,0,0,0,0,0,0
