"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Bradley Beal","WAS",57,2053,10.450491653327235,26,4.321975760347588,0.914703864623828,0.1829407729247656,0.0228675966155957,0.8232334781614452,0.13502398903358465,0.19464469618949537,0.01639344262295082
"Ish Smith","WAS",68,1787,2.2548505506030416,0,0.8914525432616676,0.26219192448872575,0,0,0.36706869428421607,0.047685834502103785,0.0625,0
"Troy Brown Jr.","WAS",69,1782,3.6598209583991577,4,1.5797788309636651,0.4476040021063718,0,0,0.421274354923644,0.09022556390977443,0.12345679012345678,0
"Davis Bertans","WAS",54,1583,3.561004086398132,4,0.3210741389375365,0.08756567425569177,0.6713368359603036,0.17513134851138354,0.6129597197898424,0.05354330708661417,0.07534246575342465,0.04703476482617587
"Rui Hachimura","WAS",48,1444,4.588659455916093,1,2.1632251720747298,0.3605375286791216,0,0,0.2949852507374631,0.11,0.1286549707602339,0
"Isaac Bonga","WAS",66,1250,3.238095238095238,0,1.6761904761904762,0.5714285714285714,0,0,0.22857142857142856,0.16730038022813687,0.22916666666666666,0
"Thomas Bryant","WAS",46,1147,4.73469387755102,0,2.5306122448979593,0.8979591836734694,0,0,0.2857142857142857,0.13537117903930132,0.16893732970027248,0
"Isaiah Thomas","WAS",40,925,3.8210155857214683,2,0.9552538964303671,0.10055304172951232,0.05027652086475616,0,0.9049773755656109,0.04504504504504504,0.07480314960629922,0.005263157894736842
"Moritz Wagner","WAS",45,835,5.21978021978022,1,2.197802197802198,0.32967032967032966,0,0,0.5494505494505495,0.13333333333333333,0.18181818181818182,0
"Ian Mahinmi","WAS",38,808,6.702253855278767,0,3.0842230130486357,0.8896797153024911,0,0,0.7117437722419929,0.21052631578947367,0.23529411764705882,0
"Jordan McRae","WAS",29,654,5.820476858345021,1,2.1739130434782608,0.4908835904628331,0.07012622720897616,0,0.8415147265077139,0.0935672514619883,0.13191489361702127,0.009345794392523364
"Jerome Robinson","WAS",21,503,3.4990791896869244,3,1.4732965009208103,0.27624309392265195,0,0,0.27624309392265195,0.0855614973262032,0.15841584158415842,0
"Shabazz Napier","WAS",20,488,6.310679611650485,1,1.941747572815534,0,0.5825242718446602,0.2912621359223301,0.5825242718446602,0.1282051282051282,0.17857142857142858,0.060240963855421686
"Anzejs Pasecniks","WAS",26,437,6.331877729257642,0,1.5283842794759825,0.5458515283842795,0,0,2.074235807860262,0.112,0.11475409836065574,0
"Gary Payton II","WAS",29,432,0.8820286659316428,0,0.4410143329658214,0.2205071664829107,0,0,0.11025358324145534,0.03389830508474576,0.05555555555555555,0
"Admiral Schofield","WAS",33,368,1.95822454308094,0,0.5221932114882507,0,0,0,0.5221932114882507,0.041666666666666664,0.11428571428571428,0
"Garrison Mathews","WAS",18,227,7.127882599580713,1,0.8385744234800838,0,1.8867924528301887,0.4192872117400419,0.20964360587002095,0.19402985074626866,0.2857142857142857,0.16981132075471697
"Johnathan Williams","WAS",15,180,3.5714285714285716,0,1.6483516483516483,0.27472527472527475,0,0,0.27472527472527475,0.15384615384615385,0.16216216216216217,0
"CJ Miles","WAS",10,161,5.571030640668524,4,1.9498607242339834,0.2785515320334262,0.2785515320334262,0,0,0.12121212121212122,0.23333333333333334,0.027777777777777776
"Chris Chiozza","WAS",10,123,0,0,0,0,0,0,0,0,0,0
"Jerian Grant","WAS",6,80,4.166666666666667,0,1.7857142857142858,0.5952380952380952,0,0,0.5952380952380952,0.10344827586206896,0.14285714285714285,0
"Justin Robinson","WAS",9,49,0,0,0,0,0,0,0,0,0,0
"Jarrod Uthoff","WAS",3,39,0,0,0,0,0,0,0,0,0,0
