"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Joe Harris","BKN",71,2195,3.1608573284260664,7.707295951504655,1.775276033773544,1.385581294652522,1.472180125568305,0.2597964927473479,0.043299415457891316,0.6061918164104785,0.7793894782420437
"Spencer Dinwiddie","BKN",64,1994,10.39210969449122,24.849651190762568,6.32667789271109,4.06543180178013,5.508780370459466,0.5051719990377677,0.31272552321385616,1.106567235987491,2.958864565792639
"Jarrett Allen","BKN",74,1984,2.877176015473888,7.059961315280464,1.5715667311411992,1.3056092843326885,0.9187620889748549,0.33849129593810445,0.31431334622823986,0.26595744680851063,1.039651837524178
"Garrett Temple","BKN",66,1867,4.176215940921823,9.982174688057041,2.5464731347084286,1.6297428062133945,1.9607843137254901,0.30557677616501144,0.2801120448179272,0.5347593582887701,1.0949834479246243
"Taurean Prince","BKN",64,1857,2.984306663236429,7.1777720607152045,1.7751479289940828,1.2091587342423462,1.4921533316182145,0.2058142526369951,0.07718034473887317,0.4116285052739902,0.797530228968356
"Caris LeVert","BKN",49,1469,7.712333224861698,18.74389847054995,4.393101204035145,3.3192320208265538,3.612105434428897,0.4230393752033843,0.35795639440286364,0.8786202408070289,2.440611780019525
"DeAndre Jordan","BKN",56,1234,4.069767441860465,9.496124031007753,2.7131782945736433,1.3565891472868217,1.8992248062015504,0.46511627906976744,0.3488372093023256,0.31007751937984496,1.0465116279069768
"Timothe Luwawu-Cabarrot","BKN",51,984,1.6802688430148824,3.9366298607777246,1.1041766682669227,0.5760921747479597,0.7201152184349496,0.2400384061449832,0.14402304368698993,0.2400384061449832,0.3360537686029765
"Rodions Kurucs","BKN",51,742,3.375,8.75,1.375,2,1.25,0,0.125,0.5625,1.4375
"Wilson Chandler","BKN",35,734,2.5540275049115913,6.4833005893909625,1.1787819253438114,1.37524557956778,1.0478061558611658,0.13097576948264572,0,0.5893909626719057,0.7858546168958742
"Kyrie Irving","BKN",20,658,9.11032028469751,22.06405693950178,5.266903914590747,3.8434163701067616,4.483985765124555,0.5693950177935944,0.21352313167259787,0.9252669039145908,2.9181494661921707
"Dzanan Musa","BKN",43,527,4.155614500442087,10.521662245800178,1.945181255526083,2.2104332449160036,1.3262599469496021,0.1768346595932803,0.4420866489832007,0.4420866489832007,1.7683465959328029
"Theo Pinson","BKN",33,365,7.407407407407407,18.650793650793652,3.5714285714285716,3.835978835978836,2.9100529100529102,0.5291005291005291,0.13227513227513227,1.7195767195767195,2.1164021164021163
"Chris Chiozza","BKN",22,343,9.67741935483871,23.9247311827957,5.10752688172043,4.56989247311828,3.629032258064516,0.8064516129032258,0.6720430107526881,1.075268817204301,3.4946236559139785
"Tyler Johnson","BKN",12,287,5.409836065573771,13.442622950819672,2.7868852459016393,2.622950819672131,1.9672131147540983,0.6557377049180327,0.16393442622950818,1.1475409836065573,1.4754098360655739
"David Nwaba","BKN",20,268,1.415929203539823,3.3628318584070795,0.8849557522123894,0.5309734513274337,0.8849557522123894,0,0,0,0.5309734513274337
"Iman Shumpert","BKN",13,241,2.494802494802495,6.444906444906445,1.0395010395010396,1.4553014553014554,0.8316008316008316,0.2079002079002079,0,0.4158004158004158,1.0395010395010396
"Nicolas Claxton","BKN",15,187,4.010025062656641,9.273182957393484,2.756892230576441,1.2531328320802004,2.255639097744361,0.5012531328320802,0,0,1.2531328320802004
"Justin Anderson","BKN",13,136,3.7542662116040955,8.873720136518772,2.3890784982935154,1.3651877133105803,1.7064846416382253,0,0.6825938566552902,0.6825938566552902,0.6825938566552902
"Jeremiah Martin","BKN",12,126,8.088235294117647,20.220588235294116,4.044117647058823,4.044117647058823,3.3088235294117645,0.7352941176470589,0,1.838235294117647,2.2058823529411766
"Lance Thomas","BKN",10,115,2.4896265560165975,6.639004149377594,0.8298755186721992,1.6597510373443984,0.8298755186721992,0,0,0.4149377593360996,1.2448132780082988
"Donta Hall","BKN",8,105,0.8733624454148472,1.7467248908296944,0.8733624454148472,0,0.8733624454148472,0,0,0,0
"Henry Ellenson","BKN",5,15,2.7777777777777777,8.333333333333334,0,2.7777777777777777,0,0,0,0,2.7777777777777777
"Jamal Crawford","BKN",1,6,21.428571428571427,50,14.285714285714286,7.142857142857143,14.285714285714286,0,0,0,7.142857142857143
