"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Zach LaVine","CHI",60,2085,5.871474803513639,14.077669902912621,3.5367545076282942,2.3347202958853446,2.7276930189551547,0.6703652334720296,0.13869625520110956,0.7628294036061026,1.5718908922792418
"Tomas Satoransky","CHI",65,1878,9.123711340206185,21.95876288659794,5.412371134020619,3.711340206185567,4.536082474226804,0.6443298969072165,0.23195876288659795,0.8762886597938144,2.8350515463917527
"Coby White","CHI",65,1674,5.00858614768174,12.220950200343445,2.8048082427017746,2.2037779049799657,2.0606754436176304,0.6010303377218088,0.14310246136233543,0.6868918145392101,1.5168860904407555
"Thaddeus Young","CHI",64,1591,3.5294117647058822,8.416289592760181,2.171945701357466,1.3574660633484164,1.8702865761689291,0.21116138763197587,0.09049773755656108,0.42232277526395173,0.9351432880844646
"Lauri Markkanen","CHI",50,1492,2.3824855119124275,5.827430779137154,1.3200257566001288,1.0624597553122987,1.1912427559562138,0.09658725048293625,0.03219575016097875,0.4507405022537025,0.6117192530585963
"Kris Dunn","CHI",51,1269,6.610622850592281,16.048910966755827,3.7829575850210166,2.8276652655712646,2.8276652655712646,0.7642338555598013,0.19105846388995032,0.7642338555598013,2.0634314100114635
"Wendell Carter Jr.","CHI",43,1256,1.9836639439906651,5.134189031505251,0.8168028004667445,1.1668611435239207,0.31116297160637885,0.19447685725398678,0.31116297160637885,0.38895371450797356,0.7779074290159471
"Ryan Arcidiacono","CHI",58,930,4.971517348524081,12.273433454168824,2.641118591403418,2.330398757120663,1.8643190056965302,0.5178663904712584,0.2589331952356292,0.5178663904712584,1.8125323666494044
"Daniel Gafford","CHI",43,609,1.6719745222929936,3.9808917197452227,1.035031847133758,0.6369426751592356,0.6369426751592356,0.3184713375796178,0.07961783439490445,0.07961783439490445,0.5573248407643312
"Luke Kornet","CHI",36,559,2.76100086281277,6.471095772217429,1.81190681622088,0.9490940465918896,1.380500431406385,0.3451251078515962,0.08628127696289906,0.6039689387402933,0.3451251078515962
"Chandler Hutchison","CHI",28,527,2.3172905525846703,5.704099821746881,1.2477718360071302,1.0695187165775402,1.0695187165775402,0.17825311942959002,0,0.17825311942959002,0.8912655971479501
"Denzel Valentine","CHI",36,488,4.3,10.6,2.3,2,2.3,0,0,0.7,1.3
"Shaquille Harrison","CHI",43,484,4.914744232698094,12.236710130391174,2.507522567703109,2.407221664994985,2.0060180541624875,0.5015045135406219,0,1.0030090270812437,1.4042126379137412
"Cristiano Felicio","CHI",22,386,2.0408163265306123,5.357142857142857,0.7653061224489796,1.2755102040816326,0.25510204081632654,0.12755102040816327,0.3826530612244898,0.12755102040816327,1.1479591836734695
"Otto Porter Jr.","CHI",14,331,3.6231884057971016,8.405797101449275,2.463768115942029,1.1594202898550725,1.5942028985507246,0.7246376811594203,0.14492753623188406,0.14492753623188406,1.0144927536231885
"Adam Mokoka","CHI",11,112,1.7621145374449338,4.405286343612334,0.8810572687224669,0.8810572687224669,0.8810572687224669,0,0,0.44052863436123346,0.44052863436123346
"Max Strus","CHI",2,6,0,0,0,0,0,0,0,0,0
