"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Collin Sexton","CLE",65,2143,4.358683314415437,10.556186152099887,2.5198637911464243,1.8388195232690125,1.6572077185017027,0.6583427922814983,0.2043132803632236,0.3859250851305335,1.452894438138479
"Cedi Osman","CLE",65,1910,3.9285714285714284,9.668367346938776,2.11734693877551,1.8112244897959184,1.1989795918367347,0.5357142857142857,0.3826530612244898,0.7397959183673469,1.0714285714285714
"Darius Garland","CLE",59,1824,6.132833422603107,14.729512587038029,3.668987680771291,2.4638457418318156,2.758435993572576,0.6963042313872523,0.21424745581146223,0.48205677557579,1.9817889662560257
"Kevin Love","CLE",56,1780,4.8700410396716824,11.354309165526676,3.255813953488372,1.6142270861833106,2.489740082079343,0.6292749658002736,0.13679890560875513,0.49247606019151846,1.121751025991792
"Tristan Thompson","CLE",57,1722,3.4462952326249283,8.32854681217691,2.010338885697875,1.4359563469270533,0.9477311889718553,0.80413555427915,0.2584721424468696,0.22975301550832855,1.2062033314187248
"Larry Nance Jr.","CLE",56,1472,4.119223040857334,10.448760884125921,1.9089082384460818,2.2103148024112524,1.3395847287340925,0.46885465505693236,0.10046885465505694,0.6363027461486939,1.5740120562625586
"Kevin Porter Jr.","CLE",50,1162,4.626485568760611,10.441426146010187,3.4380305602716468,1.1884550084889642,2.2920203735144313,0.9762308998302207,0.1697792869269949,0.1697792869269949,1.0186757215619695
"Matthew Dellavedova","CLE",57,821,10.727056019070321,24.97020262216925,7.210965435041716,3.5160905840286056,5.125148986889154,1.5494636471990464,0.5363528009535161,1.1918951132300357,2.32419547079857
"Jordan Clarkson","CLE",29,666,5.216095380029806,12.965722801788376,2.682563338301043,2.5335320417287632,1.9374068554396424,0.6706408345752608,0.07451564828614009,1.0432190760059612,1.4903129657228018
"Alfonzo McKinnie","CLE",40,593,1.1494252873563218,2.955665024630542,0.49261083743842365,0.6568144499178982,0.41050903119868637,0,0.08210180623973727,0.16420361247947454,0.49261083743842365
"John Henson","CLE",29,412,5.08274231678487,12.64775413711584,2.600472813238771,2.482269503546099,1.5366430260047281,0.5910165484633569,0.4728132387706856,0.4728132387706856,2.0094562647754137
"Dante Exum","CLE",24,402,4.019488428745432,9.500609013398295,2.5578562728380025,1.46163215590743,1.5834348355663825,0.6090133982947625,0.3654080389768575,0.243605359317905,1.218026796589525
"Brandon Knight","CLE",16,241,6.187624750499002,15.968063872255488,2.594810379241517,3.592814371257485,1.996007984031936,0.3992015968063872,0.1996007984031936,0.3992015968063872,3.193612774451098
"Andre Drummond","CLE",8,225,2.9723991507430996,7.006369426751593,1.910828025477707,1.0615711252653928,1.0615711252653928,0.42462845010615713,0.42462845010615713,0.21231422505307856,0.8492569002123143
"Ante Zizic","CLE",22,221,1.3157894736842106,3.0701754385964914,0.8771929824561403,0.43859649122807015,0.43859649122807015,0.43859649122807015,0,0,0.43859649122807015
"Dean Wade","CLE",12,71,1.2820512820512822,3.2051282051282053,0.6410256410256411,0.6410256410256411,0,0.6410256410256411,0,0,0.6410256410256411
"Tyler Cook","CLE",11,35,1.3513513513513513,2.7027027027027026,1.3513513513513513,0,1.3513513513513513,0,0,0,0
"Matt Mooney","CLE",4,19,2.6315789473684212,5.2631578947368425,2.6315789473684212,0,2.6315789473684212,0,0,0,0
"Malik Newman","CLE",1,4,0,0,0,0,0,0,0,0,0
"Marques Bolden","CLE",1,3,0,0,0,0,0,0,0,0,0
"J.P. Macura","CLE",1,1,0,0,0,0,0,0,0,0,0
