"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Nikola Jokic","DEN",78,2523,10.688694267515924,24.522292993630572,7.5437898089171975,3.144904458598726,5.433917197452229,1.1743630573248407,0.9355095541401274,1.0748407643312101,2.070063694267516
"Jamal Murray","DEN",64,2086,7.653429602888087,18.12274368231047,4.837545126353791,2.815884476534296,2.527075812274368,1.5643802647412757,0.7460890493381468,0.5535499398315282,2.2623345367027676
"Jerami Grant","DEN",76,2060,2.3452611218568666,5.875241779497099,1.1605415860735009,1.1847195357833655,0.5077369439071566,0.36266924564796904,0.2901353965183752,0.2901353965183752,0.8945841392649904
"Will Barton","DEN",58,1916,5.4979253112033195,12.57780082987552,3.9159751037344397,1.5819502074688796,2.3340248962655603,1.0114107883817427,0.5705394190871369,0.33713692946058094,1.2448132780082988
"Gary Harris","DEN",56,1780,3.323007603491974,8.22303576457336,1.7459870459025626,1.5770205575894114,1.0701210926499578,0.39425513939735285,0.28161081385525205,0.5913827090960293,0.9856378484933821
"Monte Morris","DEN",78,1767,7.544543429844098,18.151447661469934,4.482182628062361,3.062360801781737,2.8674832962138086,0.4732739420935412,1.141425389755011,0.6959910913140311,2.366369710467706
"Paul Millsap","DEN",56,1359,3.293856402664693,7.8090303478904515,2.0725388601036268,1.2213175425610658,1.4063656550703183,0.29607698001480387,0.3700962250185048,0.5181347150259067,0.7031828275351591
"Torrey Craig","DEN",63,1186,2.10752688172043,4.946236559139785,1.3763440860215055,0.7311827956989247,0.8172043010752689,0.34408602150537637,0.21505376344086022,0.17204301075268819,0.5591397849462365
"Mason Plumlee","DEN",66,1108,7.190710138454667,17.105850826261722,4.466279589102278,2.7244305493523893,2.6797677534613666,0.9379187137114784,0.8485931219294328,1.0272443054935239,1.6971862438588656
"Michael Porter Jr.","DEN",60,1040,2.31023102310231,5.186232909005186,1.7444601603017444,0.5657708628005658,1.3201320132013201,0.23573785950023574,0.1885902876001886,0.23573785950023574,0.33003300330033003
"Malik Beasley","DEN",41,746,3.133159268929504,7.637075718015666,1.762402088772846,1.370757180156658,1.4360313315926894,0.195822454308094,0.13054830287206268,0.3263707571801567,1.0443864229765014
"PJ Dozier","DEN",33,492,7.12136409227683,17.45235707121364,3.9117352056168504,3.20962888665998,2.6078234704112337,0.9027081243731193,0.4012036108324975,0.802407221664995,2.407221664994985
"Juancho Hernangomez","DEN",34,422,2.497162315550511,5.675368898978434,1.8161180476730987,0.681044267877412,1.2485811577752555,0.22701475595913734,0.340522133938706,0.22701475595913734,0.4540295119182747
"Keita Bates-Diop","DEN",9,114,0,0,0,0,0,0,0,0,0
"Bol Bol","DEN",8,100,3.045685279187817,6.598984771573604,2.5380710659898478,0.5076142131979695,2.5380710659898478,0,0,0.5076142131979695,0
"Troy Daniels","DEN",9,95,2.5380710659898478,6.091370558375634,1.5228426395939085,1.015228426395939,1.015228426395939,0.5076142131979695,0,0,1.015228426395939
"Vlatko Cancar","DEN",14,45,3.2967032967032965,6.593406593406593,3.2967032967032965,0,3.2967032967032965,0,0,0,0
"Jarred Vanderbilt","DEN",9,41,2.197802197802198,6.593406593406593,0,2.197802197802198,0,0,0,0,2.197802197802198
"Noah Vonleh","DEN",8,33,2.898550724637681,8.695652173913043,0,2.898550724637681,0,0,0,0,2.898550724637681
"Jordan McRae","DEN",4,32,6.349206349206349,17.46031746031746,1.5873015873015872,4.761904761904762,0,1.5873015873015872,0,1.5873015873015872,3.1746031746031744
"Tyler Cook","DEN",3,23,0,0,0,0,0,0,0,0,0
