"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Langston Galloway","DET",66,1702,2.916546347097892,6.930407161420733,1.8192318798729425,1.0973144672249495,1.3572047357782269,0.34652035807103665,0.11550678602367889,0.43315044758879584,0.6641640196361536
"Andre Drummond","DET",49,1654,4.125560538116592,10.194319880418535,2.1823617339312404,1.9431988041853512,1.4648729446935724,0.4484304932735426,0.26905829596412556,0.6875934230194319,1.2556053811659194
"Tony Snell","DET",59,1641,3.8554948391013966,9.137826350941104,2.428658166363084,1.4268366727383122,1.7607771706132362,0.5768063145112325,0.09107468123861566,0.36429872495446264,1.0625379477838495
"Bruce Brown","DET",58,1634,7.100957085520222,16.980549552330967,4.322321704229701,2.778635381290522,2.9638777400432232,1.173201605433776,0.18524235875270145,0.8027168879283729,1.9759184933621488
"Christian Wood","DET",62,1325,2.2413149047441165,5.3791557713858795,1.3447889428464699,0.8965259618976467,0.9338812103100486,0.2988419872992155,0.11206574523720583,0.3735524841240194,0.5229734777736272
"Derrick Rose","DET",50,1298,10.330732069862504,26.012634708286882,4.979561501300632,5.351170568561873,3.5674470457079153,1.0776662950575995,0.33444816053511706,2.4154589371980677,2.935711631363805
"Svi Mykhailiuk","DET",56,1265,4.103755323267518,10.065814943863725,2.2454510259388307,1.8583042973286876,1.548586914440573,0.38714672861014326,0.3097173828881146,0.9678668215253581,0.8904374758033294
"Markieff Morris","DET",44,988,3.424317617866005,8.238213399503723,2.034739454094293,1.3895781637717122,1.3399503722084367,0.4466501240694789,0.24813895781637718,0.6947890818858561,0.6947890818858561
"Luke Kennard","DET",28,922,6.169527896995708,14.592274678111588,3.9163090128755367,2.2532188841201717,3.165236051502146,0.5901287553648069,0.1609442060085837,1.1802575107296138,1.0729613733905579
"Thon Maker","DET",60,776,2.797657774886142,6.961613532856213,1.431359791802212,1.3662979830839297,0.8458035133376708,0.4554326610279766,0.13012361743656473,0.26024723487312945,1.1060507482108002
"Sekou Doumbouya","DET",38,754,1.2649800266311584,2.9960053262316912,0.7989347536617842,0.46604527296937415,0.5326231691078562,0.19973368841544606,0.06657789613848203,0.13315579227696406,0.33288948069241014
"Blake Griffin","DET",18,512,5.739299610894942,14.688715953307392,2.529182879377432,3.21011673151751,1.8482490272373542,0.38910505836575876,0.2918287937743191,1.264591439688716,1.9455252918287937
"Reggie Jackson","DET",14,381,9.574468085106384,21.94148936170213,6.781914893617022,2.7925531914893615,5.319148936170213,1.3297872340425532,0.13297872340425532,0.9308510638297872,1.8617021276595744
"Tim Frazier","DET",27,355,13.006993006993007,31.60839160839161,7.4125874125874125,5.594405594405594,6.153846153846154,0.5594405594405595,0.6993006993006993,1.3986013986013985,4.195804195804196
"Brandon Knight","DET",9,221,8.816705336426914,22.041763341067284,4.408352668213457,4.408352668213457,3.2482598607888633,0.9280742459396751,0.23201856148491878,0.9280742459396751,3.480278422273782
"John Henson","DET",11,188,2.9810298102981028,7.317073170731708,1.6260162601626016,1.3550135501355014,1.084010840108401,0.5420054200542005,0,0.5420054200542005,0.8130081300813008
"Jordan McRae","DET",4,98,3.723404255319149,9.574468085106384,1.5957446808510638,2.127659574468085,1.5957446808510638,0,0,1.5957446808510638,0.5319148936170213
"Louis King","DET",10,62,4.065040650406504,9.75609756097561,2.4390243902439024,1.6260162601626016,2.4390243902439024,0,0,0,1.6260162601626016
"Khyri Thomas","DET",8,61,2.586206896551724,6.896551724137931,0.8620689655172413,1.7241379310344827,0.8620689655172413,0,0,0.8620689655172413,0.8620689655172413
"Jordan Bone","DET",10,53,7.619047619047619,20,2.857142857142857,4.761904761904762,0.9523809523809523,1.9047619047619047,0,0,4.761904761904762
"Donta Hall","DET",4,48,2.197802197802198,5.4945054945054945,1.098901098901099,1.098901098901099,0,0,1.098901098901099,0,1.098901098901099
"Derrick Walton Jr.","DET",3,26,9.615384615384615,25,3.8461538461538463,5.769230769230769,3.8461538461538463,0,0,0,5.769230769230769
