"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Eric Paschall","GSW",60,1654,3.7058651882112636,8.958272541581557,2.1593230230522322,1.5465421651590312,1.371461920046688,0.5544207761890867,0.23344032681645754,0.4668806536329151,1.0796615115261161
"Glenn Robinson III","GSW",48,1516,2.70184361093452,6.547997457088366,1.557533375715194,1.1443102352193262,1.0171646535282899,0.25429116338207247,0.28607755880483154,0.34965034965034963,0.7946598855689765
"Damion Lee","GSW",49,1422,4.4526280549045865,10.579176431201875,2.778707733511885,1.6739203213927016,1.7073987278205558,0.4686976899899565,0.6026113157013726,0.33478406427854035,1.3391362571141614
"Alec Burks","GSW",48,1390,5.235783633841886,11.858529819694867,3.8488210818307906,1.3869625520110958,2.3578363384188625,0.8668515950069348,0.624133148404993,0.27739251040221913,1.1095700416088765
"Jordan Poole","GSW",57,1274,5.0037341299477225,11.799850634802091,3.2113517550410755,1.7923823749066468,2.2031366691560867,0.6348020911127707,0.37341299477221807,0.4107542942494399,1.3816280806572068
"Draymond Green","GSW",43,1222,10.338126700349786,24.71822774970851,6.296152351340847,4.041974349008939,3.7310532452390204,1.3991449669646328,1.165954139137194,1.2048192771084338,2.837155071900505
"Marquese Chriss","GSW",59,1196,4.5893719806763285,10.869565217391305,2.898550724637681,1.6908212560386473,1.0869565217391304,0.7648953301127214,1.0466988727858293,0.322061191626409,1.3687600644122384
"D'Angelo Russell","GSW",33,1060,9.196428571428571,20.3125,7.276785714285714,1.9196428571428572,5.223214285714286,1.1607142857142858,0.8928571428571429,0.4017857142857143,1.5178571428571428
"Ky Bowman","GSW",45,1015,6.235126130414089,14.374107567824845,4.33127082341742,1.9038553069966682,2.7129938124702524,0.809138505473584,0.809138505473584,0.47596382674916704,1.4278914802475011
"Willie Cauley-Stein","GSW",41,941,3.121748178980229,7.336108220603538,2.0291363163371487,1.09261186264308,1.09261186264308,0.31217481789802287,0.6243496357960457,0.2081165452653486,0.8844953173777316
"Omari Spellman","GSW",49,886,2.537796976241901,5.777537796976242,1.83585313174946,0.7019438444924406,1.187904967602592,0.1079913606911447,0.5399568034557235,0.26997840172786175,0.4319654427645788
"Jacob Evans","GSW",27,414,3.5838150289017343,8.554913294797688,2.1965317919075145,1.3872832369942196,1.1560693641618498,0.4624277456647399,0.5780346820809249,0.4624277456647399,0.9248554913294798
"Andrew Wiggins","GSW",12,403,5.149700598802395,12.574850299401197,2.874251497005988,2.2754491017964074,1.9161676646706587,0.47904191616766467,0.47904191616766467,0.47904191616766467,1.7964071856287425
"Juan Toscano-Anderson","GSW",13,272,4.7272727272727275,11.272727272727273,2.909090909090909,1.8181818181818181,2,0.7272727272727273,0.18181818181818182,0.7272727272727273,1.0909090909090908
"Kevon Looney","GSW",20,262,3.690036900369004,8.671586715867159,2.3985239852398523,1.2915129151291513,0.7380073800738007,0.7380073800738007,0.922509225092251,0.18450184501845018,1.1070110701107012
"Mychal Mulder","GSW",7,204,1.927710843373494,4.337349397590361,1.4457831325301205,0.4819277108433735,0.4819277108433735,0.4819277108433735,0.4819277108433735,0.4819277108433735,0
"Dragan Bender","GSW",9,195,4.773869346733668,10.804020100502512,3.5175879396984926,1.256281407035176,2.2613065326633164,0.5025125628140703,0.7537688442211056,0.7537688442211056,0.5025125628140703
"Stephen Curry","GSW",5,139,10.543130990415335,24.600638977635782,7.0287539936102235,3.5143769968051117,5.7507987220447285,0.9584664536741214,0.3194888178913738,1.2779552715654952,2.236421725239617
"Alen Smailagic","GSW",14,139,4.4673539518900345,11.34020618556701,2.0618556701030926,2.4054982817869415,0.6872852233676976,1.0309278350515463,0.3436426116838488,0.6872852233676976,1.7182130584192439
"Jeremy Pargo","GSW",3,44,8.98876404494382,21.348314606741575,5.617977528089888,3.3707865168539324,4.49438202247191,0,1.1235955056179776,0,3.3707865168539324
"Chasson Randle","GSW",3,40,5.882352941176471,15.294117647058824,2.3529411764705883,3.5294117647058822,2.3529411764705883,0,0,1.1764705882352942,2.3529411764705883
"Zach Norvell Jr.","GSW",3,36,3.8461538461538463,8.974358974358974,2.5641025641025643,1.2820512820512822,1.2820512820512822,1.2820512820512822,0,0,1.2820512820512822
