"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"James Harden","HOU",72,2633,9.806382215847973,23.59268555037648,5.826461097167443,3.979921118680531,5.0914306202940125,0.5019720329867337,0.23305844388669775,1.201147364646827,2.7787737540337036
"P.J. Tucker","HOU",76,2614,2.1837213499368344,5.468327016783974,1.0828370330265296,1.100884316910305,0.9023641941887746,0.16242555495397942,0.01804728388377549,0.2165674066053059,0.8843169103049991
"Danuel House Jr.","HOU",67,2060,2.139767812428864,5.349419531072161,1.069883906214432,1.069883906214432,0.9560664693831095,0.11381743683132256,0,0.5690871841566127,0.5007967220578192
"Russell Westbrook","HOU",57,2049,8.932947204277122,22.588549788371576,4.210291824459791,4.722655379817331,3.5865448875027846,0.5346402316774337,0.08910670527957229,2.183114279349521,2.5395411004678103
"Ben McLemore","HOU",75,1683,1.637069922308546,4.384017758046615,0.5271920088790233,1.1098779134295227,0.38845726970033295,0.13873473917869034,0,0.6659267480577137,0.4439511653718091
"Austin Rivers","HOU",72,1677,3.310152990264256,8.539638386648122,1.3908205841446453,1.9193324061196106,1.0848400556328233,0.27816411682892905,0.027816411682892908,0.7510431154381085,1.1682892906815021
"Clint Capela","HOU",39,1279,1.7543859649122806,4.45906432748538,0.804093567251462,0.9502923976608187,0.5847953216374269,0.14619883040935672,0.07309941520467836,0.25584795321637427,0.6944444444444444
"Eric Gordon","HOU",40,1152,2.684294871794872,7.331730769230769,0.7211538461538461,1.9631410256410255,0.7211538461538461,0,0,1.1217948717948718,0.8413461538461539
"Robert Covington","HOU",26,838,2.0880361173814896,5.474040632054176,0.7900677200902935,1.2979683972911964,0.6207674943566591,0.16930022573363432,0,0.7336343115124153,0.5643340857787811
"Jeff Green","HOU",22,547,3.395585738539898,8.99830220713073,1.1884550084889642,2.2071307300509337,0.933786078098472,0.1697792869269949,0.08488964346349745,0.5942275042444821,1.6129032258064515
"Thabo Sefolosha","HOU",41,436,2.656748140276302,7.0138150903294365,0.9564293304994687,1.7003188097768331,0.7438894792773645,0.10626992561105207,0.10626992561105207,0.5313496280552603,1.1689691817215728
"Chris Clemons","HOU",33,291,4.2586750788643535,10.094637223974763,2.6813880126182967,1.5772870662460567,2.5236593059936907,0.15772870662460567,0,0.31545741324921134,1.2618296529968454
"Isaiah Hartenstein","HOU",23,266,3.1523642732049035,7.530647985989492,1.926444833625219,1.2259194395796849,1.926444833625219,0,0,0.3502626970227671,0.8756567425569177
"Tyson Chandler","HOU",26,219,1.2605042016806722,2.73109243697479,1.050420168067227,0.21008403361344538,0.8403361344537815,0.21008403361344538,0,0,0.21008403361344538
"Gary Clark","HOU",18,212,2.6548672566371683,7.079646017699115,0.8849557522123894,1.7699115044247788,0.6637168141592921,0,0.22123893805309736,0.4424778761061947,1.3274336283185841
"DeMarre Carroll","HOU",10,157,4.117647058823529,11.470588235294118,0.8823529411764706,3.235294117647059,0.5882352941176471,0.29411764705882354,0,1.1764705882352942,2.0588235294117645
"Michael Frazier","HOU",14,147,0.6172839506172839,1.8518518518518519,0,0.6172839506172839,0,0,0,0.6172839506172839,0
"Bruno Caboclo","HOU",9,54,1.6129032258064515,4.838709677419355,0,1.6129032258064515,0,0,0,0.8064516129032258,0.8064516129032258
"Luc Mbah a Moute","HOU",3,25,0,0,0,0,0,0,0,0,0
"Ryan Anderson","HOU",2,14,6.25,18.75,0,6.25,0,0,0,0,6.25
"William Howard","HOU",2,13,3.4482758620689653,10.344827586206897,0,3.4482758620689653,0,0,0,0,3.4482758620689653
