"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"T.J. Warren","IND",71,2359,2.3163606010016693,5.404841402337229,1.5442404006677797,0.7721202003338898,0.9390651085141903,0.333889816360601,0.27128547579298834,0.18781302170283806,0.5843071786310517
"Domantas Sabonis","IND",62,2159,7.097069597069597,16.735347985347985,4.555860805860806,2.541208791208791,2.4038461538461537,0.9386446886446886,1.2133699633699633,0.6868131868131868,1.8543956043956045
"Myles Turner","IND",66,1971,1.8901209677419355,4.637096774193548,1.033266129032258,0.8568548387096774,0.655241935483871,0.10080645161290322,0.2772177419354839,0.22681451612903225,0.6300403225806451
"Justin Holiday","IND",77,1957,2.375061850569025,5.665512122711529,1.4596734289955469,0.9153884215734784,0.7916872835230084,0.4205838693715982,0.24740227610094012,0.3463631865413162,0.5690252350321623
"Malcolm Brogdon","IND",58,1826,11.372231226364127,26.094003241491087,8.022690437601296,3.349540788762831,4.403025391680173,1.9719070772555376,1.647757968665586,0.9184224743381956,2.4311183144246353
"Aaron Holiday","IND",70,1689,6.784064665127021,16.166281755196305,4.1859122401847575,2.5981524249422634,2.453810623556582,0.9526558891454965,0.7794457274826789,0.8083140877598153,1.789838337182448
"Doug McDermott","IND",73,1427,2.6743398781313474,5.822613405551794,2.200406228842248,0.47393364928909953,1.5910629654705484,0.33852403520649965,0.2708192281651997,0.23696682464454977,0.23696682464454977
"T.J. McConnell","IND",74,1354,12.87797936677339,30.73639274279616,7.897545357524013,4.980434009249377,5.585200996086802,1.1383849163998576,1.1739594450373532,1.529704731412309,3.450729277837069
"Jeremy Lamb","IND",46,1291,3.6627241510873714,8.508202975963373,2.479969477298741,1.1827546737886303,1.411674933231591,0.6867607783288822,0.38153376573826786,0.41968714231209464,0.7630675314765357
"Victor Oladipo","IND",23,651,4.918032786885246,11.102831594634873,3.651266766020864,1.2667660208643816,2.831594634873323,0.5216095380029806,0.29806259314456035,0.29806259314456035,0.9687034277198212
"JaKarr Sampson","IND",38,520,2.3020257826887662,5.3406998158379375,1.565377532228361,0.7366482504604052,0.7366482504604052,0.4604051565377532,0.3683241252302026,0.1841620626151013,0.5524861878453039
"Edmond Sumner","IND",34,487,5.4563492063492065,12.996031746031745,3.373015873015873,2.0833333333333335,2.2817460317460316,0.6944444444444444,0.3968253968253968,0.7936507936507936,1.2896825396825398
"Goga Bitadze","IND",54,471,2.2977022977022976,5.394605394605395,1.4985014985014986,0.7992007992007992,0.7992007992007992,0.4995004995004995,0.1998001998001998,0.1998001998001998,0.5994005994005994
"TJ Leaf","IND",28,222,1.8867924528301887,4.821802935010482,0.8385744234800838,1.0482180293501049,0.8385744234800838,0,0,0,1.0482180293501049
"Alize Johnson","IND",18,118,2.766798418972332,6.324110671936759,1.976284584980237,0.7905138339920948,0.7905138339920948,0.7905138339920948,0.3952569169960474,0,0.7905138339920948
"Naz Mitrou-Long","IND",5,47,8.333333333333334,18.75,6.25,2.0833333333333335,3.125,3.125,0,0,2.0833333333333335
"Brian Bowen II","IND",6,31,0,0,0,0,0,0,0,0,0
