"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Kawhi Leonard","LAC",62,2042,7.207207207207207,17.68610715979137,3.9355144618302513,3.271692745376956,3.0346135609293503,0.687529634898056,0.21337126600284495,1.1853959222380275,2.0862968231389285
"Lou Williams","LAC",70,2010,8.99421965317919,21.179190751445088,5.803468208092486,3.1907514450867054,4.554913294797688,0.9017341040462428,0.3468208092485549,1.0404624277456647,2.1502890173410405
"Montrezl Harrell","LAC",68,1844,2.7608915906788245,6.864235055724418,1.4184397163120568,1.342451874366768,0.8611955420466059,0.3292806484295846,0.22796352583586627,0.43059777102330293,0.9118541033434651
"Paul George","LAC",53,1596,6.049715483677748,14.734950584007187,3.4141958670260557,2.6355196166516923,2.6355196166516923,0.4192872117400419,0.35938903863432164,1.1380652890086853,1.4974543276430068
"Landry Shamet","LAC",58,1551,3.15273951637588,7.6522803795531065,1.8059381695745331,1.3468013468013469,1.4386287113559841,0.3673094582185491,0,0.6121824303642486,0.7346189164370982
"Ivica Zubac","LAC",77,1441,2.90246371920351,6.952413094836315,1.7549780627742153,1.1474856564292946,0.6074924063449207,0.4724940938238272,0.6749915626054674,0.3374957813027337,0.809989875126561
"JaMychal Green","LAC",68,1376,1.6775077028414926,4.21088668264293,0.8216364258815474,0.8558712769599452,0.5135227661759671,0.17117425539198905,0.13693940431359122,0.3423485107839781,0.5135227661759671
"Patrick Beverley","LAC",52,1362,6.508666430845419,16.30703926423771,3.2189600282985498,3.2897064025468694,2.0516448532012737,0.7428369296073576,0.42447824548991864,0.7782101167315175,2.511496285815352
"Maurice Harkless","LAC",50,1141,2.003338898163606,4.757929883138564,1.2520868113522539,0.7512520868113522,0.7929883138564274,0.20868113522537562,0.25041736227045075,0.2921535893155259,0.4590984974958264
"Rodney McGruder","LAC",58,879,1.9680851063829787,5.053191489361702,0.851063829787234,1.1170212765957446,0.4787234042553192,0.3723404255319149,0,0.4787234042553192,0.6382978723404256
"Patrick Patterson","LAC",60,781,2.591922845087402,6.268836648583484,1.506931886678722,1.0849909584086799,0.6630500301386377,0.4219409282700422,0.4219409282700422,0.24110910186859555,0.8438818565400844
"Marcus Morris Sr.","LAC",24,711,2.656675749318801,6.471389645776567,1.4986376021798364,1.1580381471389645,1.021798365122616,0.4087193460490463,0.0681198910081744,0.6811989100817438,0.4768392370572207
"Jerome Robinson","LAC",42,476,4.418828049951969,10.086455331412104,3.170028818443804,1.2487992315081653,2.0172910662824206,0.9606147934678194,0.19212295869356388,0.2881844380403458,0.9606147934678194
"Reggie Jackson","LAC",22,472,6.402439024390244,15.752032520325203,3.4552845528455283,2.9471544715447155,2.032520325203252,0.8130081300813008,0.6097560975609756,1.016260162601626,1.9308943089430894
"Terance Mann","LAC",46,379,6.642066420664206,16.974169741697416,2.952029520295203,3.690036900369004,2.4600246002460024,0.24600246002460024,0.24600246002460024,1.2300123001230012,2.4600246002460024
"Derrick Walton Jr.","LAC",23,222,4.670912951167728,12.314225053078557,1.6985138004246285,2.9723991507430996,1.2738853503184713,0.21231422505307856,0.21231422505307856,0.21231422505307856,2.760084925690021
"Amir Coffey","LAC",20,164,5.128205128205129,13.675213675213675,1.7094017094017093,3.4188034188034186,1.1396011396011396,0.5698005698005698,0,1.1396011396011396,2.2792022792022792
"Mfiondu Kabengele","LAC",12,64,1.492537313432836,3.7313432835820897,0.746268656716418,0.746268656716418,0,0.746268656716418,0,0.746268656716418,0
"Joakim Noah","LAC",6,51,6.086956521739131,13.91304347826087,4.3478260869565215,1.7391304347826086,3.4782608695652173,0,0.8695652173913043,1.7391304347826086,0
"Johnathan Motley","LAC",13,41,8.88888888888889,23.333333333333332,3.3333333333333335,5.555555555555555,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,4.444444444444445
