"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"LeBron James","LAL",71,2447,14.333728746540135,33.51126927639383,9.489916963226571,4.843811783313563,6.93950177935943,1.4432582048240412,1.1071569790431,2.036378015025702,2.807433768287861
"Anthony Davis","LAL",66,2258,4.559781466694684,11.15780626181971,2.5215381382643414,2.0382433284303425,1.9962176927926034,0.25215381382643415,0.27316663164530364,0.6513973523849548,1.3868459760453877
"Kentavious Caldwell-Pope","LAL",73,1864,2.9298380878951424,7.0161912104857365,1.7733230531996915,1.1565150346954511,1.3107170393215113,0.35980467746080697,0.10280133641737342,0.5654073502955539,0.5911076843998972
"Danny Green","LAL",72,1789,2.498006909380813,5.713526441668881,1.7804942864735582,0.7175126229072548,1.355301621047037,0.29231995748073347,0.13287270794578793,0.3720435822482062,0.34546904065904865
"Kyle Kuzma","LAL",65,1622,2.427610412401287,5.849663644340451,1.4331675928634104,0.9944428195378766,1.0236911377595788,0.17548990933021352,0.23398654577361802,0.2924831822170225,0.7019596373208541
"Dwight Howard","LAL",73,1380,1.7562724014336917,4.121863799283154,1.146953405017921,0.6093189964157706,0.6093189964157706,0.17921146953405018,0.35842293906810035,0.07168458781362007,0.5376344086021505
"Alex Caruso","LAL",68,1269,5.289006422364942,12.3536078579524,3.5134114091424253,1.775595013222516,2.5311673592746504,0.5289006422364941,0.45334340763128067,0.6422364941443143,1.1333585190782018
"Avery Bradley","LAL",49,1186,2.52,5.64,1.92,0.6,1.56,0.28,0.08,0.32,0.28
"JaVale McGee","LAL",72,1184,1.6214025131738954,3.7292257802999593,1.1349817592217268,0.4864207539521686,0.8917713822456425,0.12160518848804215,0.12160518848804215,0.16214025131738954,0.3242805026347791
"Rajon Rondo","LAL",48,984,11.805213969503198,27.840629611411707,7.575012297097885,4.230201672405312,5.361534677816035,1.278898180029513,0.9345794392523364,1.278898180029513,2.9513034923757995
"Quinn Cook","LAL",46,525,4.796380090497737,11.67420814479638,2.7149321266968327,2.081447963800905,2.171945701357466,0.27149321266968324,0.27149321266968324,0.6334841628959276,1.4479638009049773
"Troy Daniels","LAL",41,456,1.4893617021276595,3.723404255319149,0.7446808510638298,0.7446808510638298,0.425531914893617,0.2127659574468085,0.10638297872340426,0.425531914893617,0.3191489361702128
"Jared Dudley","LAL",47,378,3.650586701434159,8.735332464146023,2.2164276401564535,1.4341590612777053,1.1734028683181226,0.2607561929595828,0.7822685788787483,0.2607561929595828,1.1734028683181226
"Markieff Morris","LAL",18,271,2.1052631578947367,4.7368421052631575,1.5789473684210527,0.5263157894736842,1.0526315789473684,0.17543859649122806,0.3508771929824561,0.3508771929824561,0.17543859649122806
"Dion Waiters","LAL",10,195,4.6568627450980395,12.254901960784315,1.7156862745098038,2.9411764705882355,0.9803921568627451,0.7352941176470589,0,1.2254901960784315,1.7156862745098038
"JR Smith","LAL",9,126,2.2900763358778624,5.7251908396946565,1.1450381679389312,1.1450381679389312,0.7633587786259542,0.3816793893129771,0,0.7633587786259542,0.3816793893129771
"Talen Horton-Tucker","LAL",6,81,3.4482758620689653,7.471264367816092,2.8735632183908044,0.5747126436781609,1.1494252873563218,1.1494252873563218,0.5747126436781609,0,0.5747126436781609
"Kostas Antetokounmpo","LAL",5,20,4.444444444444445,11.11111111111111,2.2222222222222223,2.2222222222222223,0,0,2.2222222222222223,0,2.2222222222222223
"Devontae Cacok","LAL",1,9,4.545454545454546,9.090909090909092,4.545454545454546,0,4.545454545454546,0,0,0,0
"Zach Norvell Jr.","LAL",2,5,0,0,0,0,0,0,0,0,0
