"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Bam Adebayo","MIA",76,2554,7.581368154355876,19.119080101344768,3.6250243617228612,3.956343792633015,2.4556616643929057,0.7211069966868057,0.44825570064314946,0.8770220229974663,3.079321769635549
"Duncan Robinson","MIA",77,2266,2.3270987385819923,5.393649412788169,1.5876468029578077,0.7394519356241844,1.2396694214876034,0.23923444976076555,0.10874293170943888,0.21748586341887777,0.5219660722053067
"Jimmy Butler","MIA",62,2094,8.636149126946673,21.04766399244927,4.86078338839075,3.7753657385559225,3.1382727701746105,1.1326097215667768,0.589900896649363,1.321378008494573,2.4539877300613497
"Kendrick Nunn","MIA",68,1977,5.538922155688622,13.12375249500998,3.493013972055888,2.0459081836327346,2.6197604790419162,0.6986027944111777,0.17465069860279442,0.3992015968063872,1.6467065868263473
"Goran Dragic","MIA",63,1800,8.696830127336765,20.698997561636414,5.391492820373882,3.305337306962883,4.009753454348415,1.083717149823896,0.2980222162015714,0.8940666486047142,2.4112706583581685
"Tyler Herro","MIA",59,1638,3.959511759452218,9.735040190532896,2.143495087823757,1.816016671628461,1.637392080976481,0.4167907115212861,0.08931229532598987,0.5954153021732659,1.220601369455195
"Derrick Jones Jr.","MIA",63,1418,2.391839606049947,6.014773126978544,1.1607456911712979,1.2310939148786493,0.6683081252198382,0.24621878297572986,0.24621878297572986,0.21104467112205416,1.0200492437565951
"Kelly Olynyk","MIA",71,1355,4.265908282971916,10.558123000355492,2.239601848560256,2.0263064344116604,1.4930678990401707,0.391041592605759,0.35549235691432635,0.46214006398862423,1.564166370423036
"Meyers Leonard","MIA",51,1034,2.6647286821705425,6.540697674418604,1.4534883720930232,1.2112403100775193,0.9205426356589147,0.29069767441860467,0.24224806201550386,0.3875968992248062,0.8236434108527132
"Jae Crowder","MIA",24,656,3.125,7.663690476190476,1.7113095238095237,1.4136904761904763,1.0416666666666667,0.5208333333333334,0.1488095238095238,0.6696428571428571,0.7440476190476191
"Andre Iguodala","MIA",25,525,5.078485687903971,12.557710064635272,2.677746999076639,2.4007386888273317,1.9390581717451523,0.554016620498615,0.18467220683287167,0.7386888273314867,1.6620498614958448
"Justise Winslow","MIA",11,352,5.858854860186418,13.848202396804261,3.728362183754993,2.130492676431425,2.5299600532623168,0.5326231691078562,0.6657789613848203,0.6657789613848203,1.4647137150466045
"Chris Silva","MIA",44,346,3.1944444444444446,8.472222222222221,1.1111111111111112,2.0833333333333335,0.5555555555555556,0.2777777777777778,0.2777777777777778,0.2777777777777778,1.8055555555555556
"James Johnson","MIA",18,281,3.723404255319149,9.397163120567376,1.7730496453900708,1.950354609929078,1.2411347517730495,0.5319148936170213,0,0.5319148936170213,1.4184397163120568
"Solomon Hill","MIA",11,187,2.5906735751295336,7.253886010362694,0.5181347150259067,2.0725388601036268,0.5181347150259067,0,0,0,2.0725388601036268
"Gabe Vincent","MIA",9,83,3.508771929824561,8.771929824561404,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,0,0.5847953216374269,1.1695906432748537
"Udonis Haslem","MIA",4,44,1.1627906976744187,2.3255813953488373,1.1627906976744187,0,0,0,1.1627906976744187,0,0
"Dion Waiters","MIA",3,42,3.5714285714285716,8.333333333333334,2.380952380952381,1.1904761904761905,2.380952380952381,0,0,0,1.1904761904761905
"KZ Okpala","MIA",5,26,2.127659574468085,6.382978723404255,0,2.127659574468085,0,0,0,0,2.127659574468085
"Daryl Macon","MIA",4,14,3.5714285714285716,7.142857142857143,3.5714285714285716,0,3.5714285714285716,0,0,0,0
"Kyle Alexander","MIA",2,13,0,0,0,0,0,0,0,0,0
