"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Giannis Antetokounmpo","MIL",67,2047,8.489304812834225,21.702317290552585,3.765597147950089,4.723707664884135,2.606951871657754,0.7130124777183601,0.44563279857397503,1.4928698752228164,3.230837789661319
"Khris Middleton","MIL",66,1978,6.586270871985158,15.143784786641929,4.615027829313544,1.971243042671614,3.7105751391465676,0.6493506493506493,0.25510204081632654,0.5797773654916512,1.391465677179963
"Brook Lopez","MIL",72,1941,2.380952380952381,5.987741631305988,1.155115511551155,1.2258368694012258,0.8015087223008015,0.11786892975011787,0.23573785950023574,0.07072135785007072,1.155115511551155
"Eric Bledsoe","MIL",65,1749,9.159314997405293,22.28853139595226,5.1894135962636225,3.969901401141671,4.0477426050856256,0.6746237675142709,0.467047223663726,0.9859885832900882,2.9839128178515826
"Wesley Matthews","MIL",71,1729,2.596714361420244,6.279809220985691,1.5103338632750398,1.086380498145204,1.2188659247482776,0.1589825119236884,0.13248542660307366,0.29146793852676206,0.794912559618442
"Donte DiVincenzo","MIL",70,1575,4.610446454625037,10.796615115261162,3.034724248613948,1.5757222060110885,2.1885030639042893,0.43770061278085787,0.4085205719288007,0.5252407353370294,1.0504814706740588
"George Hill","MIL",63,1360,6.77731673582296,16.286307053941908,4.045643153526971,2.731673582295989,2.524204702627939,1.1410788381742738,0.38035961272475793,1.0027662517289073,1.7289073305670817
"Pat Connaughton","MIL",71,1331,3.977669225401256,9.979064898813677,1.9539427773900908,2.0237264480111654,1.3258897418004187,0.34891835310537334,0.2791346824842987,0.5233775296580601,1.5003489183531054
"Kyle Korver","MIL",62,1023,3.051747014595312,6.988058381247236,2.1671826625387,0.8845643520566121,1.680672268907563,0.30959752321981426,0.17691287041132242,0.13268465280849182,0.7518796992481203
"Ersan Ilyasova","MIL",65,997,2.2580645161290325,5.622119815668203,1.152073732718894,1.1059907834101383,0.783410138248848,0.18433179723502305,0.18433179723502305,0.2764976958525346,0.8294930875576036
"Robin Lopez","MIL",69,979,2.15311004784689,5.454545454545454,1.0047846889952152,1.1483253588516746,0.5263157894736842,0.14354066985645933,0.3349282296650718,0.28708133971291866,0.861244019138756
"Sterling Brown","MIL",53,770,3.0339083878643662,7.317073170731708,1.784651992861392,1.2492563950029745,1.48720999405116,0.297441998810232,0,0.594883997620464,0.6543723973825104
"Marvin Williams","MIL",21,375,2.6282853566958697,6.257822277847309,1.6270337922403004,1.0012515644555695,1.1264080100125156,0.37546933667083854,0.1251564455569462,0.2503128911138924,0.7509386733416771
"D.J. Wilson","MIL",37,363,3.1525851197982346,7.818411097099622,1.639344262295082,1.5132408575031526,0.7566204287515763,0.37831021437578816,0.5044136191677175,0.25220680958385877,1.2610340479192939
"Thanasis Antetokounmpo","MIL",20,129,5.2631578947368425,13.333333333333334,2.456140350877193,2.807017543859649,1.4035087719298245,0.3508771929824561,0.7017543859649122,1.4035087719298245,1.4035087719298245
"Frank Mason","MIL",10,118,11.363636363636363,28.78787878787879,5.303030303030303,6.0606060606060606,3.409090909090909,1.893939393939394,0,1.893939393939394,4.166666666666667
"Dragan Bender","MIL",7,91,4.568527918781726,10.65989847715736,3.045685279187817,1.5228426395939085,2.030456852791878,0.5076142131979695,0.5076142131979695,0.5076142131979695,1.015228426395939
