"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Julius Randle","NYK",64,2080,4.673117772008497,11.848005664385179,2.1713476516403114,2.5017701203681852,1.439697899457163,0.3068208638187397,0.4248288883644088,0.6136417276374794,1.8881283927307058
"RJ Barrett","NYK",56,1704,4.081050228310502,9.189497716894977,3.0536529680365296,1.0273972602739727,2.2260273972602738,0.4851598173515982,0.3424657534246575,0.2853881278538813,0.7420091324200914
"Mitchell Robinson","NYK",61,1412,1.2517385257301807,2.851182197496523,0.9040333796940194,0.3477051460361613,0.4520166898470097,0.1043115438108484,0.3477051460361613,0.03477051460361613,0.3129346314325452
"Bobby Portis","NYK",66,1393,3.421787709497207,8.275139664804469,1.9902234636871508,1.431564245810056,1.3966480446927374,0.24441340782122906,0.34916201117318435,0.45391061452513964,0.9776536312849162
"Marcus Morris Sr.","NYK",43,1387,2.1101573676680974,4.828326180257511,1.502145922746781,0.6080114449213162,1.1087267525035764,0.17882689556509299,0.2145922746781116,0.17882689556509299,0.4291845493562232
"Elfrid Payton","NYK",45,1246,12.60241904018728,28.755364806866954,9.05189231369489,3.5505267264923916,6.515801794771752,1.0144362075692548,1.521654311353882,1.2095200936402652,2.3410066328521264
"Frank Ntilikina","NYK",57,1187,7.211740041928721,17.10691823899371,4.528301886792453,2.6834381551362685,2.851153039832285,0.7547169811320755,0.9224318658280922,0.5450733752620545,2.138364779874214
"Kevin Knox II","NYK",65,1166,2.5175402393726785,5.984316962443252,1.5683037556747834,0.9492364836978952,1.031778786628147,0.20635575732562939,0.330169211721007,0.330169211721007,0.6190672719768882
"Taj Gibson","NYK",62,1025,2.5242718446601944,6.359223300970874,1.2135922330097086,1.3106796116504855,0.6310679611650486,0.2912621359223301,0.2912621359223301,0.1941747572815534,1.116504854368932
"Damyean Dotson","NYK",48,836,3.313953488372093,8.372093023255815,1.569767441860465,1.744186046511628,0.813953488372093,0.46511627906976744,0.29069767441860467,0.5813953488372093,1.1627906976744187
"Reggie Bullock","NYK",29,684,3.0150753768844223,6.891600861450108,2.1536252692031588,0.8614501076812635,1.5075376884422111,0.43072505384063176,0.21536252692031588,0.21536252692031588,0.6460875807609476
"Wayne Ellington","NYK",36,558,3.9145907473309607,9.430604982206406,2.3131672597864767,1.601423487544484,1.5124555160142348,0.2669039145907473,0.5338078291814946,0.44483985765124556,1.1565836298932384
"Dennis Smith Jr.","NYK",34,537,8.909090909090908,21.727272727272727,5,3.909090909090909,3.090909090909091,0.7272727272727273,1.1818181818181819,0.8181818181818182,3.090909090909091
"Allonzo Trier","NYK",24,291,4.628099173553719,11.570247933884298,2.3140495867768593,2.3140495867768593,1.1570247933884297,0.6611570247933884,0.49586776859504134,0.1652892561983471,2.1487603305785123
"Maurice Harkless","NYK",12,286,3.3444816053511706,8.02675585284281,2.0066889632107023,1.3377926421404682,2.0066889632107023,0,0,0.6688963210702341,0.6688963210702341
"Kadeem Allen","NYK",10,117,8.571428571428571,20.816326530612244,4.8979591836734695,3.673469387755102,2.857142857142857,0,2.0408163265306123,0.8163265306122449,2.857142857142857
"Ignas Brazdeikis","NYK",9,53,3.9215686274509802,8.823529411764707,2.9411764705882355,0.9803921568627451,2.9411764705882355,0,0,0.9803921568627451,0
