"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Shai Gilgeous-Alexander","OKC",74,2593,4.663897280966768,11.348187311178247,2.6435045317220545,2.020392749244713,1.6805135951661632,0.5664652567975831,0.39652567975830816,0.547583081570997,1.472809667673716
"Chris Paul","OKC",74,2359,10.169842584921293,24.502899751449874,6.006628003314002,4.163214581607291,4.287489643744822,1.1184755592377795,0.6006628003314002,0.9113504556752279,3.251864125932063
"Dennis Schroder","OKC",69,2133,6.332274171584204,14.593735814798002,4.403086699954607,1.929187471629596,3.24557421697685,0.6808896958692692,0.47662278710848843,0.5220154334997731,1.407172038129823
"Danilo Gallinari","OKC",66,1969,3.0822769077802636,7.208550832711906,2.0382798906288837,1.0439970171513795,1.391996022868506,0.49714143673875216,0.14914243102162567,0.3231419338801889,0.7208550832711906
"Steven Adams","OKC",67,1800,4.211101996171726,9.707410445720535,2.9258955427946405,1.285206453377085,1.613344271260596,0.6015859994531036,0.7109652720809406,0.2461033634126333,1.0391030899644518
"Terrance Ferguson","OKC",58,1276,2.0384163073304586,5.056840454723638,1.058408467267738,0.9800078400627205,0.5096040768326147,0.3528028224225794,0.1960015680125441,0.31360250882007057,0.6664053312426499
"Darius Bazley","OKC",65,1193,1.7630176301763019,4.469044690446904,0.8200082000820008,0.9430094300943009,0.4920049200492005,0.16400164001640016,0.16400164001640016,0.2050020500205002,0.7380073800738007
"Nerlens Noel","OKC",65,1180,2.4665551839464883,5.811036789297659,1.588628762541806,0.8779264214046822,1.0451505016722409,0.2508361204013378,0.29264214046822745,0.20903010033444816,0.6688963210702341
"Luguentz Dort","OKC",39,917,1.6042780748663101,3.8502673796791442,0.9625668449197861,0.6417112299465241,0.6417112299465241,0.21390374331550802,0.10695187165775401,0,0.6417112299465241
"Hamidou Diallo","OKC",48,914,1.9494204425711275,5.005268703898841,0.8429926238145417,1.106427818756586,0.5795574288724974,0.2107481559536354,0.05268703898840885,0.15806111696522657,0.9483667017913593
"Abdel Nader","OKC",57,879,2.0982882385422417,5.080066261733848,1.2147984538928769,0.883489784649365,0.883489784649365,0.22087244616234125,0.11043622308117063,0.3313086692435119,0.5521811154058531
"Mike Muscala","OKC",48,584,3.2414910858995136,7.779578606158833,1.9448946515397083,1.2965964343598055,1.539708265802269,0.1620745542949757,0.24311183144246354,0.08103727714748785,1.2155591572123177
"Deonte Burton","OKC",40,358,2.2193211488250655,5.7441253263707575,0.9138381201044387,1.3054830287206267,0.783289817232376,0.13054830287206268,0,0.6527415143603134,0.6527415143603134
"Andre Roberson","OKC",8,90,2.094240837696335,5.2356020942408374,1.0471204188481675,1.0471204188481675,1.0471204188481675,0,0,0,1.0471204188481675
"Devon Hall","OKC",11,81,7.103825136612022,19.12568306010929,2.185792349726776,4.918032786885246,1.639344262295082,0,0.546448087431694,0,4.918032786885246
"Kevin Hervey","OKC",10,52,4.201680672268908,8.403361344537815,4.201680672268908,0,3.361344537815126,0,0.8403361344537815,0,0
"Justin Patton","OKC",5,24,3.5714285714285716,7.142857142857143,3.5714285714285716,0,3.5714285714285716,0,0,0,0
"Isaiah Roby","OKC",3,11,0,0,0,0,0,0,0,0,0
