"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Evan Fournier","ORL",70,2213,4.8344370860927155,10.949227373068434,3.554083885209713,1.2803532008830023,2.3178807947019866,1.0375275938189845,0.1986754966887417,0.33112582781456956,0.9492273730684326
"Nikola Vucevic","ORL",66,2144,5.377808032675289,12.911277513047425,3.2221465849784434,2.155661447696846,1.7699115044247788,0.7941910596777854,0.6580440208758793,0.4538234626730202,1.7018379850238257
"Markelle Fultz","ORL",76,2111,8.977900552486188,21.93830570902394,4.995395948434623,3.9825046040515653,2.85451197053407,1.1970534069981584,0.9438305709023941,0.6215469613259669,3.3609576427255985
"Aaron Gordon","ORL",62,2017,5.574572127139365,13.10513447432763,3.6185819070904643,1.9559902200488997,2.273838630806846,0.8068459657701712,0.5378973105134475,0.46454767726161367,1.4914425427872862
"Terrence Ross","ORL",73,2001,2.0706455542021924,5.018270401948842,1.1936662606577344,0.876979293544458,0.7064555420219245,0.243605359317905,0.243605359317905,0.292326431181486,0.584652862362972
"D.J. Augustin","ORL",61,1524,9.271735643246712,22.64998395893487,5.165222970805261,4.1065126724414505,2.598652550529355,1.4757779916586462,1.0907924286172601,0.6416426050689766,3.4648700673724737
"Wes Iwundu","ORL",56,1014,3.085824493731919,7.569913211186114,1.6875602700096433,1.3982642237222758,1.012536162005786,0.33751205400192863,0.33751205400192863,0.1446480231436837,1.253616200578592
"Khem Birch","ORL",52,992,2.7241208519068847,6.785537394749876,1.3868251609707776,1.337295690936107,0.5448241703813769,0.3467062902426944,0.4952947003467063,0.1981178801386825,1.1391778107974244
"Jonathan Isaac","ORL",34,980,2.3904382470119523,5.9760956175298805,1.1952191235059761,1.1952191235059761,0.547808764940239,0.49800796812749004,0.14940239043824702,0.099601593625498,1.095617529880478
"Mo Bamba","ORL",62,878,2.3917995444191344,6.150341685649202,1.0250569476082005,1.366742596810934,0.5125284738041003,0.05694760820045558,0.45558086560364464,0.22779043280182232,1.1389521640091116
"Michael Carter-Williams","ORL",45,833,6.491959499702204,15.366289458010721,4.109589041095891,2.3823704586063132,2.6801667659321025,0.6551518761167362,0.7742703990470519,0.7742703990470519,1.6081000595592614
"James Ennis III","ORL",24,578,2.236951118475559,5.550952775476388,1.15990057995029,1.0770505385252693,0.4971002485501243,0.08285004142502071,0.579950289975145,0.16570008285004142,0.9113504556752279
"Gary Clark","ORL",28,474,1.1099899091826437,2.522704339051463,0.8072653884964682,0.30272452068617556,0.30272452068617556,0.4036326942482341,0.10090817356205853,0,0.30272452068617556
"Al-Farouq Aminu","ORL",18,380,2.7096774193548385,5.935483870967742,2.193548387096774,0.5161290322580645,1.5483870967741935,0.3870967741935484,0.25806451612903225,0,0.5161290322580645
"Melvin Frazier Jr.","ORL",19,126,1.1235955056179776,2.6217228464419478,0.7490636704119851,0.37453183520599254,0.7490636704119851,0,0,0,0.37453183520599254
"BJ Johnson","ORL",11,86,1.5625,3.6458333333333335,1.0416666666666667,0.5208333333333334,0.5208333333333334,0.5208333333333334,0,0,0.5208333333333334
"Amile Jefferson","ORL",18,74,2.5477707006369426,6.369426751592357,1.2738853503184713,1.2738853503184713,0,0,1.2738853503184713,0,1.2738853503184713
"Vic Law","ORL",9,65,2.857142857142857,7.857142857142857,0.7142857142857143,2.142857142857143,0.7142857142857143,0,0,0.7142857142857143,1.4285714285714286
"Josh Magette","ORL",8,38,6.4935064935064934,15.584415584415584,3.896103896103896,2.5974025974025974,1.2987012987012987,1.2987012987012987,1.2987012987012987,0,2.5974025974025974
