"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Tobias Harris","PHI",76,2618,4.571106094808126,10.9104589917231,2.802859292701279,1.7682468021068471,1.9563581640331076,0.4326561324303988,0.41384499623777277,0.47027840481565086,1.2979683972911964
"Al Horford","PHI",71,2154,6.315074694431869,14.916251697600725,4.0289723856948845,2.286102308736985,2.286102308736985,1.041195110909914,0.7016749660479855,0.5885015844273427,1.6976007243096423
"Ben Simmons","PHI",57,2017,10.872162485065711,27.144563918757466,5.4719235364396654,5.400238948626045,3.727598566308244,0.9796893667861409,0.7646356033452808,1.003584229390681,4.396654719235364
"Josh Richardson","PHI",59,1837,4.676643506146446,11.19722073757349,2.832709780865847,1.8439337252805985,1.7370390165686798,0.7215392838054516,0.3741314804917157,0.29396044895777657,1.549973276322822
"Joel Embiid","PHI",55,1651,4.651851851851852,11.08148148148148,2.8740740740740742,1.7777777777777777,1.6,0.6518518518518519,0.6222222222222222,0.4148148148148148,1.362962962962963
"Furkan Korkmaz","PHI",76,1599,2.4412296564195297,5.756479807112719,1.567209162145871,0.8740204942736588,1.1754068716094033,0.33152501506931886,0.06027727546714889,0.27124773960216997,0.6027727546714888
"Matisse Thybulle","PHI",69,1363,2.903225806451613,6.953405017921147,1.7562724014336917,1.146953405017921,1.2903225806451613,0.35842293906810035,0.10752688172043011,0.35842293906810035,0.7885304659498208
"Mike Scott","PHI",72,1227,2.2818254603682946,5.3642914331465175,1.4811849479583667,0.800640512409928,0.8807045636509208,0.200160128102482,0.400320256204964,0.2401921537229784,0.5604483586869495
"Shake Milton","PHI",44,931,6.094329623741388,14.78537360890302,3.4976152623211445,2.596714361420244,2.2257551669316373,0.7419183889772125,0.5299417064122947,1.0598834128245893,1.5368309485956544
"James Ennis III","PHI",49,776,2.576995600251414,5.971087366436204,1.759899434318039,0.8170961659333752,1.4456316781898177,0.1257071024512885,0.18856065367693275,0.18856065367693275,0.6285355122564424
"Raul Neto","PHI",56,693,6.9209039548022595,16.52542372881356,4.237288135593221,2.6836158192090394,2.542372881355932,1.1299435028248588,0.5649717514124294,0.635593220338983,2.0480225988700567
"Alec Burks","PHI",22,459,4.828326180257511,12.017167381974248,2.467811158798283,2.3605150214592276,1.3948497854077253,0.7510729613733905,0.3218884120171674,0.7510729613733905,1.609442060085837
"Trey Burke","PHI",25,329,8.217054263565892,19.37984496124031,5.271317829457364,2.945736434108527,4.0310077519379846,0.7751937984496124,0.46511627906976744,1.0852713178294573,1.8604651162790697
"Kyle O'Quinn","PHI",30,318,8.024691358024691,18.67283950617284,5.401234567901234,2.623456790123457,3.3950617283950617,1.0802469135802468,0.9259259259259259,0.7716049382716049,1.8518518518518519
"Glenn Robinson III","PHI",14,270,2.010968921389397,5.301645338208409,0.7312614259597806,1.2797074954296161,0.3656307129798903,0.18281535648994515,0.18281535648994515,0.3656307129798903,0.9140767824497258
"Norvel Pelle","PHI",25,238,1.6326530612244898,3.877551020408163,1.0204081632653061,0.6122448979591837,0.20408163265306123,0.40816326530612246,0.40816326530612246,0,0.6122448979591837
"Zhaire Smith","PHI",7,32,2.857142857142857,8.571428571428571,0,2.857142857142857,0,0,0,0,2.857142857142857
"Marial Shayok","PHI",4,28,1.5625,3.125,1.5625,0,1.5625,0,0,0,0
"Jonah Bolden","PHI",4,14,0,0,0,0,0,0,0,0,0
