"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"CJ McCollum","POR",75,2751,5.6002800140007,13.493174658732936,3.3076653832691636,2.2926146307315367,1.872593629681484,0.8925446272313615,0.5425271263563178,0.6300315015750787,1.662583129156458
"Damian Lillard","POR",71,2661,9.94465274058204,23.71005177646849,6.123906445277629,3.82074629530441,3.8386002499553653,1.4818782360292806,0.8034279592929834,1.3747545081235493,2.4459917871808607
"Hassan Whiteside","POR",72,2112,1.8015963511972635,4.424173318129989,0.9806157354618016,0.8209806157354618,0.6385404789053591,0.15963511972633979,0.18244013683010263,0.15963511972633979,0.661345496009122
"Carmelo Anthony","POR",63,2075,2.2237827715355807,5.500936329588015,1.1704119850187267,1.053370786516854,0.8426966292134831,0.21067415730337077,0.11704119850187265,0.351123595505618,0.702247191011236
"Anfernee Simons","POR",73,1503,3.3428844317096464,8.30945558739255,1.7191977077363896,1.6236867239732569,1.0187838268067495,0.3502069404648201,0.3502069404648201,0.5412289079910857,1.0824578159821714
"Gary Trent Jr.","POR",66,1480,2.035541195476575,5.040387722132472,1.0662358642972536,0.9693053311793215,0.6462035541195477,0.22617124394184168,0.1938610662358643,0.32310177705977383,0.6462035541195477
"Kent Bazemore","POR",43,1111,2.6259147653895822,5.9405940594059405,1.9371502367628066,0.6887645286267757,1.2053379250968574,0.4304778303917348,0.30133448127421436,0.2582866982350409,0.4304778303917348
"Mario Hezonja","POR",58,936,2.787633046122656,6.842372022301064,1.5205271160669032,1.2671059300557526,0.8616320324379118,0.40547389761784086,0.25342118601115055,0.30410542321338063,0.963000506842372
"Trevor Ariza","POR",21,702,2.802460697197539,6.903622693096377,1.5037593984962405,1.2987012987012987,1.2303485987696514,0.1367053998632946,0.1367053998632946,0.3417634996582365,0.9569377990430622
"Rodney Hood","POR",21,619,2.4521072796934864,6.436781609195402,0.9195402298850575,1.5325670498084292,0.3831417624521073,0.45977011494252873,0.07662835249042145,0.07662835249042145,1.4559386973180077
"Nassir Little","POR",48,573,1.8363939899833055,4.590984974958264,0.9181969949916527,0.9181969949916527,0.667779632721202,0.08347245409015025,0.1669449081803005,0.333889816360601,0.5843071786310517
"Skal Labissiere","POR",33,567,3.5563082133784927,8.63674851820491,2.032176121930567,1.5241320914479255,0.9314140558848434,0.2540220152413209,0.8467400508044031,0.42337002540220153,1.100762066045724
"Anthony Tolliver","POR",33,554,2.4701873935264054,6.558773424190801,0.8517887563884157,1.6183986371379897,0.5110732538330494,0.17035775127768313,0.17035775127768313,0.34071550255536626,1.2776831345826236
"Jusuf Nurkic","POR",13,418,5.73394495412844,13.417431192660551,3.7844036697247705,1.9495412844036697,2.86697247706422,0.3440366972477064,0.573394495412844,0.573394495412844,1.3761467889908257
"Zach Collins","POR",12,297,2.6058631921824102,5.537459283387622,2.2801302931596092,0.3257328990228013,0.6514657980456026,0.6514657980456026,0.9771986970684039,0.16286644951140064,0.16286644951140064
"Caleb Swanigan","POR",20,265,5.311355311355311,12.820512820512821,3.1135531135531136,2.197802197802198,1.465201465201465,0.5494505494505495,1.098901098901099,0.7326007326007326,1.465201465201465
"Wenyen Gabriel","POR",24,236,2.0618556701030926,5.360824742268041,0.8247422680412371,1.2371134020618557,0.20618556701030927,0.41237113402061853,0.20618556701030927,0,1.2371134020618557
"Jaylen Hoard","POR",15,124,1.9083969465648856,4.198473282442748,1.5267175572519085,0.3816793893129771,0.3816793893129771,1.1450381679389312,0,0,0.3816793893129771
"Moses Brown","POR",9,33,1.36986301369863,2.73972602739726,1.36986301369863,0,1.36986301369863,0,0,0,0
"Jaylen Adams","POR",2,19,5.2631578947368425,13.157894736842104,2.6315789473684212,2.6315789473684212,0,0,2.6315789473684212,0,2.6315789473684212
