"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Harrison Barnes","SAC",72,2482,3.1018337885290674,7.939914163090129,1.3655872024970737,1.7362465860319938,0.8388607101053454,0.3316426063207179,0.19508388607101054,0.4291845493562232,1.3070620366757706
"Buddy Hield","SAC",72,2216,4.629428385133666,10.78026515974788,3.1080199956531187,1.5214083894805477,2.2603781786568136,0.6085633557922191,0.23907846120408607,0.41295370571614864,1.1084546837643992
"Nemanja Bjelica","SAC",72,2011,4.959687270950403,12.21597849987784,2.6630833129733693,2.296603957977034,1.9301246029806987,0.4642071829953579,0.2687515269973125,0.6352308819936477,1.6613730759833862
"Bogdan Bogdanovic","SAC",61,1766,5.775669642857143,13.783482142857142,3.5435267857142856,2.232142857142857,2.5390625,0.5859375,0.4185267857142857,0.78125,1.4508928571428572
"Cory Joseph","SAC",72,1759,7.056508293505764,17.26173741917346,3.9077874613438293,3.1487208321619344,2.024177677818386,1.124543154343548,0.7590666291818948,0.9839752600506044,2.16474557211133
"De'Aaron Fox","SAC",51,1634,10.148731408573928,25.7801108194809,4.666083406240887,5.4826480023330415,3.237095363079615,1.0498687664041995,0.379119276757072,1.3998250218722659,4.082822980460776
"Richaun Holmes","SAC",44,1242,1.680672268907563,3.8815526210484195,1.1604641856742697,0.5202080832332934,0.7603041216486595,0.1600640256102441,0.24009603841536614,0.12004801920768307,0.4001600640256102
"Trevor Ariza","SAC",32,791,3.0998140111593306,7.563546187228766,1.735895846249225,1.3639181649101053,0.805951642901426,0.5579665220086795,0.3719776813391196,0.3719776813391196,0.9919404835709857
"Harry Giles III","SAC",46,667,4.357298474945534,9.949164851125635,3.122730573710966,1.2345679012345678,2.396514161220044,0.29048656499636893,0.4357298474945534,0.4357298474945534,0.7988380537400145
"Kent Bazemore","SAC",25,577,2.6622296173044924,6.239600665557404,1.7470881863560732,0.9151414309484193,1.3311148086522462,0.33277870216306155,0.08319467554076539,0.08319467554076539,0.831946755407654
"Dewayne Dedmon","SAC",34,541,1.36986301369863,3.1963470319634704,0.91324200913242,0.45662100456621,0.730593607305936,0.091324200913242,0.091324200913242,0,0.45662100456621
"Yogi Ferrell","SAC",50,530,6.318681318681318,15.567765567765568,3.3882783882783882,2.93040293040293,1.8315018315018314,0.8241758241758241,0.7326007326007326,0.8241758241758241,2.1062271062271063
"Marvin Bagley III","SAC",13,334,1.4492753623188406,3.4782608695652173,0.8695652173913043,0.5797101449275363,0.43478260869565216,0.2898550724637681,0.14492753623188406,0,0.5797101449275363
"Justin James","SAC",36,232,3.696098562628337,8.624229979466119,2.4640657084188913,1.2320328542094456,1.8480492813141685,0.4106776180698152,0.2053388090349076,0.8213552361396304,0.4106776180698152
"Alex Len","SAC",15,225,1.6666666666666667,4.583333333333333,0.4166666666666667,1.25,0.20833333333333334,0.20833333333333334,0,0.4166666666666667,0.8333333333333334
"DaQuan Jeffries","SAC",13,141,2.2151898734177213,5.379746835443038,1.2658227848101267,0.9493670886075949,0.31645569620253167,0.31645569620253167,0.6329113924050633,0.31645569620253167,0.6329113924050633
"Anthony Tolliver","SAC",9,82,1.7857142857142858,3.5714285714285716,1.7857142857142858,0,1.7857142857142858,0,0,0,0
"Jabari Parker","SAC",6,80,5.4945054945054945,12.637362637362637,3.8461538461538463,1.6483516483516483,3.2967032967032965,0.5494505494505495,0,0.5494505494505495,1.098901098901099
"Wenyen Gabriel","SAC",11,61,2.255639097744361,4.511278195488722,2.255639097744361,0,1.5037593984962405,0,0.7518796992481203,0,0
"Corey Brewer","SAC",5,33,2.73972602739726,5.47945205479452,2.73972602739726,0,0,1.36986301369863,1.36986301369863,0,0
"Caleb Swanigan","SAC",7,23,3.7037037037037037,11.11111111111111,0,3.7037037037037037,0,0,0,1.8518518518518519,1.8518518518518519
"Eric Mika","SAC",1,19,0,0,0,0,0,0,0,0,0
"Kyle Guy","SAC",3,10,4.166666666666667,8.333333333333334,4.166666666666667,0,4.166666666666667,0,0,0,0
