"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"DeMar DeRozan","SAS",68,2316,7.941483803552769,20.313479623824453,3.510971786833856,4.430512016718914,1.755485893416928,0.8986415882967607,0.8568443051201672,1.1703239289446186,3.260188087774295
"LaMarcus Aldridge","SAS",53,1754,3.5873192436040044,8.592880978865406,2.169076751946607,1.418242491657397,0.5561735261401557,0.41713014460511677,1.1957730812013347,0.13904338153503892,1.279199110122358
"Dejounte Murray","SAS",66,1687,7.780648865920184,18.34625322997416,4.995693367786391,2.7849554981337925,2.3255813953488373,1.2919896640826873,1.3781223083548666,0.6890611541774333,2.0958943439563593
"Derrick White","SAS",68,1677,6.825261965448881,15.717926932880204,4.75785896346644,2.0674030019824414,2.463891248937978,1.3310676862078732,0.9629000283205891,0.6796941376380629,1.3877088643443785
"Bryn Forbes","SAS",63,1579,3.334362457548626,7.594936708860759,2.408150663785119,0.9262117937635073,1.234949058351343,0.5557270762581044,0.6174745291756715,0.2469898116702686,0.6792219820932387
"Patty Mills","SAS",66,1485,3.753180661577608,8.428753180661577,2.830788804071247,0.9223918575063613,1.6221374045801527,0.7951653944020356,0.41348600508905853,0.22264631043256997,0.6997455470737913
"Rudy Gay","SAS",67,1461,3.682170542635659,8.494832041343669,2.5516795865633073,1.1304909560723515,1.6472868217054264,0.4844961240310077,0.4198966408268734,0.3875968992248062,0.7428940568475452
"Trey Lyles","SAS",63,1271,2.6366068016813147,6.03744745892243,1.8723729461215133,0.7642338555598013,0.9170806266717616,0.4967520061138708,0.4585403133358808,0.2292701566679404,0.5349636988918609
"Jakob Poeltl","SAS",66,1171,4.707792207792208,11.2012987012987,2.9220779220779223,1.7857142857142858,1.0957792207792207,0.6493506493506493,1.176948051948052,0.2840909090909091,1.5016233766233766
"Lonnie Walker IV","SAS",61,988,3.315455875182838,8.093612871769869,1.8527547537786446,1.4627011214041932,1.1701608971233544,0.3900536323744515,0.2925402242808386,0.5363237445148707,0.9263773768893223
"Marco Belinelli","SAS",57,883,3.6997319034852545,8.579088471849866,2.520107238605898,1.1796246648793565,1.0187667560321716,0.9115281501340483,0.5898123324396782,0.3753351206434316,0.8042895442359249
"Keldon Johnson","SAS",17,301,2.2831050228310503,5.6316590563165905,1.21765601217656,1.06544901065449,0.60882800608828,0.45662100456621,0.15220700152207,0.15220700152207,0.91324200913242
"Drew Eubanks","SAS",22,272,2.5337837837837838,6.418918918918919,1.1824324324324325,1.3513513513513513,0.6756756756756757,0,0.5067567567567568,0.33783783783783783,1.0135135135135136
"DeMarre Carroll","SAS",15,135,3.9145907473309607,9.252669039145907,2.491103202846975,1.4234875444839858,1.0676156583629892,0.35587188612099646,1.0676156583629892,0.7117437722419929,0.7117437722419929
"Chimezie Metu","SAS",18,105,4.444444444444445,10.666666666666666,2.6666666666666665,1.7777777777777777,0.4444444444444444,1.3333333333333333,0.8888888888888888,0,1.7777777777777777
"Quinndary Weatherspoon","SAS",11,78,6.25,16.477272727272727,2.272727272727273,3.977272727272727,1.1363636363636365,0.5681818181818182,0.5681818181818182,1.7045454545454546,2.272727272727273
"Luka Samanic","SAS",3,48,6.0606060606060606,14.141414141414142,4.040404040404041,2.0202020202020203,2.0202020202020203,2.0202020202020203,0,1.0101010101010102,1.0101010101010102
"Tyler Zeller","SAS",2,4,0,0,0,0,0,0,0,0,0
