"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Pascal Siakam","TOR",64,2244,4.794229953330505,12.346202800169706,2.036487059821807,2.7577428935086976,1.5697921086126432,0.3606279168434451,0.10606703436571914,0.7212558336868902,2.036487059821807
"Kyle Lowry","TOR",62,2218,9.722520972252097,22.413422241342225,6.754140675414067,2.9683802968380295,4.796730479673048,1.1400301140030114,0.8173800817380081,1.0324801032480104,1.9359001935900193
"OG Anunoby","TOR",73,2195,2.5169621361348216,6.369008535784635,1.1818778726198294,1.3350842635149924,0.9848982271831911,0.1969796454366382,0,0.3939592908732764,0.9411249726417159
"Fred VanVleet","TOR",58,2061,9.097303634232121,21.89917936694021,5.3927315357561545,3.704572098475967,3.728018757327081,1.2426729191090269,0.4220398593200469,1.1957796014067996,2.5087924970691677
"Serge Ibaka","TOR",59,1579,2.5890953396283884,6.609808102345416,1.1574779165397502,1.4316174230886385,0.9137983551629607,0.09137983551629607,0.15229972586049345,0.5178190679256778,0.9137983551629607
"Norman Powell","TOR",56,1575,2.8776978417266186,6.894484412470024,1.7386091127098322,1.1390887290167866,1.2589928057553956,0.23980815347721823,0.23980815347721823,0.3597122302158273,0.7793764988009593
"Terence Davis","TOR",75,1263,4.562737642585551,11.064638783269961,2.623574144486692,1.9391634980988592,1.7110266159695817,0.7224334600760456,0.19011406844106463,0.38022813688212925,1.55893536121673
"Marc Gasol","TOR",48,1241,6.218617226728466,15.256855928930088,3.398995751255311,2.8196214754731557,2.549246813441483,0.46349942062572425,0.3862495171881035,0.772499034376207,2.0471224410969486
"Rondae Hollis-Jefferson","TOR",63,1152,4.551201011378002,11.883691529709228,1.7699115044247788,2.781289506953224,1.3063632532659082,0.337126000842815,0.1264222503160556,0.42140750105351876,2.359882005899705
"Patrick McCaw","TOR",37,908,4.190981432360743,10.291777188328913,2.2811671087533156,1.909814323607427,1.5915119363395225,0.47745358090185674,0.21220159151193635,0.5305039787798409,1.3793103448275863
"Chris Boucher","TOR",65,837,1.5508328546812178,4.0781160252728315,0.5743825387708213,0.9764503159103963,0.402067777139575,0,0.1723147616312464,0.22975301550832855,0.7466973004020678
"Matt Thomas","TOR",45,483,2.629016553067186,6.621226874391431,1.2658227848101267,1.3631937682570594,0.7789678675754625,0.2921129503407984,0.19474196689386564,0.2921129503407984,1.071080817916261
"Malcolm Miller","TOR",29,167,3.142857142857143,8.857142857142858,0.5714285714285714,2.5714285714285716,0.5714285714285714,0,0,0.2857142857142857,2.2857142857142856
"Stanley Johnson","TOR",27,166,6.983240223463687,17.59776536312849,3.35195530726257,3.631284916201117,2.5139664804469275,0.27932960893854747,0.5586592178770949,0.8379888268156425,2.793296089385475
"Oshae Brissett","TOR",19,135,2.5179856115107913,7.194244604316546,0.3597122302158273,2.158273381294964,0.3597122302158273,0,0,1.079136690647482,1.079136690647482
"Paul Watson","TOR",10,78,3.468208092485549,8.092485549132949,2.3121387283236996,1.1560693641618498,1.7341040462427746,0.5780346820809249,0,0,1.1560693641618498
"Dewan Hernandez","TOR",6,28,4.838709677419355,12.903225806451612,1.6129032258064515,3.225806451612903,1.6129032258064515,0,0,0,3.225806451612903
"Shamorie Ponds","TOR",4,11,8.695652173913043,26.08695652173913,0,8.695652173913043,0,0,0,4.3478260869565215,4.3478260869565215
