"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Donovan Mitchell","UTA",74,2545,6.209024296182029,15.676822213652141,2.950250674893945,3.2587736212880833,2.4489008870034707,0.4049363671423062,0.09641342074816814,1.2148091014269187,2.0439645198611647
"Rudy Gobert","UTA",73,2523,2.109787067786677,5.235397538581754,1.0939636647782771,1.0158234030084001,0.6641922250439539,0.29302598163703847,0.13674545809728464,0.2734909161945693,0.7423324868138308
"Joe Ingles","UTA",77,2302,8.501070663811563,20.149892933618844,5.353319057815845,3.147751605995717,4.411134903640257,0.6638115631691649,0.278372591006424,1.4775160599571735,1.6702355460385439
"Royce O'Neale","UTA",76,2218,4.373047746541722,11.04417670682731,2.074966532797858,2.298081213743864,1.6733601070950468,0.2900490852298081,0.11155734047300313,0.9147701918786256,1.3833110218652387
"Bojan Bogdanovic","UTA",63,2083,3.075117370892019,7.605633802816901,1.619718309859155,1.4553990610328638,1.267605633802817,0.3051643192488263,0.046948356807511735,0.6103286384976526,0.8450704225352113
"Mike Conley","UTA",50,1454,7.448601280754971,17.863161442534548,4.482642399730367,2.965958881024604,3.4378159757330637,0.910010111223458,0.13481631277384565,1.0448264239973037,1.9211324570273003
"Jordan Clarkson","UTA",47,1184,3.25,8.166666666666666,1.5833333333333333,1.6666666666666667,1.0833333333333333,0.4583333333333333,0.041666666666666664,0.625,1.0416666666666667
"Georges Niang","UTA",71,1011,2.279340446168768,5.6741028128031035,1.1639185257032008,1.1154219204655673,0.9699321047526673,0.19398642095053345,0,0.4364694471387003,0.6789524733268671
"Emmanuel Mudiay","UTA",57,883,6.444565811032223,16.602949208083015,2.7307482250136537,3.713817586018569,1.8569087930092845,0.764609503003823,0.10922992900054615,1.3107591480065537,2.4030584380120152
"Tony Bradley","UTA",63,707,1.6540317022742936,4.410751206064783,0.5513439007580979,1.1026878015161958,0.27567195037904896,0.27567195037904896,0,0.2067539627842867,0.895933838731909
"Jeff Green","UTA",30,553,1.7605633802816902,3.961267605633803,1.3204225352112675,0.44014084507042256,0.9683098591549296,0.2640845070422535,0.0880281690140845,0,0.44014084507042256
"Ed Davis","UTA",28,303,1.9933554817275747,5.149501661129568,0.8305647840531561,1.1627906976744187,0.33222591362126247,0.4983388704318937,0,0.16611295681063123,0.9966777408637874
"Juwan Morgan","UTA",26,212,2.5114155251141552,6.164383561643835,1.36986301369863,1.1415525114155252,1.1415525114155252,0,0.228310502283105,0.45662100456621,0.684931506849315
"Rayjon Tucker","UTA",21,173,1.3774104683195592,3.581267217630854,0.5509641873278237,0.8264462809917356,0.5509641873278237,0,0,0.27548209366391185,0.5509641873278237
"Miye Oni","UTA",12,123,1.6,4,0.8,0.8,0.8,0,0,0.4,0.4
"Jarrell Brantley","UTA",11,109,5.777777777777778,15.11111111111111,2.2222222222222223,3.5555555555555554,1.7777777777777777,0.4444444444444444,0,0.4444444444444444,3.111111111111111
"Dante Exum","UTA",11,83,4.166666666666667,8.928571428571429,3.5714285714285716,0.5952380952380952,3.5714285714285716,0,0,0,0.5952380952380952
"Nigel Williams-Goss","UTA",11,52,6.25,14.285714285714286,4.464285714285714,1.7857142857142858,2.6785714285714284,1.7857142857142858,0,0,1.7857142857142858
"Justin Wright-Foreman","UTA",4,45,7.446808510638298,17.02127659574468,5.319148936170213,2.127659574468085,4.25531914893617,1.0638297872340425,0,0,2.127659574468085
"Stanton Kidd","UTA",4,15,2.9411764705882355,5.882352941176471,2.9411764705882355,0,0,0,2.9411764705882355,0,0
