"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Bradley Beal","WAS",57,2053,7.935056025611709,18.637091241710497,5.168076835124628,2.76697919048708,3.9332266178824606,0.5945575120054882,0.6402927052366796,0.6631603018522754,2.1038188886348044
"Ish Smith","WAS",68,1787,8.75721027792344,21.709491347666493,4.562139486103828,4.195070791819612,3.2511798636601994,0.7341373885684321,0.5768222338751966,0.9701101206082853,3.224960671211327
"Troy Brown Jr.","WAS",69,1782,4.6866771985255395,11.084781463928383,2.975250131648236,1.711427066877304,2.10637177461822,0.3949447077409163,0.47393364928909953,0.36861506055818855,1.3428120063191153
"Davis Bertans","WAS",54,1583,2.6853473438412143,6.450671336835961,1.6053706946876825,1.0799766491535319,1.1675423234092235,0.23350846468184472,0.20431990659661411,0.29188558085230587,0.7880910683012259
"Rui Hachimura","WAS",48,1444,2.8515240904621435,7.145198295640774,1.4093739757456571,1.4421501147164864,0.9177318911832186,0.3605375286791216,0.13110455588331696,0.22943297279580466,1.2127171419206817
"Isaac Bonga","WAS",66,1250,2.895238095238095,7.238095238095238,1.4476190476190476,1.4476190476190476,1.0285714285714285,0.1523809523809524,0.26666666666666666,0.3047619047619048,1.1428571428571428
"Thomas Bryant","WAS",46,1147,3.3877551020408165,7.714285714285714,2.4489795918367347,0.9387755102040817,1.510204081632653,0.24489795918367346,0.6938775510204082,0.16326530612244897,0.7755102040816326
"Isaiah Thomas","WAS",40,925,7.340372046254399,17.043740573152338,4.97737556561086,2.3629964806435395,2.916038210155857,1.1060834590246356,0.9552538964303671,0.5530417295123178,1.8099547511312217
"Moritz Wagner","WAS",45,835,3.076923076923077,7.527472527472527,1.7032967032967032,1.3736263736263736,0.989010989010989,0.43956043956043955,0.27472527472527475,0.16483516483516483,1.2087912087912087
"Ian Mahinmi","WAS",38,808,2.906287069988138,6.702253855278767,2.0166073546856467,0.8896797153024911,0.8896797153024911,0.6524317912218268,0.4744958481613286,0.05931198102016608,0.830367734282325
"Jordan McRae","WAS",29,654,5.750350631136045,13.604488078541374,3.6465638148667603,2.1037868162692845,2.805049088359046,0.6311360448807855,0.21037868162692847,0.42075736325385693,1.6830294530154277
"Jerome Robinson","WAS",21,503,3.7753222836095763,9.023941068139964,2.3020257826887662,1.4732965009208103,1.9337016574585635,0,0.3683241252302026,0.3683241252302026,1.1049723756906078
"Shabazz Napier","WAS",20,488,7.281553398058253,17.961165048543688,3.883495145631068,3.3980582524271843,2.912621359223301,0.4854368932038835,0.4854368932038835,0.2912621359223301,3.1067961165048543
"Anzejs Pasecniks","WAS",26,437,1.965065502183406,4.585152838427947,1.3100436681222707,0.6550218340611353,0.4366812227074236,0.4366812227074236,0.4366812227074236,0.2183406113537118,0.4366812227074236
"Gary Payton II","WAS",29,432,5.2921719955898565,12.78941565600882,3.08710033076075,2.205071664829107,1.1025358324145536,0.6615214994487321,1.3230429988974641,0.6615214994487321,1.543550165380375
"Admiral Schofield","WAS",33,368,1.95822454308094,4.308093994778068,1.566579634464752,0.391644908616188,0.6527415143603134,0.5221932114882507,0.391644908616188,0,0.391644908616188
"Garrison Mathews","WAS",18,227,2.0964360587002098,5.660377358490566,0.6289308176100629,1.4675052410901468,0.6289308176100629,0,0,0.4192872117400419,1.0482180293501049
"Johnathan Williams","WAS",15,180,2.197802197802198,5.21978021978022,1.3736263736263736,0.8241758241758241,0.5494505494505495,0.5494505494505495,0.27472527472527475,0,0.8241758241758241
"CJ Miles","WAS",10,161,3.3426183844011144,7.242339832869081,2.785515320334262,0.5571030640668524,1.9498607242339834,0.5571030640668524,0.2785515320334262,0,0.5571030640668524
"Chris Chiozza","WAS",10,123,10.64638783269962,26.99619771863118,4.942965779467681,5.7034220532319395,2.661596958174905,1.1406844106463878,1.1406844106463878,0.38022813688212925,5.32319391634981
"Jerian Grant","WAS",6,80,5.357142857142857,13.095238095238095,2.9761904761904763,2.380952380952381,1.1904761904761905,1.1904761904761905,0.5952380952380952,1.7857142857142858,0.5952380952380952
"Justin Robinson","WAS",9,49,7,17,4,3,3,1,0,1,2
"Jarrod Uthoff","WAS",3,39,0,0,0,0,0,0,0,0,0
