"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Trae Young","ATL",60,2120,1.1361153594057243,0.9396853146853147,0.06555944055944056,0.0655307994757536,0.24027959807776322,0.08737439930100481,0.34965034965034963,0.2840909090909091,0,0,0.021853146853146852,0,10.135430318916557
"De'Andre Hunter","ATL",63,2018,2.1226965243760207,1.8863530507685142,0.13972985561248252,0.09345794392523364,0.2570093457943925,0.11682242990654206,0.3260363297624592,0.09315323707498836,0,0,0,0.04657661853749418,3.0841121495327104
"Kevin Huerter","ATL",56,1760,1.8563034188034189,1.6288384512683578,0.13351134846461948,0.16029922522041143,0.18701576275714668,0,0.1068090787716956,0,0,0,0.0267022696929239,0,1.5495591771306438
"Cam Reddish","ATL",58,1551,1.9775280898876404,2.1492537313432836,0.029850746268656716,0.09022556390977443,0.03007518796992481,0.18045112781954886,0.47761194029850745,0,0,0,0,0.029850746268656716,3.308270676691729
"John Collins","ATL",41,1363,2.369098712446352,2.672147995889003,0.23980815347721823,0.4473503097040606,0.41293874741913283,0.1720578114246387,0.0342583076396026,0,0,0,0.0342583076396026,0.0342583076396026,4.9896765313145215
"DeAndre' Bembry","ATL",43,915,2.1265822784810124,1.558572146807441,0.10055304172951232,0.2039775624681285,0.10198878123406425,0.10198878123406425,0.6033182503770739,0,0,0,0,0,2.39673635900051
"Damian Jones","ATL",55,887,3.9627659574468086,4.4657097288676235,1.1695906432748537,1.06439595529537,0.47897817988291647,0.05321979776476849,0.2126528442317916,0,0,0,0,0.0531632110579479,4.204364023416711
"Vince Carter","ATL",60,876,2.4200053777897286,2.3848238482384825,0.10840108401084012,0.16008537886872998,0.21344717182497333,0.05336179295624333,0.16260162601626016,0.05420054200542006,0,0,0,0.05420054200542006,1.7075773745997866
"Jabari Parker","ATL",32,837,2.610892756878158,2.5857223159078133,0.3372681281618887,0.16825574873808188,0.2243409983174425,0.16825574873808188,0.22484541877459246,0.11242270938729623,0,0,0,0,3.309029725182277
"Alex Len","ATL",40,745,2.945834653151726,3.6144578313253013,0.6975269499048827,0.6962025316455697,0.5063291139240507,0.189873417721519,0.06341154090044387,0,0,0,0,0.19023462270133165,4.2405063291139244
"Bruno Fernando","ATL",56,713,3.5797925727668116,4.350736278447122,0.6024096385542169,0.8695652173913043,0.20066889632107024,0.20066889632107024,0.20080321285140562,0,0,0,0,0.33467202141900937,3.5451505016722407
"Allen Crabbe","ATL",28,522,1.6179775280898876,2.0758122743682312,0,0,0.08952551477170993,0.08952551477170993,0.09025270758122744,0.09025270758122744,0,0,0,0.09025270758122744,0.9847806624888094
"Jeff Teague","ATL",25,519,1.6400911161731206,1.829826166514181,0,0.18148820326678766,0.4537205081669691,0.09074410163339383,0.18298261665141813,0.18298261665141813,0,0,0.09149130832570906,0,4.537205081669692
"Brandon Goodwin","ATL",34,430,2.36784140969163,1.646542261251372,0.10976948408342481,0.22099447513812154,0.22099447513812154,0,0.21953896816684962,0,0,0,0,0,3.314917127071823
"Treveon Graham","ATL",22,266,3.225806451612903,2.841918294849023,0.3552397868561279,0,0.18083182640144665,0.5424954792043399,0.7104795737122558,0.3552397868561279,0,0,0,0.17761989342806395,3.4358047016274864
"Evan Turner","ATL",19,251,1.8416206261510129,2.226345083487941,0.7421150278293135,0,0.18281535648994515,0,0.18552875695732837,0,0,0,0,0,2.376599634369287
"Dewayne Dedmon","ATL",10,233,4.153686396677051,4.356846473029045,1.2448132780082988,0.4158004158004158,0.6237006237006237,0,0,0.6224066390041494,0,0,0,0,2.494802494802495
"Tyrone Wallace","ATL",14,160,2.8023598820059,3.235294117647059,0,0,0.2958579881656805,0.2958579881656805,0.5882352941176471,0.29411764705882354,0,0,0,0,4.1420118343195265
"Chandler Parsons","ATL",5,54,1.2345679012345678,0,0,0,0,0,0,0,0,0,0,0,0.819672131147541
"Charles Brown Jr.","ATL",10,40,1.7647058823529411,2.2988505747126435,0,0,0,0,1.1494252873563218,0,0,0,0,0,6.024096385542169
"Paul Watson","ATL",2,17,1.3333333333333333,2.7027027027027026,0,0,0,0,0,0,0,0,0,0,2.6315789473684212
