"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Joe Harris","BKN",71,2195,1.8272786599956494,1.726775956284153,0.39344262295081966,0.06494912318683697,0.3463953236631305,0.08659883091578263,0.17486338797814208,0.04371584699453552,0,0,0,0,1.9917731110630006
"Spencer Dinwiddie","BKN",64,1994,2.168413444163354,1.5444015444015444,0.14478764478764478,0,0.5532836179937455,0.16839066634592254,0.28957528957528955,0.04826254826254826,0,0,0,0,7.024296367572769
"Jarrett Allen","BKN",74,1984,2.0482365773845594,2.3086269744835968,0.3645200486026732,0.7736943907156673,0.6286266924564797,0.0725338491295938,0.1701093560145808,0.024301336573511544,0,0,0,0.12150668286755771,7.0357833655706
"Garrett Temple","BKN",66,1867,1.5308075009567548,1.4570552147239264,0.10224948875255624,0.22918258212375858,0.15278838808250572,0.05092946269416858,0.2556237218813906,0.07668711656441718,0,0,0,0,2.4191494779730074
"Taurean Prince","BKN",64,1857,2.0468589083419158,1.6748260757536717,0.23189899510435455,0.2315410342166195,0.3087213789554927,0.12863390789812196,0.2576655501159495,0.2576655501159495,0,0,0,0,2.444044250064317
"Caris LeVert","BKN",49,1469,1.4299642508937276,1.2982797792924374,0.2596559558584875,0.06508298080052066,0.195248942401562,0.06508298080052066,0.32456994482310936,0.12982797792924375,0,0,0,0.03245699448231094,6.117800195248942
"DeAndre Jordan","BKN",56,1234,2.202047517867491,2.2333461686561416,0.5390835579514824,1.2403100775193798,0.5038759689922481,0,0.19252984212552945,0.03850596842510589,0,0,0,0.346553715825953,4.961240310077519
"Timothe Luwawu-Cabarrot","BKN",51,984,2.867383512544803,2.331113225499524,0.47573739295908657,0.09601536245799328,0.3360537686029765,0.09601536245799328,0.19029495718363462,0.142721217887726,0,0,0,0,2.8324531925108016
"Rodions Kurucs","BKN",51,742,3.086997193638915,2.613565650280025,1.057871810827629,0.375,0.25,0.25,0.37336652146857496,0.12445550715619166,0,0,0,0.18668326073428748,2.375
"Wilson Chandler","BKN",35,734,2.5766470971950426,2.9889538661468484,0.1299545159194282,0.19646365422396855,0.26195153896529144,0.06548788474132286,0.0649772579597141,0,0,0,0,0,1.1132940406024885
"Kyrie Irving","BKN",20,658,1.890156918687589,1.143674052894925,0.14295925661186562,0.1423487544483986,0.1423487544483986,0,0.21443888491779842,0.21443888491779842,0,0,0,0,6.832740213523132
"Dzanan Musa","BKN",43,527,1.415929203539823,0.6200177147918512,0.1771479185119575,0.3536693191865606,0.26525198938992045,0,0.70859167404783,0,0,0,0,0,5.658709106984969
"Theo Pinson","BKN",33,365,2.2920759659463,2.594033722438392,0.1297016861219196,0.13227513227513227,0.13227513227513227,0.26455026455026454,0.5188067444876784,0.1297016861219196,0,0,0,0,3.1746031746031744
"Chris Chiozza","BKN",22,343,2.157788267026298,1.6238159675236807,0.13531799729364005,0,0.26881720430107525,0.13440860215053763,0.9472259810554804,0,0,0,0,0,2.553763440860215
"Tyler Johnson","BKN",12,287,2.1241830065359477,2.6058631921824102,0,0,0.16393442622950818,0,0,0.3257328990228013,0,0,0,0,2.622950819672131
"David Nwaba","BKN",20,268,2.81195079086116,2.7923211169284468,0.17452006980802792,0.17699115044247787,0.17699115044247787,0,0.17452006980802792,0.34904013961605584,0,0,0,0,3.3628318584070795
"Iman Shumpert","BKN",13,241,2.1604938271604937,1.629327902240326,0.6109979633401222,0,0.2079002079002079,0,0.814663951120163,0.20366598778004075,0,0,0,0,2.079002079002079
"Nicolas Claxton","BKN",15,187,1.7543859649122806,1.2531328320802004,0.2506265664160401,0.7518796992481203,1.0025062656641603,0,0.5012531328320802,0,0,0,0,0.2506265664160401,4.761904761904762
"Justin Anderson","BKN",13,136,2.577319587628866,3.4602076124567476,0.3460207612456747,0,0.3412969283276451,0,1.0380622837370241,0,0,0,0,0,2.7303754266211606
"Jeremiah Martin","BKN",12,126,1.6605166051660516,1.8518518518518519,0,0,0,0,1.4814814814814814,0.7407407407407407,0,0,0,0,6.985294117647059
"Lance Thomas","BKN",10,115,2.7027027027027026,2.9166666666666665,0,0.8298755186721992,0.8298755186721992,0,0,0,0,0,0,0,3.319502074688797
"Donta Hall","BKN",8,105,3.2751091703056767,4.8034934497816595,0.4366812227074236,0,0.8733624454148472,0,0,0,0,0,0,0,4.366812227074236
"Henry Ellenson","BKN",5,15,1.408450704225352,2.857142857142857,0,0,0,0,0,0,0,0,0,0,0
"Jamal Crawford","BKN",1,6,3.5714285714285716,0,0,0,0,0,0,0,0,0,0,0,7.142857142857143
