"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Jayson Tatum","BOS",70,2410,1.4717823792123426,1.0787706085894566,0.08141664970486465,0.2024701356549909,0.42518728487548085,0.12148208139299453,0.12212497455729697,0,0,0,0.02035416242621616,0.02035416242621616,5.183235472767767
"Jaylen Brown","BOS",61,2084,2.0811287477954146,1.594746716697936,0.3517823639774859,0.14147606696533838,0.21221410044800754,0.14147606696533838,0.21106941838649157,0,0,0,0,0.04690431519699812,4.880924310304174
"Marcus Smart","BOS",64,2063,2.0086925878068835,1.7852948085506226,0.14094432699083861,0.21146616541353383,0.07048872180451128,0.09398496240601503,0.49330514446793516,0.25839793281653745,0,0,0,0,4.06484962406015
"Kemba Walker","BOS",60,1874,1.28923036853757,1.5127803860198226,0.05216484089723526,0.18205461638491546,0,0.02600780234070221,0.4694835680751174,0.495565988523735,0,0,0,0,6.0338101430429125
"Gordon Hayward","BOS",53,1774,1.2995803438472993,0.9224091155724362,0.13564839934888767,0.13509862199405567,0.3512564171845447,0.13509862199405567,0.08138903960933261,0,0,0,0,0,3.5936233450418804
"Daniel Theis","BOS",69,1656,3.4928656361474437,3.6849925705794946,0.6537890044576523,0.7731192387749034,0.5055010407374368,0,0.32689450222882616,0.237741456166419,0,0,0,0.029717682020802376,4.311626523936961
"Brad Wanamaker","BOS",75,1439,2.3789438164332717,1.9548365352207617,0.20222446916076844,0.033783783783783786,0.10135135135135136,0.10135135135135136,0.10111223458038422,0.06740815638692282,0,0,0,0,3.3783783783783785
"Grant Williams","BOS",73,1083,3.8410301953818826,4.021210782147592,0.4418912947414936,0.40160642570281124,0.8032128514056225,0.0892458723784025,0.3093239063190455,0.2209456473707468,0,0,0,0,2.85586791610888
"Enes Kanter","BOS",62,1044,2.622873345935728,3.2196969696969697,0.5681818181818182,1.1320754716981132,0.6132075471698113,0.04716981132075472,0.04734848484848485,0,0,0,0,0,4.2924528301886795
"Semi Ojeleye","BOS",72,1039,2.0047169811320753,1.876172607879925,0.28142589118198874,0.18975332068311196,0.04743833017077799,0.14231499051233396,0.28142589118198874,0.5628517823639775,0,0,0,0,2.1821631878557874
"Javonte Green","BOS",49,474,2.206619859578736,2.4925224327018944,0.19940179461615154,0.20181634712411706,0.10090817356205853,0,0.09970089730807577,0,0,0,0,0,2.9263370332996974
"Robert Williams III","BOS",32,410,3.419811320754717,3.9952996474735607,0.23501762632197415,0.35502958579881655,0.7100591715976331,0,0.3525264394829612,0,0,0,0,0.4700352526439483,3.78698224852071
"Romeo Langford","BOS",36,407,2.1238938053097347,2.479338842975207,0.3541912632821724,0.1179245283018868,0,0.1179245283018868,0.7083825265643447,0.5903187721369539,0,0,0,0,3.0660377358490565
"Carsen Edwards","BOS",37,351,2.2803487592219986,2.406417112299465,0,0.2691790040376851,0.2691790040376851,0,0.40106951871657753,0.13368983957219252,0,0,0,0,2.557200538358008
"Vincent Poirier","BOS",21,130,4.363001745200698,5.2264808362369335,0.6968641114982579,0.6993006993006993,1.048951048951049,0,0.34843205574912894,0,0,0,0,0,3.1468531468531467
"Tremont Waters","BOS",11,119,2.6694045174537986,2.05761316872428,0,0,0,0,0,0,0,0,0,0,2.459016393442623
"Tacko Fall","BOS",8,35,4.761904761904762,8.219178082191782,0,2.7027027027027026,0,0,0,0,0,0,0,0,8.108108108108109
