"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Devonte' Graham","CHA",63,2211,1.312485733850719,0.641319285387082,0.04580852038479157,0.09099181073703366,0.11373976342129208,0.04549590536851683,0.22904260192395787,0.22904260192395787,0,0,0,0.022904260192395786,5.755232029117379
"Terry Rozier","CHA",63,2164,1.4711033274956218,1.1475409836065573,0.0468384074941452,0,0.4190919674039581,0.046565774155995346,0.468384074941452,0,0,0,0,0,3.748544819557625
"Miles Bridges","CHA",65,1995,1.670251803112742,1.5411824153612936,0.12632642748863063,0.050697084917617236,0.2534854245880862,0.1267427122940431,0.12632642748863063,0.050530570995452245,0,0,0,0,2.661596958174905
"P.J. Washington","CHA",58,1759,2.2652329749103943,2.8217679239850275,0,0.1142204454597373,0.19988577955454026,0.17133066818960593,0.14396775122372588,0,0,0,0.028793550244745177,0.1151742009789807,3.8549400342661335
"Cody Zeller","CHA",58,1341,2.6330637577581344,2.344045368620038,0.6805293005671077,0.5988023952095808,0.6362275449101796,0.18712574850299402,0.15122873345935728,0.15122873345935728,0,0,0,0.1890359168241966,6.699101796407185
"Malik Monk","CHA",55,1169,1.5774888083564271,1.6267123287671232,0.1284246575342466,0.08492569002123142,0.12738853503184713,0.21231422505307856,0.21404109589041095,0.08561643835616438,0,0,0,0,3.397027600849257
"Bismack Biyombo","CHA",53,1029,2.8798411122144985,2.5185185185185186,0.8395061728395061,1.747378931602596,0.6490264603095357,0,0.14814814814814814,0,0,0,0,0,6.490264603095357
"Cody Martin","CHA",48,903,2.161862527716186,1.8211920529801324,0.16556291390728478,0.0556792873051225,0.22271714922049,0.0556792873051225,0.9381898454746137,0.7726269315673289,0,0,0,0.16556291390728478,4.342984409799555
"Marvin Williams","CHA",41,808,2.1732476277930823,1.4660965180207697,0.24434941967012827,0.3067484662576687,0.5521472392638037,0,0,0.24434941967012827,0,0,0,0,2.8220858895705523
"Dwayne Bacon","CHA",39,687,1.875901875901876,1.501072194424589,0,0,0.29133284777858703,0.14566642388929352,0.28591851322373124,0,0,0,0,0.14295925661186562,3.058994901675164
"Nicolas Batum","CHA",22,505,2.0459081836327346,1.2922465208747516,0.1988071570576541,0.40080160320641284,0,0,0.7952286282306164,0.4970178926441352,0,0,0,0,2.50501002004008
"Willy Hernangomez","CHA",31,375,2.1333333333333333,2.406417112299465,0.40106951871657753,1.3297872340425532,0.7978723404255319,0.13297872340425532,0.13368983957219252,0.13368983957219252,0,0,0,0,6.382978723404255
"Caleb Martin","CHA",18,317,2.588996763754045,2.4390243902439024,0.16260162601626016,0.1610305958132045,0.1610305958132045,0,0.6504065040650406,0.6504065040650406,0,0,0,0,4.025764895330113
"Jalen McDaniels","CHA",16,293,3.1358885017421603,3.484320557491289,0.5226480836236934,0.17421602787456447,0,0.17421602787456447,0.8710801393728222,0.17421602787456447,0,0,0,0.17421602787456447,3.1358885017421603
"Michael Kidd-Gilchrist","CHA",12,160,2.9220779220779223,1.935483870967742,0.6451612903225806,1.3071895424836601,0,0,0.3225806451612903,0,0,0,0,0,3.2679738562091503
"Joe Chealey","CHA",4,33,1.4492753623188406,1.408450704225352,0,0,0,0,0,0,0,0,0,0,1.492537313432836
