"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Zach LaVine","CHI",60,2085,1.5163792105567775,1.4607002086714584,0.06955715279387897,0.04623208506703652,0.3005085529357374,0.16181229773462782,0.1623000231857176,0,0,0,0,0.023185717597959656,5.617198335644938
"Tomas Satoransky","CHI",65,1878,1.741261447181736,1.549186676994578,0.15491866769945778,0.10309278350515463,0.12886597938144329,0.02577319587628866,0.36147689129873484,0.18073844564936742,0,0,0,0.07745933384972889,3.634020618556701
"Coby White","CHI",65,1674,1.6733409610983982,1.315037164093768,0.20011435105774728,0.08586147681740126,0.14310246136233543,0.14310246136233543,0.34305317324185247,0.11435105774728416,0,0,0.02858776443682104,0.1429388221841052,3.348597595878649
"Thaddeus Young","CHI",64,1591,2.0198974977389206,2.078939439590238,0.15064778547755348,0.15082956259426847,0.36199095022624433,0.18099547511312217,0.39168424224163906,0.39168424224163906,0,0,0,0.030129557095510694,2.9260935143288083
"Lauri Markkanen","CHI",50,1492,1.549636803874092,1.8128844286176755,0.22661055357720944,0.128783000643915,0.22537025112685125,0.128783000643915,0.22661055357720944,0.03237293622531564,0,0,0,0.03237293622531564,3.895685769478429
"Kris Dunn","CHI",51,1269,3.0123927550047664,2.4733637747336377,0.228310502283105,0.07642338555598013,0.26748184944593045,0.15284677111196027,0.3424657534246575,0,0,0,0,0,2.1780664883454337
"Wendell Carter Jr.","CHI",43,1256,3.1462419887356767,3.2195500387897593,0.3878975950349108,0.661221314663555,0.8556981719175418,0,0.23273855702094648,0.11636927851047324,0,0,0,0.038789759503491075,5.600933488914819
"Ryan Arcidiacono","CHI",58,930,2.4876911116869653,2.3340248962655603,0.15560165975103735,0.20714655618850336,0,0.05178663904712584,0.6742738589211619,0.9854771784232366,0,0,0,0,3.8322112894873124
"Daniel Gafford","CHI",43,609,3.9012738853503186,4.2993630573248405,0.5573248407643312,0.47770700636942676,0.47770700636942676,0.1592356687898089,0.7165605095541401,0.3980891719745223,0,0,0,0,4.538216560509555
"Luke Kornet","CHI",36,559,2.3529411764705883,3.0809859154929575,0,0.25884383088869717,0.25884383088869717,0.08628127696289906,0.176056338028169,0.0880281690140845,0,0,0,0.0880281690140845,2.5021570319240727
"Chandler Hutchison","CHI",28,527,2.096342551293488,2.6785714285714284,0.17857142857142858,0.17825311942959002,0,0.26737967914438504,0.08928571428571429,0.8035714285714286,0,0,0,0,5.704099821746881
"Denzel Valentine","CHI",36,488,2.5641025641025643,2.62891809908999,0.3033367037411527,0.1,0.1,0,0.10111223458038422,0,0,0,0,0.10111223458038422,1.2
"Shaquille Harrison","CHI",43,484,2.75,1.9940179461615155,0,0.4012036108324975,0,0.20060180541624875,0.3988035892323031,0,0,0,0,0,4.212637913741224
"Cristiano Felicio","CHI",22,386,2.169751116783663,1.7879948914431674,0.3831417624521073,0.5102040816326531,0.5102040816326531,0,0,0,0,0,0,0.1277139208173691,2.423469387755102
"Otto Porter Jr.","CHI",14,331,2.2496371552975325,2.616279069767442,0.14534883720930233,0.43478260869565216,0,0,0.14534883720930233,0.14534883720930233,0,0,0,0,3.4782608695652173
"Adam Mokoka","CHI",11,112,3.7694013303769403,1.7857142857142858,0,0,0,0,0,0,0,0,0,0,1.7621145374449338
"Max Strus","CHI",2,6,3.3333333333333335,0,0,0,0,0,0,0,0,0,0,0,0
