"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Collin Sexton","CLE",65,2143,1.6108905275099263,1.08843537414966,0.09070294784580499,0.11350737797956867,0.22701475595913734,0.09080590238365494,0.45351473922902497,0.022675736961451247,0,0,0,0.022675736961451247,5.720771850170261
"Cedi Osman","CLE",65,1910,2.041337075784639,1.8631955079122,0.025523226135783564,0.17857142857142858,0.17857142857142858,0.12755102040816327,0.4849412965798877,0.20418580908626852,0,0,0,0,2.9591836734693877
"Darius Garland","CLE",59,1824,1.2340710932260228,1.3168503090567052,0.13437248051599032,0.02678093197643278,0.1339046598821639,0,0.26874496103198064,0.13437248051599032,0,0,0,0,2.437064809855383
"Kevin Love","CLE",56,1780,1.2364335760406648,1.4624724061810155,0.11037527593818984,0.24623803009575923,0.19151846785225718,0,0.13796909492273732,0.24834437086092714,0,0,0,0,4.459644322845417
"Tristan Thompson","CLE",57,1722,1.7734553775743707,1.7378917378917378,0.42735042735042733,0.8902929350947731,0.3733486502010339,0.2584721424468696,0.11396011396011396,0,0,0,0,0.08547008547008547,4.824813325674899
"Larry Nance Jr.","CLE",56,1472,1.5219936444221442,1.3364517206815905,0.3341129301703976,0.13395847287340926,0.23442732752846618,0.033489618218352314,0.1670564650851988,0.1670564650851988,0,0,0,0,3.3824514400535834
"Kevin Porter Jr.","CLE",50,1162,2.851108764519535,2.5641025641025643,0.08406893652795293,0.08488964346349745,0.1697792869269949,0.29711375212224106,0.2942412778478352,0,0,0,0,0,3.6502546689303905
"Matthew Dellavedova","CLE",57,821,2.3179791976225856,1.5411973918197985,0.11855364552459988,0,0.17878426698450536,0,0.8298755186721992,0.23710729104919975,0,0,0,0,2.9201430274135878
"Jordan Clarkson","CLE",29,666,1.2299664554603056,0.8948545861297539,0,0.07451564828614009,0.22354694485842028,0,0.07457121551081283,0,0,0,0,0,4.992548435171386
"Alfonzo McKinnie","CLE",40,593,2.9327902240325865,2.3443815683104283,0.32336297493936944,0.08210180623973727,0.3284072249589491,0.16420361247947454,0.16168148746968472,0.16168148746968472,0,0,0,0,2.134646962233169
"John Henson","CLE",29,412,3.2544378698224854,3.909952606635071,0.47393364928909953,1.1820330969267139,0.2364066193853428,0,0.35545023696682465,0.23696682464454977,0,0,0,0,4.846335697399527
"Dante Exum","CLE",24,402,1.8181818181818181,1.2062726176115801,0,0,0.243605359317905,0,0.9650180940892642,0,0,0,0,0,4.38489646772229
"Brandon Knight","CLE",16,241,1.998001998001998,1.4,0,0,0.1996007984031936,0.1996007984031936,0.2,0,0,0,0,0,3.992015968063872
"Andre Drummond","CLE",8,225,2.6737967914438503,2.8017241379310347,0,0.42462845010615713,0.6369426751592356,0.6369426751592356,0,0,0,0,0,0,6.794055201698514
"Ante Zizic","CLE",22,221,2.960526315789474,2.8508771929824563,1.0964912280701755,0.6578947368421053,0.6578947368421053,0,0,0,0,0,0,0,4.166666666666667
"Dean Wade","CLE",12,71,2.5641025641025643,1.9230769230769231,1.2820512820512822,0.6410256410256411,0,0,0,0,0,0,0,0,1.2820512820512822
"Tyler Cook","CLE",11,35,2.6490066225165565,5.194805194805195,0,0,0,0,0,0,0,0,0,0,5.405405405405405
"Matt Mooney","CLE",4,19,1.3157894736842106,2.6315789473684212,0,0,0,0,0,0,0,0,0,0,2.6315789473684212
"Malik Newman","CLE",1,4,0,0,0,0,0,0,0,0,0,0,0,0,14.285714285714286
"Marques Bolden","CLE",1,3,7.142857142857143,14.285714285714286,0,0,0,0,0,0,0,0,0,0,0
"J.P. Macura","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
