"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Dorian Finney-Smith","DAL",76,2274,2.124463519313305,1.8843683083511777,0.1284796573875803,0.23655913978494625,0.25806451612903225,0.043010752688172046,0.14989293361884368,0.042826552462526764,0,0,0,0,2.043010752688172
"Tim Hardaway Jr.","DAL",76,2262,1.4758972180930134,1.1712095400340716,0.04258943781942078,0.14824227022448117,0.1058873358746294,0.06353240152477764,0.42589437819420783,0.14906303236797275,0,0,0,0,3.642524354087251
"Luka Doncic","DAL",66,2220,1.8010198546164695,1.196692776327241,0.13054830287206268,0.19476303830339753,0.38952607660679506,0.3678857390175287,0.195822454308094,0.04351610095735422,0,0,0,0,10.885089807400995
"Maxi Kleber","DAL",79,2057,2.2684532204983543,2.650715458597232,0.16420361247947454,0.44758539458186103,0.35335689045936397,0.023557126030624265,0.18766127140511377,0.18766127140511377,0,0,0,0,2.5912838633686692
"Kristaps Porzingis","DAL",60,1908,2.4439405391786346,2.8304270912307303,0.6065200909780136,0.5023863350916855,0.35167043456417985,0.2009545340366742,0.05054334091483447,0,0,0,0,0.10108668182966894,5.953278070836474
"Seth Curry","DAL",69,1720,1.7603154485283763,1.2446958981612446,0.11315417256011315,0.056085249579360626,0.1962983735277622,0.028042624789680313,0.19801980198019803,0.11315417256011315,0,0,0.028288543140028287,0,2.243409983174425
"Delon Wright","DAL",77,1623,1.4117996730569178,1.3589364844903988,0.08862629246676514,0.14952153110047847,0.05980861244019139,0,0.14771048744460857,0.08862629246676514,0,0,0,0,2.960526315789474
"Dwight Powell","DAL",40,1061,2.373749127298115,2.473168455436304,0.4199720018665422,0.46425255338904364,0.2785515320334262,0.1392757660167131,0.4199720018665422,0.1399906672888474,0,0,0,0,5.385329619312906
"Justin Jackson","DAL",67,1059,1.600731763091699,1.729631315430132,0.09103322712790168,0.18382352941176472,0.04595588235294118,0.04595588235294118,0.09103322712790168,0,0,0,0,0,2.113970588235294
"Jalen Brunson","DAL",57,1022,1.7716064160881015,1.5311004784688995,0.14354066985645933,0.4791566842357451,0.19166267369429804,0.23957834211787254,0.6220095693779905,0.6220095693779905,0,0,0,0,5.654048873981792
"Boban Marjanovic","DAL",46,487,3.2418952618453867,3.187250996015936,0.6972111553784861,0.5994005994005994,0.5994005994005994,0.1998001998001998,0.099601593625498,0.099601593625498,0,0,0,0,5.994005994005994
"J.J. Barea","DAL",30,455,1.5126958400864399,0.8695652173913043,0,0,0.21482277121374865,0,1.7391304347826086,0.10869565217391304,0,0,0,0,4.511278195488722
"Courtney Lee","DAL",24,345,2.317415730337079,1.9498607242339834,0.2785515320334262,0,0,0,0,0,0,0,0,0,0.7082152974504249
"Trey Burke","DAL",13,312,1.8376722817764166,1.9877675840978593,0.1529051987767584,0.3067484662576687,0.4601226993865031,0,0.3058103975535168,0,0,0,0,0,2.3006134969325154
"Ryan Broekhoff","DAL",17,180,1.9736842105263157,2.1220159151193636,0,0,0,0,0,0.26525198938992045,0,0,0,0,1.0443864229765014
"Michael Kidd-Gilchrist","DAL",18,170,3.8516405135520686,4.261363636363637,0.2840909090909091,0,0.28653295128939826,0,0.2840909090909091,0,0,0,0,0,2.5787965616045847
"Willie Cauley-Stein","DAL",13,157,2.9874213836477987,3.134796238244514,1.2539184952978057,0.31545741324921134,0.6309148264984227,0,0,0,0,0,0,0.31347962382445144,2.8391167192429023
"Antonius Cleveland","DAL",12,53,4.017857142857143,5.357142857142857,0,0,0,0,0,0,0,0,0,0,2.6785714285714284
"Josh Reaves","DAL",5,36,4.137931034482759,4.166666666666667,0,1.36986301369863,0,1.36986301369863,0,0,0,0,0,0,2.73972602739726
