"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Nikola Jokic","DEN",78,2523,2.351175587793897,2.031784349225508,0.38221685777509556,0.5772292993630573,0.3980891719745223,0.059713375796178345,0.3419835043250855,0.10058338362502514,0,0,0,0.08046670690002011,7.68312101910828
"Jamal Murray","DEN",64,2086,1.4132141562990699,1.382153249272551,0.04849660523763336,0.1444043321299639,0.24067388688327315,0.07220216606498195,0.4364694471387003,0.1454898157129001,0,0,0,0.02424830261881668,4.837545126353791
"Jerami Grant","DEN",76,2060,2.049427365883062,1.9475835537388795,0.2163981726376533,0.1450676982591876,0.24177949709864605,0.31431334622823986,0.48088482808367394,0.12022120702091849,0,0,0,0,4.811411992263056
"Will Barton","DEN",58,1916,1.5740861194224014,1.5139650221874184,0.07830853563038372,0,0.1037344398340249,0.2074688796680498,0.18271991647089533,0.026102845210127904,0,0,0,0,2.878630705394191
"Gary Harris","DEN",56,1780,1.6308168142837058,1.2914093206064008,0.1403705783267827,0.08448324415657561,0.16896648831315123,0.08448324415657561,0.1965188096574958,0.08422234699606962,0,0,0,0.05614823133071308,2.337369754998592
"Monte Morris","DEN",78,1767,1.0880178546519739,0.9225608051439754,0.02795638803466592,0,0.111358574610245,0,0.16773832820799553,0.11182555213866369,0,0,0,0,2.5612472160356345
"Paul Millsap","DEN",56,1359,2.9679094787608977,3.012272220156192,0.4462625511342507,0.22205773501110287,0.4071058475203553,0.33308660251665434,0.03718854592785422,0.14875418371141688,0,0,0.03718854592785422,0,4.774241302738712
"Torrey Craig","DEN",63,1186,3.186743148502231,3.568429890848027,0.4617968094038623,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.20990764063811923,0,0,0,0,0,1.8064516129032258
"Mason Plumlee","DEN",66,1108,3.344407530454042,2.81195079086116,0.3954305799648506,0.7592675301473872,0.4466279589102278,0.2233139794551139,0.13181019332161686,0.351493848857645,0,0,0,0.08787346221441125,6.7887449754354625
"Michael Porter Jr.","DEN",60,1040,2.6758228747336017,2.8544243577545196,0.23786869647954328,0.1885902876001886,0.1885902876001886,0.33003300330033003,0.142721217887726,0,0,0,0,0.09514747859181731,3.0174446016030174
"Malik Beasley","DEN",41,746,1.6297262059973925,1.171875,0.2604166666666667,0.06527415143603134,0.26109660574412535,0.13054830287206268,0.2604166666666667,0.06510416666666667,0,0,0,0,2.023498694516971
"PJ Dozier","DEN",33,492,2.67591674925669,1.860920666013712,0.48971596474045054,0.10030090270812438,0.5015045135406219,0.10030090270812438,0.5876591576885406,0.0979431929480901,0,0,0,0,3.8114343029087263
"Juancho Hernangomez","DEN",34,422,1.6458569807037458,1.8161180476730987,0,0.5675368898978433,0.22701475595913734,0.22701475595913734,0.4540295119182747,0.22701475595913734,0,0,0.11350737797956867,0,3.6322360953461974
"Keita Bates-Diop","DEN",9,114,1.5486725663716814,2.643171806167401,0,0,0,0,0,0,0,0,0,0,3.5555555555555554
"Bol Bol","DEN",8,100,3.0150753768844223,4.477611940298507,0,0.5076142131979695,0.5076142131979695,0.5076142131979695,0,0,0,0,0,0.4975124378109453,5.0761421319796955
"Troy Daniels","DEN",9,95,2.3017902813299234,2.0618556701030926,0.5154639175257731,0,0.5076142131979695,0,0,0.5154639175257731,0,0,0,0,2.5380710659898478
"Vlatko Cancar","DEN",14,45,3.723404255319149,3.0927835051546393,0,1.098901098901099,1.098901098901099,0,0,0,0,0,0,0,2.197802197802198
"Jarred Vanderbilt","DEN",9,41,3.2967032967032965,3.2967032967032965,1.098901098901099,0,1.098901098901099,0,0,0,0,0,0,0,0
"Noah Vonleh","DEN",8,33,2.9197080291970803,1.4705882352941178,0,1.4492753623188406,0,0,0,0,0,0,0,0,5.797101449275362
"Jordan McRae","DEN",4,32,1.5625,1.5384615384615385,0,0,0,0,0,0,0,0,0,1.5384615384615385,4.761904761904762
"Tyler Cook","DEN",3,23,1.0869565217391304,2.1739130434782608,0,0,0,0,0,0,0,0,0,0,2.1739130434782608
