"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Eric Paschall","GSW",60,1654,1.8205651034080979,1.5702239022971793,0.05815644082582146,0.14590020426028597,0.3793405310767435,0.23344032681645754,0.08723466123873219,0.08723466123873219,0,0,0,0,4.814706740589437
"Glenn Robinson III","GSW",48,1516,1.30096779311439,1.4570795058599937,0,0.1589319771137953,0.03178639542275906,0.06357279084551812,0.06335128286347799,0,0,0,0,0,1.7482517482517483
"Damion Lee","GSW",49,1422,1.941747572815534,1.5400066956812857,0.4017408771342484,0.06695681285570806,0.16739203213927017,0.06695681285570806,0.5021760964178105,0.2008704385671242,0,0,0.06695681285570806,0,4.218279209909609
"Alec Burks","GSW",48,1390,1.8550624133148406,1.3869625520110958,0.20804438280166435,0.17337031900138697,0.3120665742024965,0,0.4160887656033287,0.10402219140083217,0,0,0,0,5.9639389736477115
"Jordan Poole","GSW",57,1274,1.7586529466791394,1.3498312710911136,0.07499062617172854,0.07468259895444361,0.07468259895444361,0.11202389843166542,0.5249343832020997,0.14998125234345708,0,0,0,0,4.070201643017177
"Draymond Green","GSW",43,1222,2.1350931677018634,1.8611865063978286,0.19387359441644048,0.23319082782743877,0.0777302759424796,0.0777302759424796,0.23264831329972857,0.31019775106630476,0,0,0,0,3.225806451612903
"Marquese Chriss","GSW",59,1196,2.45275432247688,2.289156626506024,0.28112449799196787,0.6038647342995169,0.7648953301127214,0.08051529790660225,0.1606425702811245,0.12048192771084337,0,0,0,0.12048192771084337,5.475040257648954
"D'Angelo Russell","GSW",33,1060,1.432408236347359,1.0771992818671454,0.08976660682226212,0.044642857142857144,0.08928571428571429,0,0.2244165170556553,0,0,0,0,0,5.133928571428571
"Ky Bowman","GSW",45,1015,2.4228028503562946,2.0862968231389285,0.1422475106685633,0,0.14278914802475012,0.09519276534983341,0.5215742057847321,0.2370791844476055,0,0,0,0,2.427415516420752
"Willie Cauley-Stein","GSW",41,941,2.6466009340944474,2.950310559006211,0.5693581780538303,0.36420395421436,0.2601456815816857,0,0.10351966873706005,0.10351966873706005,0,0,0,0.051759834368530024,3.173777315296566
"Omari Spellman","GSW",49,886,1.709169831795985,1.7993456924754634,0.16357688113413305,0.2159827213822894,0.26997840172786175,0.05399568034557235,0.10905125408942203,0,0,0,0,0,3.6177105831533476
"Jacob Evans","GSW",27,414,2.3576768257619323,3.0892448512585813,0,0.3468208092485549,0.23121387283236994,0,0.6864988558352403,0,0,0,0,0,3.121387283236994
"Andrew Wiggins","GSW",12,403,1.5615615615615615,1.927710843373494,0,0.3592814371257485,0.11976047904191617,0.11976047904191617,0.12048192771084337,0.12048192771084337,0,0,0,0,6.227544910179641
"Juan Toscano-Anderson","GSW",13,272,2.7198549410698094,2.7124773960216997,0.5424954792043399,0,0.18181818181818182,0,0.3616636528028933,0,0,0,0,0,2.1818181818181817
"Kevon Looney","GSW",20,262,3.130755064456722,2.7573529411764706,0.7352941176470589,0.18450184501845018,0.5535055350553506,0.36900369003690037,0,0,0,0,0,0.18382352941176472,2.029520295202952
"Mychal Mulder","GSW",7,204,2.418379685610641,2.4271844660194173,0.24271844660194175,0,0.24096385542168675,0,0,0,0,0,0,0,1.927710843373494
"Dragan Bender","GSW",9,195,3.2459425717852683,3.970223325062035,0.7444168734491315,0.5025125628140703,1.0050251256281406,0,0.24813895781637718,0,0,0,0,0.24813895781637718,3.5175879396984926
"Stephen Curry","GSW",5,139,1.7656500802568218,0.967741935483871,0,0,0.6389776357827476,0,0.3225806451612903,0,0,0,0,0,6.0702875399361025
"Alen Smailagic","GSW",14,139,2.4054982817869415,1.7182130584192439,0.3436426116838488,0.3436426116838488,0,0.3436426116838488,0,0.6872852233676976,0,0,0,0,6.529209621993127
"Jeremy Pargo","GSW",3,44,4.519774011299435,4.545454545454546,1.1363636363636365,0,1.1235955056179776,0,0,0,0,0,0,0,2.247191011235955
"Chasson Randle","GSW",3,40,1.744186046511628,1.1494252873563218,0,0,0,0,0,0,0,0,0,0,3.5294117647058822
"Zach Norvell Jr.","GSW",3,36,2.5806451612903225,1.2987012987012987,0,0,0,0,0,1.2987012987012987,0,0,0,0,1.2820512820512822
