"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"James Harden","HOU",72,2633,2.204301075268817,1.576495879613042,0.17914725904693657,0.1254930082466834,0.5557547508067407,0.3764790247400502,0.07165890361877464,0.16123253314224292,0,0,0,0.01791472590469366,9.931875224094657
"P.J. Tucker","HOU",76,2614,2.230248306997743,2.294904228406216,0.28912179255511383,0.36094567767550984,0.3068038260241834,0,0.3433321286591977,0.45175280086736536,0,0,0.018070112034694615,0.018070112034694615,2.0032485110990796
"Danuel House Jr.","HOU",67,2060,1.6283306763835117,1.6860332649806333,0.1822738664843928,0.1593444115638516,0.11381743683132256,0.06829046209879354,0.3873319662793347,0.1367053998632946,0,0,0,0,2.1170043250625996
"Russell Westbrook","HOU",57,2049,2.2343872193051055,1.523980277902286,0.47064096817570594,0.13366005791935842,0.17821341055914458,0.3787034974381822,0.06723442402510085,0.04482294935006723,0,0,0,0,6.014702606371129
"Ben McLemore","HOU",75,1683,2.229965156794425,2.296275553066368,0.2520302436292355,0.24972253052164262,0.19422863485016648,0.05549389567147614,0.19602352282273872,0.05600672080649678,0,0,0,0.02800336040324839,1.7480577136514983
"Austin Rivers","HOU",72,1677,1.8949421763968233,2.037967615857063,0.13958682300390843,0,0.13908205841446453,0.027816411682892908,0.4187604690117253,0.08375209380234507,0,0,0.027917364600781685,0,2.976356050069541
"Clint Capela","HOU",39,1279,1.8643757996709924,1.2797074954296161,0.8775137111517367,0.47514619883040937,0.21929824561403508,0.10964912280701754,0.14625228519195613,0.29250457038391225,0,0,0.03656307129798903,0.03656307129798903,3.9108187134502925
"Eric Gordon","HOU",40,1152,1.6016016016016017,1.6006402561024409,0.040016006402561026,0.08012820512820513,0.16025641025641027,0.08012820512820513,0.2801120448179272,0.040016006402561026,0,0,0,0,4.206730769230769
"Robert Covington","HOU",26,838,2.4534686971235193,2.705749718151071,0.05636978579481398,0.28216704288939054,0.11286681715575621,0.28216704288939054,0.2818489289740699,0,0,0,0,0,2.0880361173814896
"Jeff Green","HOU",22,547,2.2137079608343977,2.391118701964133,0.3415883859948762,0.5093378607809848,0.08488964346349745,0.3395585738539898,0.3415883859948762,0.5123825789923142,0,0,0,0,2.9711375212224107
"Thabo Sefolosha","HOU",41,436,2.2933333333333334,2.2483940042826553,0.21413276231263384,0,0.10626992561105207,0,0.21413276231263384,0,0,0,0,0.10706638115631692,0.8501594048884166
"Chris Clemons","HOU",33,291,2.0651310563939633,2.24,0,0.15772870662460567,0.15772870662460567,0.15772870662460567,0.64,0.32,0,0,0,0,3.312302839116719
"Isaiah Hartenstein","HOU",23,266,3.5964912280701755,3.866432337434095,1.054481546572935,1.0507880910683012,0.5253940455341506,0,0.1757469244288225,0.1757469244288225,0,0,0,0.1757469244288225,4.553415061295972
"Tyson Chandler","HOU",26,219,3.361344537815126,4.411764705882353,0.42016806722689076,1.050420168067227,0.8403361344537815,0,0.21008403361344538,0.21008403361344538,0,0,0,0,3.5714285714285716
"Gary Clark","HOU",18,212,2.328159645232816,3.5555555555555554,0.4444444444444444,0.4424778761061947,0,0,0,0,0,0,0,0,1.5486725663716814
"DeMarre Carroll","HOU",10,157,1.906158357771261,2.6315789473684212,0.5847953216374269,0,0,0,0.29239766081871343,0.29239766081871343,0,0,0,0,5
"Michael Frazier","HOU",14,147,3.3587786259541983,3.323262839879154,0.6042296072507553,0,0,0,0,0.3021148036253776,0,0,0,0,2.4691358024691357
"Bruno Caboclo","HOU",9,54,3.21285140562249,3.2,0,0,0,0,0,0,0,0,0,0,3.225806451612903
"Luc Mbah a Moute","HOU",3,25,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667
"Ryan Anderson","HOU",2,14,1.5384615384615385,3.0303030303030303,0,0,0,0,0,0,0,0,0,0,0
"William Howard","HOU",2,13,1.694915254237288,3.3333333333333335,0,0,0,0,0,0,0,0,0,0,0
