"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"T.J. Warren","IND",71,2359,2.1165676154728392,1.6461762867264014,0.22921441967076475,0.10434056761268781,0.1669449081803005,0.20868113522537562,0.35424046676390913,0.08335069806209627,0,0,0,0.02083767451552407,3.8814691151919867
"Domantas Sabonis","IND",62,2159,2.2232408892963558,1.835704451583295,0.596603946764571,0.9615384615384616,0.7783882783882784,0.20604395604395603,0.04589261128958238,0,0,0,0,0,6.913919413919414
"Myles Turner","IND",66,1971,2.2370240040216163,2.5319628979694158,0.22562045625470042,0.4536290322580645,0.4032258064516129,0.17641129032258066,0.3008272750062672,0.0752068187515668,0,0,0.025068939583855605,0.05013787916771121,4.20866935483871
"Justin Holiday","IND",77,1957,1.7879161528976573,1.991150442477876,0.09832841691248771,0.04948045522018803,0.09896091044037605,0.024740227610094014,0.4424778761061947,0.09832841691248771,0,0,0,0.024582104228121928,2.003958436417615
"Malcolm Brogdon","IND",58,1826,1.4598540145985401,1.2445887445887447,0.10822510822510822,0.05402485143165856,0.2701242571582928,0.1350621285791464,0.2435064935064935,0,0,0,0,0,4.457050243111832
"Aaron Holiday","IND",70,1689,1.880787037037037,1.8271461716937354,0.11600928074245939,0.08660508083140878,0.08660508083140878,0.057736720554272515,0.7540603248259861,0.08700696055684455,0,0,0,0,3.435334872979215
"Doug McDermott","IND",73,1427,2.0266846816416146,2.1570610043815304,0.4718570947084597,0,0.23696682464454977,0.06770480704129993,0.16852039096730703,0.06740815638692282,0,0,0,0.03370407819346141,1.9295870006770481
"T.J. McConnell","IND",74,1354,1.364280652019844,1.2707377338510413,0.1411930815390046,0.0711490572749911,0.0711490572749911,0.0711490572749911,0.5294740557712672,0.17649135192375573,0,0,0,0,2.3479188900747063
"Jeremy Lamb","IND",46,1291,1.9862490450725745,1.6826003824091778,0.30592734225621415,0.11446012972148036,0.19076688286913393,0.11446012972148036,0.7265774378585086,0.03824091778202677,0,0,0.03824091778202677,0,3.8153376573826785
"Victor Oladipo","IND",23,651,1.859427296392711,1.4105419450631032,0.22271714922049,0.14903129657228018,0,0.22354694485842028,0.6681514476614699,0.8166295471417966,0,0,0,0,5.588673621460507
"JaKarr Sampson","IND",38,520,3.4117104656523742,2.9547553093259467,0.8310249307479224,0.3683241252302026,0.4604051565377532,0.09208103130755065,0.2770083102493075,0.09233610341643583,0,0,0,0,2.9465930018416207
"Edmond Sumner","IND",34,487,2.4233432245301683,1.873767258382643,0.19723865877712032,0.1984126984126984,0.0992063492063492,0,0.4930966469428008,0,0,0,0,0,2.876984126984127
"Goga Bitadze","IND",54,471,3.2402791625124627,3.781094527363184,0.8955223880597015,0.5994005994005994,0.7992007992007992,0,0.09950248756218906,0,0,0,0,0.19900497512437812,2.4975024975024973
"TJ Leaf","IND",28,222,2.303664921465969,2.510460251046025,0.6276150627615062,0.4192872117400419,0,0,0.41841004184100417,0,0,0,0,0,3.1446540880503147
"Alize Johnson","IND",18,118,2.357563850687623,2.34375,0.78125,1.5810276679841897,0,0,0,0,0,0,0,0,4.3478260869565215
"Naz Mitrou-Long","IND",5,47,1.0362694300518134,0,0,0,0,0,0,1.0309278350515463,0,0,0,0,3.125
"Brian Bowen II","IND",6,31,2.3622047244094486,1.6129032258064515,0,0,0,0,0,1.6129032258064515,0,0,0,0,1.5384615384615385
