"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"LeBron James","LAL",71,2447,1.234445980643887,0.6708760852407262,0.15785319652722968,0.1383946223803875,0.3163305654408857,0.29655990510083036,0.23677979479084452,0.23677979479084452,0,0,0,0,7.216291024120205
"Anthony Davis","LAL",66,2258,1.7134447598023756,2.187631468237274,0.2103491796381994,0.5043076276528683,0.1891153603698256,0.14708972473208656,0.08413967185527976,0.2944888514934792,0,0,0,0.04206983592763988,9.098550115570498
"Kentavious Caldwell-Pope","LAL",73,1864,1.693393200769724,1.6649590163934427,0.15368852459016394,0.07710100231303008,0.05140066820868671,0.025700334104343355,0.4610655737704918,0.07684426229508197,0,0,0,0,2.364430737599589
"Danny Green","LAL",72,1789,1.9576508190171793,1.7618793379604911,0.1601708489054992,0.07972362476747276,0.1860217911241031,0.053149083178315175,0.4271222637479979,0.0800854244527496,0,0,0.026695141484249868,0,1.7539197448844008
"Kyle Kuzma","LAL",65,1622,1.9444444444444444,2.2215726395790703,0.2630809704764689,0.058496636443404505,0.26323486399532026,0.26323486399532026,0.1169248757673195,0.17538731365097926,0,0,0,0,3.363556595495759
"Dwight Howard","LAL",73,1380,4.289544235924933,3.7789661319073082,1.3547237076648841,1.6129032258064515,1.2903225806451613,0.10752688172043011,0.07130124777183601,0,0,0,0,0.14260249554367202,7.956989247311828
"Alex Caruso","LAL",68,1269,2.0727341247409083,1.6541353383458646,0.07518796992481203,0.037778617302606725,0.037778617302606725,0.07555723460521345,0.6766917293233082,0.37593984962406013,0,0,0,0,4.193426520589346
"Avery Bradley","LAL",49,1186,2.196485623003195,1.634768740031898,0.03987240829346093,0,0.16,0,0.19936204146730463,0.07974481658692185,0,0,0,0,1.08
"JaVale McGee","LAL",72,1184,3.3698741372310193,3.2126880845872305,1.3420089467263114,0.6890960680989056,0.36481556546412647,0.16214025131738954,0.040666937779585195,0,0,0,0,0,3.56708552898257
"Rajon Rondo","LAL",48,984,1.4306857424765664,0.7916872835230084,0.09896091044037605,0.04918839153959666,0.24594195769798327,0.04918839153959666,0.5442850074220683,0,0,0,0,0,2.459419576979833
"Quinn Cook","LAL",46,525,1.2658227848101267,0.993676603432701,0.18066847335140018,0.09049773755656108,0.09049773755656108,0,0.36133694670280037,0,0,0,0,0,1.4479638009049773
"Troy Daniels","LAL",41,456,1.583949313621964,1.5723270440251573,0.10482180293501048,0.10638297872340426,0.10638297872340426,0,0.10482180293501048,0,0,0,0,0,1.2765957446808511
"Jared Dudley","LAL",47,378,2.711426726920594,2.4296675191815855,0.3836317135549872,0,0,0,0.3836317135549872,0.2557544757033248,0,0,0,0,1.0430247718383312
"Markieff Morris","LAL",18,271,3.5870516185476817,4.363001745200698,0.6980802792321117,0.3508771929824561,0,0,0.17452006980802792,0,0,0,0,0,1.7543859649122806
"Dion Waiters","LAL",10,195,2.078239608801956,0.4878048780487805,0,0,0.24509803921568626,0.24509803921568626,0.4878048780487805,0,0,0,0,0,3.1862745098039214
"JR Smith","LAL",9,126,2.071563088512241,1.858736059479554,0,0,0.7633587786259542,0,0,0.37174721189591076,0,0,0,0,1.5267175572519085
"Talen Horton-Tucker","LAL",6,81,2.840909090909091,3.3707865168539324,0,0,0,0,0,0,0,0,0,0,1.7241379310344827
"Kostas Antetokounmpo","LAL",5,20,2.150537634408602,2.0833333333333335,0,2.2222222222222223,0,0,0,0,0,0,0,0,4.444444444444445
"Devontae Cacok","LAL",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Norvell Jr.","LAL",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
