"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Dillon Brooks","MEM",74,2150,3.0855385966838695,2.6599252582985273,0.43965706748735983,0.13163668275559456,0.28521281263712156,0.19745502413339183,0.3956913607386239,0.06594856012310397,0,0,0.02198285337436799,0.02198285337436799,3.9929793769197017
"Ja Morant","MEM",68,2116,1.2375961645668414,1.2042818911685995,0.13380909901873328,0.11148272017837235,0.06688963210702341,0.13377926421404682,0.13380909901873328,0.06690454950936664,0,0,0,0,6.2207357859531776
"Jonas Valanciunas","MEM",71,1879,2.3737373737373737,2.4993688462509467,0.5049229992426155,0.42940136398080325,0.5809547865622632,0.10103561505430664,0.07573844988639232,0.025246149962130773,0,0,0,0.3029537995455693,4.976004041424602
"Jaren Jackson Jr.","MEM",57,1622,3.344867358708189,3.345832131525815,0.6057109893279492,0.28826751225136926,0.807149034303834,0.23061400980109542,0.37496394577444475,0,0,0,0,0.08653014133256418,5.390602479100606
"Kyle Anderson","MEM",68,1357,1.975051975051975,2.0768431983385254,0.20768431983385255,0.0693721817551162,0.1040582726326743,0.1040582726326743,0.3461405330564209,0.06922810661128419,0,0,0,0,2.5667707249392993
"Brandon Clarke","MEM",59,1325,1.7813482361159623,1.9103855505383813,0.3473428273706148,0.17562346329469616,0.31612223393045313,0.1053740779768177,0.13893713094824592,0.06946856547412296,0,0,0,0.03473428273706148,2.880224798033017
"Jae Crowder","MEM",45,1322,1.5052240127501328,1.4139271827500883,0.14139271827500885,0.14194464158977999,0.177430801987225,0.035486160397444996,0.3534817956875221,0.07069635913750442,0,0,0,0,3.4066713981547196
"Tyus Jones","MEM",65,1232,0.8261359369132557,0.7118771075309105,0.03746721618583739,0.11290929619872037,0.11290929619872037,0,0.26227051330086176,0.03746721618583739,0,0,0,0,1.8065487391795259
"De'Anthony Melton","MEM",61,1182,2.1798900235663785,2.0711215318483784,0.23446658851113716,0.11843663639952626,0.03947887879984208,0.03947887879984208,0.5470887065259867,0,0,0,0,0.039077764751856196,4.3031977891827875
"Solomon Hill","MEM",48,901,1.905507700339337,1.9781363872982822,0.052056220718375845,0.31413612565445026,0.2617801047120419,0.10471204188481675,0.3643935450286309,0,0,0,0,0,2.094240837696335
"Grayson Allen","MEM",39,741,1.7241379310344827,2.1861336664584634,0.18738288569643974,0.06293266205160478,0,0.06293266205160478,0.5621486570893192,0.12492192379762648,0,0,0,0.06246096189881324,3.5242290748898677
"Marko Guduric","MEM",44,484,1.6433059449009184,2.1174205967276225,0,0.2912621359223301,0,0.1941747572815534,0.28873917228103946,0.09624639076034648,0,0,0,0,3.0097087378640777
"Josh Jackson","MEM",22,381,2.450980392156863,2.5578562728380025,0.243605359317905,0.4932182490752158,0.12330456226880394,0.36991368680641185,0.243605359317905,0.730816077953715,0,0,0,0,5.302096177558569
"Gorgui Dieng","MEM",18,332,2.6988636363636362,2.26628895184136,0.42492917847025496,0.5698005698005698,0.14245014245014245,0.2849002849002849,0,0.56657223796034,0,0,0,0,5.413105413105413
"Anthony Tolliver","MEM",14,260,1.8399264029438822,1.478743068391867,0,0.18315018315018314,0.7326007326007326,0,0.18484288354898337,0.5545286506469501,0,0,0,0,1.8315018315018314
"Bruno Caboclo","MEM",22,192,2.7218934911242605,3.7383177570093458,0.4672897196261682,0,0.23980815347721823,0.23980815347721823,0.7009345794392523,0,0,0,0,0,1.4388489208633093
"John Konchar","MEM",19,181,0.9283819628647215,1.881720430107527,0,0.5235602094240838,0,0,0,0,0,0,0,0,1.5706806282722514
"Yuta Watanabe","MEM",18,105,2.0361990950226243,2.2522522522522523,0,0,0,0,0,0.45045045045045046,0,0,0,0,2.727272727272727
"Jordan Bell","MEM",2,21,2.127659574468085,4.25531914893617,0,0,0,0,0,0,0,0,0,0,2.127659574468085
"Jarrod Uthoff","MEM",4,14,1.8181818181818181,3.7037037037037037,0,0,0,0,0,0,0,0,0,0,3.5714285714285716
"Dusty Hannahs","MEM",2,13,1.7241379310344827,0,0,0,0,0,0,0,0,0,0,0,3.4482758620689653
