"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Bam Adebayo","MIA",76,2554,1.8809082935386414,2.085769980506823,0.1364522417153996,0.21438316117715844,0.4287663223543169,0.23387253946599104,0.11695906432748537,0.01949317738791423,0,0,0,0.03898635477582846,6.684856753069577
"Duncan Robinson","MIA",77,2266,2.2256164084660703,2.408056042031524,0.28458844133099825,0.02174858634188778,0.26098303610265333,0.02174858634188778,0.17513134851138354,0.19702276707530647,0,0,0,0,1.9573727707699
"Jimmy Butler","MIA",62,2094,1.030683568297595,0.7613609326671426,0.16654770402093744,0.2831524303916942,0.16517225106182162,0.3067484662576687,0.07137758743754462,0.07137758743754462,0,0,0,0,9.792354884379424
"Kendrick Nunn","MIA",68,1977,1.8957345971563981,2.0448877805486285,0.07481296758104738,0.0499001996007984,0.17465069860279442,0.0998003992015968,0.32418952618453867,0.02493765586034913,0,0,0,0.02493765586034913,2.220558882235529
"Goran Dragic","MIA",63,1800,1.8238736899414727,1.3949671772428884,0.13676148796498905,0.0541858574911948,0.2980222162015714,0.1625575724735844,0.30087527352297594,0.19146608315098468,0,0,0,0.02735229759299781,5.4185857491194795
"Tyler Herro","MIA",59,1638,1.256544502617801,1.232711966325917,0.15033072760072158,0.08931229532598987,0.14885382554331647,0.02977076510866329,0.21046301864101022,0,0,0,0,0.03006614552014432,2.9175349806490027
"Derrick Jones Jr.","MIA",63,1418,2.3166695697613657,2.4154589371980677,0.10351966873706005,0.28139289482940555,0,0.10552233556102708,0.6211180124223602,0.13802622498274672,0,0,0,0,3.9746746394653534
"Kelly Olynyk","MIA",71,1355,3.140613847251963,2.93801504836976,0.680759584378359,0.42659082829719164,0.6398862424457874,0.07109847138286526,0.14331780723754928,0.4657828735220351,0,0,0,0.07165890361877464,3.9104159260575897
"Meyers Leonard","MIA",51,1034,2.5832930951231288,3.2242540904716073,0.3368623676612127,0.29069767441860467,0.3875968992248062,0.04844961240310078,0.19249278152069296,0.14436958614051973,0,0,0,0.04812319538017324,2.5193798449612403
"Jae Crowder","MIA",24,656,2.3677395486496486,2.1339220014716704,0.22075055187637968,0.0744047619047619,0.22321428571428573,0.0744047619047619,0.14716703458425312,0.22075055187637968,0,0,0,0,2.5297619047619047
"Andre Iguodala","MIA",25,525,1.82648401826484,2.077687443541102,0.18066847335140018,0.18467220683287167,0.4616805170821791,0,0.36133694670280037,0,0,0,0,0.09033423667570009,2.0313942751615883
"Justise Winslow","MIA",11,352,2.5299600532623168,1.9973368841544608,0.5326231691078562,0.13315579227696406,0.2663115845539281,0,0.13315579227696406,0.2663115845539281,0,0,0,0,2.796271637816245
"Chris Silva","MIA",44,346,5.8905058905058905,6.77731673582296,1.2448132780082988,1.3888888888888888,1.6666666666666667,0,0.2766251728907331,0.6915629322268326,0,0,0,0.4149377593360996,7.222222222222222
"James Johnson","MIA",18,281,2.995594713656388,1.926444833625219,0,0,0.7092198581560284,0,0.17513134851138354,0,0,0,0,0,2.127659574468085
"Solomon Hill","MIA",11,187,1.5364916773367479,1.2658227848101267,0.5063291139240507,0,0,0,0,0,0,0,0,0,3.1088082901554404
"Gabe Vincent","MIA",9,83,1.7391304347826086,2.2988505747126435,0,0,0,0,0,0.5747126436781609,0,0,0,0,1.7543859649122806
"Udonis Haslem","MIA",4,44,3.4482758620689653,2.272727272727273,0,1.1627906976744187,0,0,1.1363636363636365,1.1363636363636365,0,0,0,0,6.976744186046512
"Dion Waiters","MIA",3,42,2.9585798816568047,2.3529411764705883,0,0,1.1904761904761905,1.1904761904761905,0,0,0,0,0,0,2.380952380952381
"KZ Okpala","MIA",5,26,2.0618556701030926,0,0,2.127659574468085,0,0,0,0,0,0,0,2,6.382978723404255
"Daryl Macon","MIA",4,14,1.7241379310344827,0,0,0,0,0,0,0,0,0,0,0,0
"Kyle Alexander","MIA",2,13,1.5873015873015872,0,3.125,0,0,0,0,0,0,0,0,0,0
